seed,model,target,track,feature_set,n,rmse
42,ERT,T_C,opx_liq,pwlr,174,86.62753117460507
43,ERT,T_C,opx_liq,pwlr,174,86.75412986011754
44,ERT,T_C,opx_liq,pwlr,174,86.78822826609643
45,ERT,T_C,opx_liq,pwlr,174,87.33624060456633
46,ERT,T_C,opx_liq,pwlr,174,86.60041783848209
47,ERT,T_C,opx_liq,pwlr,174,86.75648221274514
48,ERT,T_C,opx_liq,pwlr,174,86.68523640335047
49,ERT,T_C,opx_liq,pwlr,174,86.24780348300786
50,ERT,T_C,opx_liq,pwlr,174,87.21070022358587
51,ERT,T_C,opx_liq,pwlr,174,86.166579127556
52,ERT,T_C,opx_liq,pwlr,174,86.71350706562714
53,ERT,T_C,opx_liq,pwlr,174,87.07161885992461
54,ERT,T_C,opx_liq,pwlr,174,87.14948346918723
55,ERT,T_C,opx_liq,pwlr,174,86.95453621140287
56,ERT,T_C,opx_liq,pwlr,174,86.99613045569646
57,ERT,T_C,opx_liq,pwlr,174,87.13413011474566
58,ERT,T_C,opx_liq,pwlr,174,86.44063140717167
59,ERT,T_C,opx_liq,pwlr,174,87.44308181074737
60,ERT,T_C,opx_liq,pwlr,174,87.48424829479241
61,ERT,T_C,opx_liq,pwlr,174,86.8325298959193
42,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
43,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
44,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
45,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
46,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
47,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
48,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
49,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
50,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
51,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
52,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
53,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
54,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
55,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
56,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
57,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
58,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
59,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
60,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
61,ElasticNet,T_C,opx_liq,raw,174,77.06189003628756
42,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
43,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
44,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
45,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
46,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
47,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
48,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
49,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
50,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
51,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
52,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
53,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
54,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
55,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
56,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
57,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
58,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
59,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
60,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
61,ElasticNet,T_C,opx_liq,pwlr,174,87.82374772804963
42,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
43,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
44,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
45,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
46,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
47,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
48,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
49,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
50,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
51,ElasticNet,P_kbar,opx_liq,raw,174,5.585970379506894
