seed,model,target,track,feature_set,regime,n,rmse
42,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.26879591935567
42,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,166.46335557056742
42,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,100.25056968486378
42,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.46950633881199
43,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.68480645138042
43,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,166.5804669625082
43,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,100.31160442584618
43,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,22.689020181056804
44,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.23695087744686
44,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,165.86974173080625
44,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,100.8983823774322
44,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.109662837986267
45,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.62834552632039
45,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,166.51867446999657
45,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,101.8624686474789
45,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,22.793295691736198
46,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.46612069804304
46,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,166.45084998508196
46,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,100.1614042696155
46,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,22.60371978469371
47,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.39106734413126
47,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,167.080366284039
47,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,100.38873265546411
47,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.158515794512592
48,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,87.9903208655391
48,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,170.54003291818083
48,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,99.78265149962857
48,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.091237219193854
49,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,87.82581908301121
49,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,169.9136748941275
49,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,98.87779739469161
49,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.426824176915794
50,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,87.35012229364419
50,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,169.6092892641772
50,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,101.88561480266262
50,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,23.403203829679327
51,ERT,T_C,opx_liq,pwlr,deep_crustal_MASH,61,88.87785648713265
51,ERT,T_C,opx_liq,pwlr,deeper_mantle,8,162.226058673018
51,ERT,T_C,opx_liq,pwlr,lithospheric_mantle,58,99.55574788942049
