method,scope,n,rmse,rmse_ci_lo,rmse_ci_hi,coverage_pct,signed_bias,target
Ours opx-liq forest,all,197,71.60121297162655,65.2553089794094,77.72795740057686,100.0,48.50667027646409,T_C
Ours opx-only forest,all,197,106.08922080470231,96.55184439232328,115.75917681925493,100.0,81.76492075987568,T_C
Ours opx-liq boosted,all,197,63.67970532626178,58.439375257979094,69.2847314981479,100.0,20.947434478604784,T_C
Ours opx-only boosted,all,197,100.22918472584166,90.04321208112754,110.25825967568933,100.0,68.61457228297503,T_C
Putirka 2008 opx-liq,all,185,50.0775731793228,44.855147815215695,55.3882837374522,93.90862944162437,28.04042659260565,T_C
Putirka 2008 opx-liq [true P],all,197,46.42411865736357,41.09105894603525,51.846610208413765,100.0,29.47488239400532,T_C
Putirka 2008 opx-only,all,94,58.313916688183326,48.08156497153517,68.52050841401125,47.71573604060914,20.00425038951588,T_C
Putirka 2008 opx-only [true T],all,94,54.010981385609995,44.13451544218788,64.44963449499832,47.71573604060914,31.840747968650206,T_C
Ours opx-liq forest,all,197,2.793640252090356,2.5540478405291798,3.024127293611438,100.0,1.2388243517259596,P_kbar
Ours opx-only forest,all,197,3.909454499537064,3.5175062794559344,4.320165180238147,100.0,2.7662015015769983,P_kbar
Ours opx-liq boosted,all,197,2.7029326831807365,2.3678448929231695,3.044816076364815,100.0,-0.09264564822288929,P_kbar
Ours opx-only boosted,all,197,6.36417920129564,5.927202510194699,6.785226049275022,100.0,5.346209360505119,P_kbar
Putirka 2008 opx-liq,all,185,3.6006452355140985,3.233554888872399,3.957358063050989,93.90862944162437,-0.9686744678940226,P_kbar
Putirka 2008 opx-liq [true P],all,185,3.4687582253611153,3.1143050358195703,3.839707177913816,93.90862944162437,-1.3439338688918112,P_kbar
Putirka 2008 opx-only,all,94,4.116319428328779,3.303109180035825,4.902665547825423,47.71573604060914,-2.1056182852818432,P_kbar
Putirka 2008 opx-only [true T],all,94,4.445957458120489,3.6404524694976086,5.242250156061278,47.71573604060914,-1.6355849516914502,P_kbar
