Method,Target,RMSE,MAE,R2,n_test
Putirka 28a (true P),T,77.0498962296864,42.718139173376294,0.6306577418128061,124
Putirka 28b_opx_sat (true P),T,81.43193070646696,49.497447820837344,0.5874521316232366,124
Putirka iterative (28a+29a),T,77.84217717013051,49.592438633668266,0.623023018798285,124
Putirka 28a (ML P),T,79.10899018037786,49.848230082826326,0.6106532395570027,124
ML-RF opx-liq,T,85.44734317713613,57.18893798175751,0.5457635183791913,124
Putirka 29a (true T),P,3.834003654073967,2.9495678901131517,0.7798520814370886,107
"Putirka 29c (opx-only, true T)",P,4.9628776288854795,3.84166432992747,0.6311271659860692,107
Putirka iterative (28a+29a),P,3.818456468272376,2.9176318066800224,0.7816338955836927,107
Putirka 29a (ML T),P,3.76069035872715,2.836377961664831,0.7881908622942464,107
ML-RF opx-liq,P,3.8831407010014294,3.095158440002671,0.7741730376752551,107
