strategy,model_name,target,feature_set,n_folds,rmse,mae,r2,bias,n
LOSO,RF,T_C,pwlr,93,74.46617459436693,53.31977900443156,0.8217972329417302,3.4038655754250424,600
LOSO,RF,P_kbar,pwlr,93,5.604533155627399,3.5208155408829507,0.6415727013884286,-0.0567734484293788,600
LOSO,ERT,T_C,pwlr,93,76.5333702842548,54.32045746165991,0.8117660168995311,5.106307478882541,600
LOSO,ERT,P_kbar,pwlr,93,5.852968454621334,3.7960534083378814,0.6090919981702765,-0.05220851050931074,600
LOSO,XGB,T_C,pwlr,93,76.55177025543742,55.3401117787498,0.8116754964848418,2.4192215492960942,600
LOSO,XGB,P_kbar,pwlr,93,5.142160637861401,3.6472171286716715,0.698273487632622,0.6276121828179034,600
LOSO,GB,T_C,pwlr,93,75.99378184783693,54.46036861658986,0.8144108979820025,2.115056228968643,600
LOSO,GB,P_kbar,pwlr,93,5.696450748806248,3.9133742496057864,0.6297194609495786,0.8641021251337702,600
Cluster-KFold,RF,T_C,pwlr,3,100.82146783966242,79.0584434264423,0.673335164332846,4.0714822157512085,600
Cluster-KFold,RF,P_kbar,pwlr,3,6.447244384332756,4.423286389992275,0.525681068802546,-0.15118703420526425,600
Cluster-KFold,ERT,T_C,pwlr,3,103.02205345129208,77.80653002682944,0.6589196037120975,5.967722519237447,600
Cluster-KFold,ERT,P_kbar,pwlr,3,6.607012013471072,4.404517889340717,0.5018818269422232,-0.022961649545619356,600
Cluster-KFold,XGB,T_C,pwlr,3,98.09072163230165,75.85621612382691,0.6907909375800115,4.341156974100781,600
Cluster-KFold,XGB,P_kbar,pwlr,3,6.002857512609941,4.185153082401332,0.5888140532333956,0.771161384790686,600
Cluster-KFold,GB,T_C,pwlr,3,96.11290916292107,74.35545920270054,0.703134451483484,8.10789212801833,600
Cluster-KFold,GB,P_kbar,pwlr,3,6.428048258201853,4.31201536239912,0.52850135315192,0.9485385191592037,600
TargetBinKFold,RF,T_C,pwlr,9,101.31424236738603,79.46950954206247,0.6701341497704087,-4.717008428186531,600
TargetBinKFold,RF,P_kbar,pwlr,9,8.539646700326855,6.265072137762185,0.1678492657298697,0.46227270289121103,600
TargetBinKFold,ERT,T_C,pwlr,9,104.90775071300234,80.7820390534147,0.6463191823084018,-8.322608201266968,600
TargetBinKFold,ERT,P_kbar,pwlr,9,8.45973213835535,5.996955332776135,0.18335103146172882,0.1831912786844037,600
TargetBinKFold,XGB,T_C,pwlr,9,99.28689516009317,76.79042603115457,0.6832036168556201,-5.354093168314583,600
TargetBinKFold,XGB,P_kbar,pwlr,9,7.554190561800398,5.467606132594568,0.3488244794743044,0.3633340443393065,600
TargetBinKFold,GB,T_C,pwlr,9,103.91620148873578,79.97274551179312,0.652973307153291,-5.116872123506784,600
TargetBinKFold,GB,P_kbar,pwlr,9,7.323030730829774,5.257366044831494,0.38806695398426183,0.47210216704426455,600
