strategy,model_name,target,fold,n_test,rmse
LOSO,RF,T_C,0,4,166.28054254698418
LOSO,RF,T_C,1,1,7.369318181818244
LOSO,RF,T_C,2,4,160.71778972426506
LOSO,RF,T_C,3,4,56.954091238812424
LOSO,RF,T_C,4,34,18.733501637071367
LOSO,RF,T_C,5,3,32.5025028119768
LOSO,RF,T_C,6,17,61.585109175404185
LOSO,RF,T_C,7,10,72.80645044788517
LOSO,RF,T_C,8,23,52.33573293525917
LOSO,RF,T_C,9,4,65.47606259865913
LOSO,RF,T_C,10,3,170.329147778115
LOSO,RF,T_C,11,4,61.90469923302694
LOSO,RF,T_C,12,13,79.1337503537625
LOSO,RF,T_C,13,9,18.127257899841673
LOSO,RF,T_C,14,6,20.86474639106006
LOSO,RF,T_C,15,1,184.3888888888889
LOSO,RF,T_C,16,1,20.868480725623613
LOSO,RF,T_C,17,7,88.3389767792437
LOSO,RF,T_C,18,4,25.881762774009875
LOSO,RF,T_C,19,1,71.859375
LOSO,RF,T_C,20,3,28.838354436767354
LOSO,RF,T_C,21,23,55.817750817809745
LOSO,RF,T_C,22,12,17.493628002087164
LOSO,RF,T_C,23,9,79.97679446777775
LOSO,RF,T_C,24,8,37.04312013819469
LOSO,RF,T_C,25,9,32.985451711910294
LOSO,RF,T_C,26,3,56.935636175129076
LOSO,RF,T_C,27,2,43.42439883243254
LOSO,RF,T_C,28,3,6.745415179573644
LOSO,RF,T_C,29,3,63.24237931655596
LOSO,RF,T_C,30,1,35.29166666666674
LOSO,RF,T_C,31,21,83.72666794534808
LOSO,RF,T_C,32,7,83.04769271623738
LOSO,RF,T_C,33,1,278.2833333333333
LOSO,RF,T_C,34,2,63.533657072970065
LOSO,RF,T_C,35,7,52.539564551430836
LOSO,RF,T_C,36,2,16.743855278541936
LOSO,RF,T_C,37,5,65.36413702444648
LOSO,RF,T_C,38,3,86.6817337342356
LOSO,RF,T_C,39,16,43.31936648278324
LOSO,RF,T_C,40,1,175.0
LOSO,RF,T_C,41,2,108.1359263015709
LOSO,RF,T_C,42,1,52.5
LOSO,RF,T_C,43,6,49.247951158626535
LOSO,RF,T_C,44,17,32.28056731659758
LOSO,RF,T_C,45,6,20.39358814676814
LOSO,RF,T_C,46,10,17.272195016239593
LOSO,RF,T_C,47,1,20.409523809523762
LOSO,RF,T_C,48,1,10.35714285714289
LOSO,RF,T_C,49,5,72.80421811948061
LOSO,RF,T_C,50,5,67.75741977482262
LOSO,RF,T_C,51,10,63.716807714753934
LOSO,RF,T_C,52,1,31.291666666666515
LOSO,RF,T_C,53,7,48.4156107865482
LOSO,RF,T_C,54,2,22.93395951765703
LOSO,RF,T_C,55,1,90.0
LOSO,RF,T_C,56,3,96.56336491282308
LOSO,RF,T_C,57,3,130.86547489797206
LOSO,RF,T_C,58,6,27.01721906244796
LOSO,RF,T_C,59,6,87.58869406422832
LOSO,RF,T_C,60,19,31.4251129387942
LOSO,RF,T_C,61,2,11.722235978111522
LOSO,RF,T_C,62,17,102.29689293609086
LOSO,RF,T_C,63,3,198.14949766337097
LOSO,RF,T_C,64,16,72.21825142501392
LOSO,RF,T_C,65,1,26.897435897436026
LOSO,RF,T_C,66,3,96.17308928755551
LOSO,RF,T_C,67,11,79.60231552324221
LOSO,RF,T_C,68,14,56.36847182635986
LOSO,RF,T_C,69,1,40.176923076923
LOSO,RF,T_C,70,10,23.250609810925386
LOSO,RF,T_C,71,17,37.462522979531194
LOSO,RF,T_C,72,5,128.89911702723896
LOSO,RF,T_C,73,10,89.32931951100086
LOSO,RF,T_C,74,1,254.56944444444434
LOSO,RF,T_C,75,1,78.09999999999991
LOSO,RF,T_C,76,12,28.655614796937833
LOSO,RF,T_C,77,6,45.518731071296315
LOSO,RF,T_C,78,1,47.928571428571445
LOSO,RF,T_C,79,1,30.74155844155848
LOSO,RF,T_C,80,3,56.53034449082216
LOSO,RF,T_C,81,6,60.64132371929286
LOSO,RF,T_C,82,2,73.43299115978371
LOSO,RF,T_C,83,10,59.980165567258915
LOSO,RF,T_C,84,1,38.08999999999992
LOSO,RF,T_C,85,5,67.31096292371556
LOSO,RF,T_C,86,2,64.94921393384989
LOSO,RF,T_C,87,2,258.9605668994333
LOSO,RF,T_C,88,6,109.96131710828877
LOSO,RF,T_C,89,8,37.323130356699885
LOSO,RF,T_C,90,8,236.71574098120865
LOSO,RF,T_C,91,5,136.2040762921468
LOSO,RF,T_C,92,4,16.834506456647027
LOSO,RF,P_kbar,0,4,21.67872217641833
LOSO,RF,P_kbar,1,1,1.3250028132420029e-05
LOSO,RF,P_kbar,2,4,1.2799586439808956
LOSO,RF,P_kbar,3,4,3.9362959562782796
LOSO,RF,P_kbar,4,34,7.601398925079144
LOSO,RF,P_kbar,5,3,1.2171615218392822
LOSO,RF,P_kbar,6,17,0.8248148763442524
LOSO,RF,P_kbar,7,10,4.801708843527487
LOSO,RF,P_kbar,8,23,9.691823200937584
LOSO,RF,P_kbar,9,4,4.3304237199843065
LOSO,RF,P_kbar,10,3,15.445227460763927
LOSO,RF,P_kbar,11,4,9.733264142869766
LOSO,RF,P_kbar,12,13,2.8201390052924205
LOSO,RF,P_kbar,13,9,4.557777048026884
LOSO,RF,P_kbar,14,6,3.3433664359114177
LOSO,RF,P_kbar,15,1,3.169173179147643
LOSO,RF,P_kbar,16,1,2.000000476837
LOSO,RF,P_kbar,17,7,3.0428659118231836
LOSO,RF,P_kbar,18,4,1.5498158043477197
LOSO,RF,P_kbar,19,1,7.999999523163002
LOSO,RF,P_kbar,20,3,6.155742077520339
LOSO,RF,P_kbar,21,23,4.766875582969485
LOSO,RF,P_kbar,22,12,2.2417131912167956
LOSO,RF,P_kbar,23,9,1.740051084818425
LOSO,RF,P_kbar,24,8,2.157834628553011
LOSO,RF,P_kbar,25,9,3.5504860941342042
LOSO,RF,P_kbar,26,3,5.876311254938443
LOSO,RF,P_kbar,27,2,0.0
LOSO,RF,P_kbar,28,3,4.767766925871345
LOSO,RF,P_kbar,29,3,2.2449512308124118
LOSO,RF,P_kbar,30,1,0.0
LOSO,RF,P_kbar,31,21,2.7898130230364457
LOSO,RF,P_kbar,32,7,0.5292700775501473
LOSO,RF,P_kbar,33,1,2.5999996513129435
LOSO,RF,P_kbar,34,2,1.808567944933186
LOSO,RF,P_kbar,35,7,2.6666536712549864
LOSO,RF,P_kbar,36,2,1.3250004020532415e-05
LOSO,RF,P_kbar,37,5,4.28081161703751
LOSO,RF,P_kbar,38,3,4.167850661533305
LOSO,RF,P_kbar,39,16,3.18841694672305
LOSO,RF,P_kbar,40,1,13.414361680120095
LOSO,RF,P_kbar,41,2,4.326368710911893
LOSO,RF,P_kbar,42,1,9.333333253860499
LOSO,RF,P_kbar,43,6,1.3158577662840536
LOSO,RF,P_kbar,44,17,2.680487325360959
