Citation,T_C,T_pred,T_resid,P_kbar,P_pred,P_resid,liq_SiO2,liq_MgO,H2O_Liq,Mg_num,sign
Sisson2005_notinLEPR,825.0000000000001,1060.7874877515565,235.78748775155634,7.0,11.009277238709196,4.0092772387091955,75.3,0.41,6.799999999999997,0.7016011800865661,T_over
Sisson2005_notinLEPR,825.0000000000001,1007.3031386058656,182.30313860586546,7.0,8.702957110571411,1.7029571105714112,73.1,0.49,8.700000000000003,0.6829739485728534,T_over
Cadoux2014_notinLEPR,850.0000000000001,1014.521738416676,164.52173841667593,0.972,3.749945527748064,2.777945527748064,74.13336343573074,0.3508464010194853,3.4,0.7299769766462175,T_over
Cadoux2014_notinLEPR,850.0000000000001,1007.5987455259824,157.59874552598228,0.972,4.967254621752721,3.995254621752721,74.47726253805673,0.3514877255076492,3.6,0.7319597124871923,T_over
Melekhova2015_notinLEPR,920.0,1058.019702012571,138.0197020125711,10.0,12.655493959857692,2.655493959857692,65.50460752747864,2.509159542577995,15.3,0.85568111093977,T_over
Blatter2023_notinLEPR,1000.0,924.7554383866516,-75.24456161334842,11.0,8.552147272822044,-2.447852727177956,70.83,0.74,4.1,0.5688410910474339,T_under
Blatter2023_notinLEPR,1100.0,1031.1108839860035,-68.8891160139965,13.4,13.487982749684882,0.08798274968488151,56.79,2.19,2.6,0.7437786487615488,T_under
Blatter2023_notinLEPR,1100.0,1031.6638785286636,-68.33612147133636,13.1,13.45209059572791,0.3520905957279101,56.71,2.08,0.0,0.7474384736872609,T_under
Blatter2017_notinLEPR,1000.0,932.048468747687,-67.95153125231298,7.0,8.529265183752816,1.5292651837528162,69.4,1.09,3.2,0.6877464583976927,T_under
Blatter2023_notinLEPR,1100.0,1032.981204736781,-67.01879526321909,13.8,13.629317304186465,-0.1706826958135359,57.03,1.97,3.6,0.7331115906850719,T_under
Almeev2013_notinLEPR,975.0,1047.6875972376613,72.6875972376613,1.02,7.444179437877975,6.424179437877974,65.31,2.31,2.9,0.8459920738278794,P_over
Sisson2005_notinLEPR,950.0,1040.097347074631,90.09734707463099,7.0,13.112977800145424,6.1129778001454245,60.2,1.79,4.900000000000006,0.6822311749924294,P_over
Hamada2008_notinLEPR,1130.0,1190.6331129175603,60.63311291756031,3.0,9.106222002446271,6.1062220024462714,52.3,6.28,1.6,0.7916673278219429,P_over
Hamada2008_notinLEPR,1140.0,1195.2973493113898,55.29734931138978,4.0,10.035808499753276,6.035808499753276,51.8,6.73,1.6,0.8046624816989798,P_over
Hamada2008_notinLEPR,1190.0,1206.4135503983932,16.413550398393227,4.0,9.740464549956624,5.740464549956624,50.9,7.61,0.7,0.8164676686496513,P_over
Blatter2023_notinLEPR,1100.0,1059.4499939015916,-40.5500060984084,16.0,8.994256321171722,-7.005743678828278,62.13,3.36,4.72,0.8394980437491247,P_under
Blatter2023_notinLEPR,1100.0,1048.943802729628,-51.05619727037197,14.6,7.7489393626245935,-6.851060637375406,63.12,2.96,4.6,0.8280183456158241,P_under
Blatter2023_notinLEPR,1050.0,1032.4443936222967,-17.55560637770327,14.6,8.672695402427072,-5.9273045975729275,63.48,2.43,5.19,0.8119047076736008,P_under
Blatter2023_notinLEPR,900.0000000000001,913.45360077885,13.453600778849932,14.6,9.816683705130911,-4.783316294869088,71.33,0.4,5.83,0.5222687548728814,P_under
Blatter2023_notinLEPR,975.0,977.2160650942895,2.2160650942895472,14.6,9.895481293876475,-4.704518706123524,66.51,1.3,5.9,0.6926574630446821,P_under
