target,feature,pearson_r,p_value,significant
T,liq_SiO2,0.15341878585889124,0.03136658859453834,False
P,liq_SiO2,-0.14795366581353755,0.03800077131368371,False
T,liq_TiO2,-0.3400360129136033,1.0149243218484717e-06,True
P,liq_TiO2,0.15451864247316827,0.030158033131563546,False
T,liq_Al2O3,-0.1419210273637751,0.046661353316023745,False
P,liq_Al2O3,-0.07474075084092077,0.2965680629322794,False
T,liq_FeO,-0.16267178520418438,0.02237673044050039,False
P,liq_FeO,0.26560995979704566,0.00016176670989258158,True
T,liq_MgO,-0.009611411236143137,0.8933652589014099,False
P,liq_MgO,0.1725773539740119,0.015306387349030443,False
T,liq_CaO,-0.0371944303387765,0.6038262151026871,False
P,liq_CaO,0.1708137230323644,0.016399897951641578,False
T,liq_Na2O,-0.38021970922997944,3.566736392650491e-08,True
P,liq_Na2O,-0.3274815401542632,2.63557207241331e-06,True
T,liq_K2O,0.18449086459721456,0.009451094508643567,False
P,liq_K2O,0.006843817334483517,0.923959483027704,False
T,H2O_Liq,0.3715661197734914,7.628703579200582e-08,True
P,H2O_Liq,-0.22561788266005628,0.0014338474369865808,True
T,Mg_num,0.01412603023083541,0.8438147220948863,False
P,Mg_num,0.10180256105088842,0.1545985185684731,False
T,liq_Mg_num,0.01767399474977655,0.8052898216507862,False
P,liq_Mg_num,0.04552140877716576,0.525306565427109,False
