feature,importance_P_pwlr,importance_T_pwlr,feature_set
pwlr_Al2O3_MgO,3.1710222082263777,0.35313018343190095,pwlr
pwlr_SiO2_Na2O,2.3110342444054157,1.8187227201725,pwlr
pwlr_Al2O3_Na2O,1.4382573944862185,3.395269249354432,pwlr
pwlr_TiO2_Na2O,1.308473689066338,4.007725320312809,pwlr
pwlr_TiO2_FeO_total,1.2078898601241295,0.24354274491542593,pwlr
pwlr_Al2O3_Cr2O3,1.0486511041613835,0.3932064763630244,pwlr
pwlr_Al2O3_MnO,0.7766180111097181,0.36960816698869153,pwlr
pwlr_SiO2_MgO,0.6149470263383531,0.46008057666308266,pwlr
pwlr_Cr2O3_FeO_total,0.5366885487284749,0.332905805297657,pwlr
pwlr_SiO2_Al2O3,0.48708343800124476,0.30377548995455333,pwlr
