best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,T_C,1.8657968474586368,89.53029579080342,60.42363158784808,0.5834273509694372,0.020839837855760688,42,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': None}",RF,P_kbar,1.1818611374080457,5.767672503070286,3.7867645152099816,0.6419220523110609,0.2049112769109046,42,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",ERT,T_C,16.357241720804797,89.98178883048556,60.79458423122217,0.5792152821031823,0.1817839135385472,42,opx_liq,raw
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",ERT,P_kbar,2.166419343339899,7.341806623169463,4.728571309640301,0.4197939227702959,0.2950798699196267,42,opx_liq,raw
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",XGB,T_C,0.6587112082174187,90.04526617383814,60.656719339304956,0.5786213904345245,0.00731533412257047,42,opx_liq,raw
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.6115004295209985,5.118289406508931,3.7151211463524683,0.7180149601648598,0.11947359380330332,42,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': 3, 'learning_rate': 0.01, 'l2_regularization': 1.0}",GB,T_C,41.284313071090786,89.19867880605477,61.18420469583166,0.5865075759825025,0.46283547720314916,42,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,2.006839487832673,5.042012527331923,3.702018775797505,0.7263570703254005,0.39802350290760397,42,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",RF,T_C,14.877643580647604,88.22184054538583,60.52933956493662,0.595514514977393,0.16863900694742118,42,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,P_kbar,0.09200757945102242,5.563008008928422,3.374035964291506,0.6668837943677854,0.01653917795972137,42,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",ERT,T_C,9.61216301712591,92.40628321080095,62.08044044488232,0.5562343135865004,0.10402066486321342,42,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.7231812511873852,7.540895901506629,4.841805037072479,0.3879001376300618,0.22851147578407802,42,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",XGB,T_C,0.56230549245216,98.91771913548254,68.37098641231142,0.4914906990055188,0.005684578024711618,42,opx_liq,alr
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.31531689802277096,5.0735171414584785,3.668462487576684,0.7229267144015092,0.062149567889727704,42,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,T_C,27.670542543827732,92.15807048079397,62.79312518036066,0.5586151118156896,0.30025088849483195,42,opx_liq,alr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",GB,P_kbar,2.2439309471428976,4.960852637301573,3.4510713732986242,0.7350956782694769,0.45232767655107586,42,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",RF,T_C,0.0,84.29988981967148,57.42774830533452,0.6306783838418508,0.0,42,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",RF,P_kbar,1.3329843212190169,6.80886053151564,4.62269953990613,0.5009715939477868,0.19577201134450276,42,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': None}",ERT,T_C,0.0,89.71263747926753,60.55907863089977,0.5817287994357592,0.0,42,opx_liq,pwlr
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.3394566952167732,7.274582648146023,4.875664219635359,0.43037039128026866,0.18412832185749417,42,opx_liq,pwlr
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",XGB,T_C,8.009519416533582,93.41030500969632,63.23700266870959,0.5465386321622198,0.08574556539240683,42,opx_liq,pwlr
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,1.1688332282441443,5.412661465667895,4.009217896099384,0.6846461621437624,0.21594426986759943,42,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,T_C,24.240410795000276,90.12753614497957,62.006460088212826,0.5778510524876708,0.2689567676188001,42,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.9818003587280915,5.417338343230909,3.9643949929887032,0.684100955875647,0.36582547243045976,42,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,T_C,6.158500896111933,89.46268960118248,64.96640137180651,0.7944917486736196,0.06883876310410561,43,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': None}",RF,P_kbar,1.211198512435841,5.06984535479439,3.1514478429954464,0.7565779531995147,0.23890245711152697,43,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",ERT,T_C,18.30012892268724,86.76574053514608,60.49089830655457,0.806695520515615,0.2109142250134364,43,opx_liq,raw
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",ERT,P_kbar,2.2129711945245782,7.118090847056198,4.346004822860502,0.5201587957470031,0.31089392395712234,43,opx_liq,raw
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",XGB,T_C,0.6648129807289724,89.06347534001084,66.33572752879626,0.7963217579259287,0.007464485056202518,43,opx_liq,raw
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.6844286527188945,4.550653972632641,3.0587585796751595,0.8038817035577346,0.15040226236382886,43,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': 3, 'learning_rate': 0.01, 'l2_regularization': 1.0}",GB,T_C,45.432655916652436,84.269222769618,61.39019264735179,0.8176594168932688,0.5391369995289965,43,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.9659653323915987,5.199466383844302,3.7632674720388115,0.7439716633646519,0.37810905721021953,43,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",RF,T_C,17.01110870697863,88.16646223176093,64.37723109298109,0.8004038353402,0.19294307922055395,43,opx_liq,alr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,P_kbar,0.32577850462570873,6.442641577480779,3.975467660097703,0.606904178649194,0.050565983022308005,43,opx_liq,alr
