Method,Target,RMSE,MAE,R2,n_test,Comparison,failure_pct
Putirka 28a (true P),T,77.0498962296864,42.71813917337629,0.6306577418128061,124,fair (same n),
Putirka 28b_opx_sat (true P),T,81.43193070646696,49.497447820837344,0.5874521316232366,124,fair (same n),
Putirka iterative (28a+29a),T,77.84217717013051,49.592438633668266,0.623023018798285,124,fair (same n),
Putirka 28a (ML P),T,79.8544902877783,52.67615524652924,0.6032804819278872,124,fair (same n),
ML-RF opx-liq,T,88.289482235016,60.17430599115193,0.515043456338417,124,fair (same n),
Putirka 29a (true T),P,3.834003654073967,2.949567890113152,0.7798520814370886,107,fair (same n),
"Putirka 29c (opx-only, true T)",P,4.96287762888548,3.84166432992747,0.6311271659860692,107,fair (same n),
Putirka iterative (28a+29a),P,3.818456468272376,2.9176318066800224,0.7816338955836927,107,fair (same n),
Putirka 29a (ML T),P,3.667729332021637,2.7389592404983785,0.7985329182434908,107,fair (same n),
ML-RF opx-liq,P,4.510443258213643,3.520248990001213,0.695317166207265,107,fair (same n),
ML-RF opx-liq (all test),T,87.54508606616842,60.01441611371537,0.6016963727819613,174,practical (all test n),0.0
ML-RF opx-liq (all test),P,5.393819409181495,3.9932521697516568,0.686837901879028,174,practical (all test n),0.0
Putirka failure rate,T,,,,50,practical (all test n),28.735632183908045
Putirka failure rate,P,,,,67,practical (all test n),38.50574712643678
