CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,ROCK NAME,ROCK TEXTURE,LAND/SEA (SAMPLING),LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,K2O,FeO,Fe2O3,lat,lon
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.98,18.99,-155.27,-155.28,55.6,0.11,1.64,0.68,5.68,0.13,33.3,1.29,0.07,,,,18.985,-155.275
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.98,18.99,-155.27,-155.28,55.0,0.15,2.25,0.6,5.53,0.13,33.0,1.26,0.07,,,,18.985,-155.275
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.0001,1.87,0.64,5.59,0.15,33.9,1.26,0.09,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,57.3,0.0001,1.52,0.52,5.17,0.13,34.5,0.89,0.07,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-4AB-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.9,0.0001,1.69,0.61,5.66,0.13,33.7,1.47,0.03,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.07,1.59,0.71,5.75,0.13,33.2,1.43,0.09,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.03,1.79,0.71,5.8,0.13,33.3,1.39,0.08,,,,18.88,-155.26
[88] FODOR R. V. (1997),samp. C20,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"WEHRLITE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,55.0,0.34,1.5,0.19,11.3,0.24,30.7,0.9,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C77,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"WEHRLITE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.2,0.27,1.4,0.15,13.7,0.3,29.5,0.84,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C12,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"CLINOPYROXENITE, OLIVINE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,53.2,0.32,5.0,0.28,11.5,0.22,31.3,0.62,0.04,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C21,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"CLINOPYROXENITE, OLIVINE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,55.0,0.35,1.4,0.14,13.5,0.26,29.2,1.0,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C75G,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,55.1,0.41,1.2,0.08,11.6,0.24,30.0,1.2,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C17,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.8,0.4,1.6,0.31,11.3,0.18,30.3,1.2,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A2,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,55.4,0.78,1.5,0.36,11.5,0.23,30.8,0.73,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A14,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.7,0.41,1.5,0.22,11.9,0.22,30.6,0.95,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A21,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,53.6,0.38,1.4,0.16,14.2,0.3,28.4,0.99,0.04,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A7,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.8,0.46,1.5,0.15,14.2,0.18,28.6,0.74,0.01,,,,19.83,-155.42
