CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,ROCK NAME,lat,lon,SiO2_Opx,TiO2_Opx,Al2O3_Opx,Cr2O3_Opx,FeO_total_Opx,MnO_Opx,MgO_Opx,CaO_Opx,Na2O_Opx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,Cr2O3_Cpx,FeO_total_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx
[10032] BECCALUVA L. (1989),samp. A413N,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"HARZBURGITE, XENOLITH",40.4,8.65,54.58,0.12,4.61,0.43,6.25,0.11,33.1,0.74,0.1,51.98,0.44,6.72,0.85,2.77,0.06,14.9,20.32,1.62
[10032] BECCALUVA L. (1989),samp. A416N,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"LHERZOLITE, XENOLITH",40.4,8.65,55.67,0.09,2.94,0.57,6.35,0.19,32.72,0.63,0.05,54.22,0.07,4.29,1.42,2.7,0.0,15.99,19.14,1.96
[10032] BECCALUVA L. (1989),samp. LL284B,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.95,0.07,3.14,0.29,6.44,0.17,34.07,0.57,0.09,53.13,0.38,5.11,0.72,3.19,0.12,15.63,20.49,1.77
[10032] BECCALUVA L. (1989),samp. LL284C,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,55.56,0.03,3.11,0.51,5.61,0.17,33.52,0.59,0.03,53.6,0.08,3.78,1.11,2.32,0.09,16.57,22.0,1.28
[10032] BECCALUVA L. (1989),samp. LL284E,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,55.47,0.05,3.92,0.42,7.0,0.19,31.86,0.62,0.13,51.87,0.31,7.39,1.17,3.44,0.15,14.27,18.72,2.42
[10032] BECCALUVA L. (1989),samp. LL284G,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.55,0.11,4.49,0.38,6.39,0.12,32.8,0.54,0.14,53.18,0.55,6.63,0.71,2.77,0.12,14.69,19.67,2.49
[10032] BECCALUVA L. (1989),samp. LL36,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTE ARANA,"PERIDOTITE, XENOLITH",40.6,8.7,57.34,0.0001,1.8,0.55,5.45,0.16,34.8,0.64,0.0001,54.06,0.1,1.8,0.7,2.06,0.16,17.86,22.88,0.35
[10032] BECCALUVA L. (1989),samp. LL56,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.4,8.65,55.8,0.06,2.65,0.57,5.57,0.12,34.36,0.61,0.23,53.86,0.13,4.1,1.47,2.85,0.08,15.46,18.99,2.5
[10032] BECCALUVA L. (1989),samp. OD8F,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.56,0.1,4.04,0.39,6.42,0.18,33.23,0.73,0.06,52.91,0.39,5.0,0.6,3.26,0.13,15.63,21.29,1.47
[10041] CIONI R. (1982),samp. 42,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / MONTE ARCI VOLCANIC COMPLEX,BASALT,39.7,8.8,54.144999999999996,0.29000000000000004,2.24,0.0001,12.594999999999999,0.28,28.53,1.845,0.06,51.12,1.01,1.99,0.0,10.38,0.31,16.25,15.67,0.29
[10086] GUO FENG (2007),samp. 04YJ-2,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE,"ANDESITE, CLINOPYROXENE",42.77,129.42,56.894999999999996,0.025,1.52,0.020050000000000002,8.58,0.10500000000000001,32.89,0.6950000000000001,0.04,54.195,0.225,1.19,0.445,3.2299999999999995,0.055,17.255000000000003,22.405,0.32999999999999996
[10086] GUO FENG (2007),samp. 04YJ-5,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE,"ANDESITE, CLINOPYROXENE",42.77,129.42,57.41,0.12,1.54,0.11,6.58,0.12,33.52,1.07,0.08,53.86,0.22,1.07,0.28,3.11,0.1,18.0,22.06,0.41
[10138] KURAT G. (1971),samp. LHERZOLITH,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / STYRIAN BASIN,"LHERZOLITE, SPINEL, XENOLITH",46.85,15.94,54.7,0.0001,5.4,0.41,6.6,0.16,32.0,0.83,0.06,52.3,0.0,7.4,0.87,3.2,0.13,14.6,19.1,1.7
[10160] WANG JIAN (2007),samp. BXE-32-I,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.22,0.07,3.585,0.52,6.025,0.15,33.0,0.925,0.025,52.665,0.21,4.01,0.785,2.8449999999999998,0.1,17.39,21.58,0.5900000000000001
[10160] WANG JIAN (2007),samp. BXE-32-II,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,54.84,0.07,3.575,0.56,6.225,0.15,32.864999999999995,0.925,0.04,52.315,0.18,3.9699999999999998,0.815,2.9299999999999997,0.095,17.225,21.535,0.575
[10160] WANG JIAN (2007),samp. BXE-32-III,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.025,0.07,3.565,0.52,5.99,0.14500000000000002,32.95,0.935,0.04,52.2,0.19,3.955,0.81,2.815,0.1,17.32,21.585,0.535
[10160] WANG JIAN (2007),samp. BXE1,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"LHERZOLITE, SPINEL, XENOLITH",-50.53,-72.65,54.315,0.09,3.275,0.26,9.865,0.235,30.79,0.55,0.025,51.275,0.55,4.62,0.63,3.7649999999999997,0.12,15.364999999999998,22.195,0.77
[10160] WANG JIAN (2007),samp. BXE11,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,56.09,0.07500000000000001,2.34,0.43000000000000005,5.785,0.14,34.105000000000004,0.65,0.045,53.285,0.2,3.115,0.79,2.3049999999999997,0.08,17.14,22.119999999999997,0.845
