Experiment,Citation,DOI,T_C,P_kbar,SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,cat_Si,cat_Ti,cat_Al,cat_Cr,cat_Fe,cat_Mn,cat_Mg,cat_Ca,cat_Na,Mg_num,Al_IV,Al_VI,En_frac,Fs_frac,Wo_frac,MgTs,oxide_total,cation_sum,Device,Rock type
AW4,"Agee, C.B., Draper, D.S. (2004) Experimental constraints on the origin of Martian meteorites and the composition of the Martian mantle. Earth and Planetary Science Letters 224 415-429",,1850.0,50.0,58.299999237061,0.0099999997764826,0.87999999523163,0.31000000238419,6.5500001907349,0.20000000298023,34.619998931885,0.51999998092651,0.18999999761581,1.9814492197538316,0.00025568855666994973,0.03524940692864117,0.008330094207453767,0.1861761493423474,0.0057574532409706836,1.7540910601275652,0.018936154620778696,0.012520228686384333,0.9040461290931101,0.018550780246168408,0.01669862668247276,0.8953083137143738,0.095026454504255,0.009665231781371188,0.018550780246168408,101.57999833859576,4.002765455464643,MA,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,56.995800018311,0.0,4.5999999046326,0.0,0.0,0.0,37.53870010376,0.96552401781082,0.0,1.9091958592570895,0.0,0.18160182111686143,0.0,0.0,0.0,1.8745522355567736,0.034653314253754855,0.0,1.0,0.09080414074291054,0.09079768037395089,0.9818493539068154,0.0,0.018150646093184616,0.09080414074291054,100.10002404451441,4.000003230184479,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,55.652400970459,0.0,6.5,0.0,0.0,0.0,36.01309967041,1.834489941597,0.0,1.8712070246178762,0.0,0.2575763811101782,0.0,0.0,0.0,1.8051326600647075,0.06608871903427245,0.0,1.0,0.12879297538212375,0.12878340572805447,0.9646815070774282,0.0,0.035318492922571845,0.12879297538212375,99.999990582466,4.000004784827035,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,58.28519821167,0.0,2.7000000476837,0.0,0.0,0.0,38.542400360107,0.77241897583008,0.0,1.9468518581056617,0.0,0.10629018108784832,0.0,0.0,0.0,1.9192169647924586,0.027644047364445163,0.0,1.0,0.05314814189433825,0.05314203919351007,0.9858007083238989,0.0,0.014199291676101036,0.05314814189433825,100.30001759529078,4.000003051350414,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,57.73030090332,0.0,3.2000000476837,0.0,0.0,0.0,38.100799560547,0.86897099018097,0.0,1.9367349404387257,0.0,0.1265234711517963,0.0,0.0,0.0,1.9055096103159366,0.031235302078917906,0.0,1.0,0.06326505956127426,0.06325841159052203,0.9838722684236746,0.0,0.016127731576325317,0.06326505956127426,99.90007150173167,4.000003323985377,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,57.254398345947,0.0,4.0,0.0,0.0,0.0,37.53870010376,1.2069000005722,0.0,1.92091338498216,0.0,0.15816619453459344,0.0,0.0,0.0,1.8775384708239147,0.0433854674098745,0.0,1.0,0.07908661501783998,0.07907957951675346,0.9774142710461686,0.0,0.022585728953831277,0.07908661501783998,99.99999845027921,4.000003517750542,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,56.351398468018,0.0,5.4000000953674,0.0,0.0,0.0,36.65539932251,1.5931099653244,0.0,1.8930943262020639,0.0,0.21380412003291951,0.0,0.0,0.0,1.8357612478519918,0.057343919694501734,0.0,1.0,0.10690567379793614,0.10689844623498337,0.9697090681080224,0.0,0.030290931891977627,0.10690567379793614,99.9999078512198,4.000003613781477,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,55.212100982666,0.0,7.0999999046326,0.0,0.0,0.0,35.370700836182,2.3172600269318,0.0,1.8591145337671084,0.0,0.2817636484265046,0.0,0.0,0.0,1.775522681928505,0.08360277789752152,0.0,1.0,0.14088546623289155,0.14087818219361303,0.955031126352632,0.0,0.044968873647368,0.14088546623289155,100.0000617504124,4.00000364201964,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,58.96789932251,0.0,1.7999999523163,0.0,0.0,0.0,39.104499816895,0.62759000062943,0.0,1.9646559178531398,0.0,0.07068025122677017,0.0,0.0,0.0,1.9422640267599893,0.022403760693577062,0.0,1.0,0.035344082146860245,0.035336169079909927,0.9885966671634522,0.0,0.011403332836547849,0.035344082146860245,100.49998909235073,4.000003956533477,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,59.286399841309,0.0,2.4000000953674,0.0,0.0,0.0,39.144599914551,0.86897099018097,0.0,1.9533986068425935,0.0,0.09319697170039068,0.0,0.0,0.0,1.9227301696557986,0.030677159108428546,0.0,1.0,0.04660139315740652,0.046595578542984156,0.9842955646491632,0.0,0.01570443535083677,0.04660139315740652,101.69997084140837,4.000002907307211,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,57.496799468994,0.0,3.5,0.0,0.0,0.0,37.458400726318,1.5448399782181,0.0,1.930738305909811,0.0,0.13851682671693324,0.0,0.0,0.0,1.875165746476024,0.05558240162895417,0.0,1.0,0.0692616940901889,0.06925513262674435,0.971211987599984,0.0,0.028788012400016067,0.0692616940901889,100.0000401735301,4.000003280731723,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,58.984199523926,0.0,1.3999999761581,0.0,0.0,0.0,39.184799194336,0.53103798627853,0.0,1.972408905471155,0.0,0.055175215731316875,0.0,0.0,0.0,1.953392777262173,0.019026588198540653,0.0,1.0,0.027591094528844895,0.02758412120247198,0.9903536800886679,0.0,0.009646319911332071,0.027591094528844895,100.10003668069862,4.000003486663186,PC,
,"Akella, J. (1976) Garnet pyroxene equilibria in the system CaSiO3-MgSiO3-Al2O3 and in a natural mineral mixture. American Mineralogist 61 589-598",,1100.0,25.999999046326,58.48099899292,0.0,1.6000000238419,0.0,0.0,0.0,38.743198394775,0.67586702108383,0.0,1.9682627563353252,0.0,0.06346627774958556,0.0,0.0,0.0,1.9439023723650666,0.02437269833990537,0.0,1.0,0.031737243664674786,0.031729034084910776,0.9876172295718932,0.0,0.012382770428106812,0.031737243664674786,99.50006443262073,4.000004104789883,PC,
