pipeline,track,target,model,feature_set,seed,form,pre_rmse,post_rmse,delta_rmse,wins
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,A,6.536933057636693,5.727642021260991,0.8092910363757024,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,43,A,6.590243894118035,5.794740081826438,0.7955038122915967,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,44,A,6.495917591844084,5.648821934551128,0.8470956572929564,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,45,A,6.555701305690136,5.522157750860053,1.033543554830083,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,46,A,6.554938758306332,5.727026200151461,0.8279125581548712,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,47,A,6.523176636006713,5.6109832344567145,0.9121934015499988,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,48,A,6.611234344741539,5.483326940612399,1.1279074041291404,1
cpx,cpx_liq,P_kbar,LightGBM,pwlr,49,A,6.504809056337191,5.528024907232155,0.9767841491050362,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,50,A,6.518908800265969,5.751452027201583,0.767456773064386,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,51,A,6.647523209887015,5.679711995206678,0.9678112146803368,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,52,A,6.472247864833115,5.530902740730005,0.94134512410311,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,53,A,6.541180997910408,5.700210750962733,0.8409702469476752,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,54,A,6.476288885264271,5.524326609031903,0.9519622762323676,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,55,A,6.590797657590222,5.704753795694352,0.8860438618958693,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,56,A,6.503491603792681,5.408537859624595,1.0949537441680857,1
cpx,cpx_liq,P_kbar,LightGBM,pwlr,57,A,6.542915034966297,5.729925481716404,0.812989553249893,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,58,A,6.555705739003633,5.811217329076401,0.7444884099272322,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,59,A,6.515066845342748,5.480175790652757,1.0348910546899912,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,60,A,6.53450156010129,5.741799356699756,0.7927022034015341,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,61,A,6.647797079429865,5.600998045615829,1.046799033814036,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,B,6.536933057636693,6.710826134105625,-0.1738930764689321,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,43,B,6.590243894118035,6.828766904881261,-0.2385230107632265,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,44,B,6.495917591844084,6.687241557517971,-0.1913239656738863,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,45,B,6.555701305690136,6.5521280762730045,0.0035732294171317,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,46,B,6.554938758306332,6.777639564195909,-0.2227008058895769,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,47,B,6.523176636006713,6.614025164772421,-0.0908485287657079,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,48,B,6.611234344741539,6.528630079721371,0.0826042650201674,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,49,B,6.504809056337191,6.5652071870541135,-0.0603981307169227,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,50,B,6.518908800265969,6.84010869870399,-0.3211998984380209,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,51,B,6.647523209887015,6.750888599218893,-0.103365389331878,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,52,B,6.472247864833115,6.546086658323583,-0.0738387934904682,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,53,B,6.541180997910408,6.740070206001716,-0.1988892080913071,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,54,B,6.476288885264271,6.593320389767748,-0.1170315045034771,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,55,B,6.590797657590222,6.788653154461374,-0.1978554968711527,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,56,B,6.503491603792681,6.265199269795433,0.238292333997248,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,57,B,6.542915034966297,6.81167938264503,-0.2687643476787329,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,58,B,6.555705739003633,6.733501280744664,-0.1777955417410313,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,59,B,6.515066845342748,6.459877284853179,0.0551895604895689,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,60,B,6.53450156010129,6.777845949038639,-0.2433443889373485,0
cpx,cpx_liq,P_kbar,LightGBM,pwlr,61,B,6.647797079429865,6.740695453173707,-0.092898373743842,0
cpx,cpx_only,P_kbar,MLP,alr,42,A,13.46565902091653,11.054468336058909,2.4111906848576226,1
cpx,cpx_only,P_kbar,MLP,alr,43,A,13.896130831281733,11.227812642205372,2.668318189076359,1
cpx,cpx_only,P_kbar,MLP,alr,44,A,13.291874060294164,11.847667818100993,1.4442062421931716,0
cpx,cpx_only,P_kbar,MLP,alr,45,A,13.128245887336483,11.233501196416151,1.89474469092033,1
cpx,cpx_only,P_kbar,MLP,alr,46,A,13.746601765219774,11.267919670407087,2.478682094812685,1
cpx,cpx_only,P_kbar,MLP,alr,47,A,13.80339724900017,11.30160227998364,2.501794969016529,1
cpx,cpx_only,P_kbar,MLP,alr,48,A,13.778757680109951,11.360145835972387,2.418611844137564,1
cpx,cpx_only,P_kbar,MLP,alr,49,A,13.982927407596792,11.449028232805125,2.5338991747916677,1
cpx,cpx_only,P_kbar,MLP,alr,50,A,14.167870385783448,11.475393211385668,2.692477174397782,1
cpx,cpx_only,P_kbar,MLP,alr,51,A,13.955756794597097,11.5962911168519,2.3594656777451952,1
cpx,cpx_only,P_kbar,MLP,alr,52,A,13.579173563782364,11.289946668554624,2.2892268952277384,1
cpx,cpx_only,P_kbar,MLP,alr,53,A,13.436508955553409,11.213707497192026,2.222801458361383,1
