track,target,regime,source,n,rmse,rmse_lo,rmse_hi
opx_liq,T_C,shallow_crustal,ml_pre,80,31.38345694169387,26.194468579462992,36.591541077119146
opx_liq,T_C,shallow_crustal,ml_post,80,41.22534988186589,36.92767893598597,45.35209692894729
opx_liq,T_C,shallow_crustal,putirka,80,43.65727884638541,35.26054344743798,51.95534386879223
opx_liq,T_C,deep_crustal_MASH,ml_pre,116,47.79463733925594,40.26228087957619,55.682669928862566
opx_liq,T_C,deep_crustal_MASH,ml_post,116,48.330097201575775,41.03449545359433,56.06031849569981
opx_liq,T_C,deep_crustal_MASH,putirka,116,48.41517714610263,41.25653381941494,55.83674293934934
opx_liq,T_C,lithospheric_mantle,ml_pre,1,,,
opx_liq,T_C,lithospheric_mantle,ml_post,1,,,
opx_liq,T_C,lithospheric_mantle,putirka,1,,,
opx_liq,T_C,deeper_mantle,ml_pre,0,,,
opx_liq,T_C,deeper_mantle,ml_post,0,,,
opx_liq,T_C,deeper_mantle,putirka,0,,,
opx_liq,T_C,ALL,ml_pre,197,42.082079793548246,36.71893942872103,47.93680820190764
opx_liq,T_C,ALL,ml_post,197,45.73188585385696,40.97458408762438,50.89119919649352
opx_liq,T_C,ALL,putirka,197,46.42411865736357,41.1768816244296,51.632164877768574
opx_liq,P_kbar,shallow_crustal,ml_pre,80,3.6436637109395535,3.2317018127164125,4.033692562833968
opx_liq,P_kbar,shallow_crustal,ml_post,80,2.0240271507592373,1.7309616332726003,2.297496554997997
opx_liq,P_kbar,shallow_crustal,putirka,71,2.840651642891517,2.5488491881314435,3.112606727267592
opx_liq,P_kbar,deep_crustal_MASH,ml_pre,116,5.5225452980947605,4.976634116627472,6.026687558184498
opx_liq,P_kbar,deep_crustal_MASH,ml_post,116,2.85482589812402,2.657999746510367,3.038140926303884
opx_liq,P_kbar,deep_crustal_MASH,putirka,113,3.7029031478207357,3.1752916405772273,4.19242976465788
opx_liq,P_kbar,lithospheric_mantle,ml_pre,1,,,
opx_liq,P_kbar,lithospheric_mantle,ml_post,1,,,
opx_liq,P_kbar,lithospheric_mantle,putirka,1,,,
opx_liq,P_kbar,deeper_mantle,ml_pre,0,,,
opx_liq,P_kbar,deeper_mantle,ml_post,0,,,
opx_liq,P_kbar,deeper_mantle,putirka,0,,,
opx_liq,P_kbar,ALL,ml_pre,197,4.930540455376196,4.49957608856472,5.360501598393275
opx_liq,P_kbar,ALL,ml_post,197,2.557444986614563,2.389335220955104,2.72262813005315
opx_liq,P_kbar,ALL,putirka,185,3.4687582253611153,3.1080766658790107,3.840366519656686
opx_only,T_C,shallow_crustal,ml_pre,80,102.88998392195823,88.36792266175841,117.62244087783199
opx_only,T_C,shallow_crustal,ml_post,80,81.27123546383739,66.99955640361198,95.59149592159565
opx_only,T_C,shallow_crustal,putirka,0,,,
opx_only,T_C,deep_crustal_MASH,ml_pre,116,105.43717898641475,91.45869525012719,119.83587721813791
opx_only,T_C,deep_crustal_MASH,ml_post,116,107.6465660864191,94.9091176999915,121.10478476782443
opx_only,T_C,deep_crustal_MASH,putirka,0,,,
opx_only,T_C,lithospheric_mantle,ml_pre,1,,,
opx_only,T_C,lithospheric_mantle,ml_post,1,,,
opx_only,T_C,lithospheric_mantle,putirka,0,,,
opx_only,T_C,deeper_mantle,ml_pre,0,,,
opx_only,T_C,deeper_mantle,ml_post,0,,,
opx_only,T_C,deeper_mantle,putirka,0,,,
opx_only,T_C,ALL,ml_pre,197,104.1805697092776,94.13253157734621,114.14273037292288
opx_only,T_C,ALL,ml_post,197,97.85100356375833,88.43314743191775,107.43562208198897
opx_only,T_C,ALL,putirka,0,,,
opx_only,P_kbar,shallow_crustal,ml_pre,80,4.616093321095322,3.9472128317141197,5.324569081770713
opx_only,P_kbar,shallow_crustal,ml_post,80,2.0569547701021667,1.7768937902116801,2.308620038862158
opx_only,P_kbar,shallow_crustal,putirka,13,2.203612697316833,1.1143848320482002,3.172723538478442
opx_only,P_kbar,deep_crustal_MASH,ml_pre,116,3.326225152799321,2.8878707567557202,3.754189949796336
opx_only,P_kbar,deep_crustal_MASH,ml_post,116,2.684088161760177,2.4691401522047824,2.8876922257659823
opx_only,P_kbar,deep_crustal_MASH,putirka,80,4.593697947810795,3.712017824533113,5.4700430858488165
opx_only,P_kbar,lithospheric_mantle,ml_pre,1,,,
opx_only,P_kbar,lithospheric_mantle,ml_post,1,,,
opx_only,P_kbar,lithospheric_mantle,putirka,1,,,
opx_only,P_kbar,deeper_mantle,ml_pre,0,,,
opx_only,P_kbar,deeper_mantle,ml_post,0,,,
opx_only,P_kbar,deeper_mantle,putirka,0,,,
opx_only,P_kbar,ALL,ml_pre,197,3.9094544995370635,3.4926896107785743,4.314734351518331
opx_only,P_kbar,ALL,ml_post,197,2.4441445538876025,2.269009240162832,2.6113380334656235
opx_only,P_kbar,ALL,putirka,94,4.445957458120489,3.572378238509983,5.224924154538584
