pipeline,track,target,feature_set,model,seed,aug_n_copies,aug_rel_noise,test_rmse,elapsed_s
opx,opx_liq,T_C,raw,RF,42,15,0.03,92.38355807504917,6.032733201980591
opx,opx_liq,T_C,raw,RF,43,15,0.03,91.66176155824937,6.023087024688721
opx,opx_liq,T_C,raw,RF,44,15,0.03,92.1777086808422,6.255568504333496
opx,opx_liq,T_C,raw,RF,45,15,0.03,93.88446316599851,6.094609498977661
opx,opx_liq,T_C,raw,RF,46,15,0.03,91.66484491742426,6.208622932434082
opx,opx_liq,T_C,raw,RF,47,15,0.03,93.12198399973695,6.082931995391846
opx,opx_liq,T_C,raw,RF,48,15,0.03,91.93305847707767,6.087883472442627
opx,opx_liq,T_C,raw,RF,49,15,0.03,92.10834274034394,7.178963899612427
opx,opx_liq,T_C,raw,RF,50,15,0.03,92.029781998117,7.222030401229858
opx,opx_liq,T_C,raw,RF,51,15,0.03,91.87832353623286,6.9503173828125
opx,opx_liq,T_C,raw,RF,52,15,0.03,90.92181583357814,7.429959297180176
opx,opx_liq,T_C,raw,RF,53,15,0.03,90.94623146090115,7.088471412658691
opx,opx_liq,T_C,raw,RF,54,15,0.03,90.37834680246215,6.1453938484191895
opx,opx_liq,T_C,raw,RF,55,15,0.03,92.87480455158236,6.22509765625
opx,opx_liq,T_C,raw,RF,56,15,0.03,91.08611479910408,5.962554216384888
opx,opx_liq,T_C,raw,RF,57,15,0.03,90.47574443967743,6.090868234634399
opx,opx_liq,T_C,raw,RF,58,15,0.03,92.02266199974426,6.139300346374512
opx,opx_liq,T_C,raw,RF,59,15,0.03,92.98825023924405,6.014331340789795
opx,opx_liq,T_C,raw,RF,60,15,0.03,90.3166083502099,5.857543230056763
opx,opx_liq,T_C,raw,RF,61,15,0.03,92.78177096938879,6.15390157699585
opx,opx_liq,T_C,raw,ERT,42,15,0.03,92.33165131660432,3.132556438446045
opx,opx_liq,T_C,raw,ERT,43,15,0.03,92.69745807150794,3.174734115600586
opx,opx_liq,T_C,raw,ERT,44,15,0.03,92.99404939964734,3.143263816833496
opx,opx_liq,T_C,raw,ERT,45,15,0.03,92.68460095968052,3.140900135040283
opx,opx_liq,T_C,raw,ERT,46,15,0.03,92.7506678697419,3.828631639480591
opx,opx_liq,T_C,raw,ERT,47,15,0.03,92.40540533733571,3.200209617614746
