pipeline,model,feature_set,track,target,n_seeds,rmse_std_8dp,is_exactly_zero,is_rounded_zero,inferred_source
opx,CatBoost,alr,opx_liq,P_kbar,20,0.08898719,False,False,stochastic_fit_ok
opx,CatBoost,pwlr,opx_liq,P_kbar,20,0.11340108,False,False,stochastic_fit_ok
opx,CatBoost,raw,opx_liq,P_kbar,20,0.12816544,False,False,stochastic_fit_ok
opx,CatBoost,alr,opx_only,P_kbar,20,0.25080067,False,False,stochastic_fit_ok
opx,CatBoost,pwlr,opx_only,P_kbar,20,0.16841233,False,False,stochastic_fit_ok
opx,CatBoost,raw,opx_only,P_kbar,20,0.16213486,False,False,stochastic_fit_ok
opx,CatBoost,alr,opx_liq,T_C,20,1.46204056,False,False,stochastic_fit_ok
opx,CatBoost,pwlr,opx_liq,T_C,20,0.68813441,False,False,stochastic_fit_ok
opx,CatBoost,raw,opx_liq,T_C,20,1.16864991,False,False,stochastic_fit_ok
opx,CatBoost,alr,opx_only,T_C,20,1.96357635,False,False,stochastic_fit_ok
opx,CatBoost,pwlr,opx_only,T_C,20,2.51605042,False,False,stochastic_fit_ok
opx,CatBoost,raw,opx_only,T_C,20,2.07656724,False,False,stochastic_fit_ok
opx,ERT,alr,opx_liq,P_kbar,20,0.04515844,False,False,stochastic_fit_ok
opx,ERT,pwlr,opx_liq,P_kbar,20,0.10192862,False,False,stochastic_fit_ok
opx,ERT,raw,opx_liq,P_kbar,20,0.04682680,False,False,stochastic_fit_ok
opx,ERT,alr,opx_only,P_kbar,20,0.10595047,False,False,stochastic_fit_ok
opx,ERT,pwlr,opx_only,P_kbar,20,0.10594287,False,False,stochastic_fit_ok
opx,ERT,raw,opx_only,P_kbar,20,0.07286908,False,False,stochastic_fit_ok
opx,ERT,alr,opx_liq,T_C,20,0.91754332,False,False,stochastic_fit_ok
opx,ERT,pwlr,opx_liq,T_C,20,0.36573952,False,False,stochastic_fit_ok
opx,ERT,raw,opx_liq,T_C,20,0.30045030,False,False,stochastic_fit_ok
opx,ERT,alr,opx_only,T_C,20,0.78700142,False,False,stochastic_fit_ok
opx,ERT,pwlr,opx_only,T_C,20,0.95035504,False,False,stochastic_fit_ok
opx,ERT,raw,opx_only,T_C,20,0.83548225,False,False,stochastic_fit_ok
opx,ElasticNet,alr,opx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,pwlr,opx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,raw,opx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,alr,opx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,pwlr,opx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,raw,opx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,alr,opx_liq,T_C,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,pwlr,opx_liq,T_C,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,raw,opx_liq,T_C,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,alr,opx_only,T_C,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,pwlr,opx_only,T_C,20,0.00000000,True,False,deterministic_fit
opx,ElasticNet,raw,opx_only,T_C,20,0.00000000,True,False,deterministic_fit
opx,GB,alr,opx_liq,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,pwlr,opx_liq,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,raw,opx_liq,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,alr,opx_only,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,pwlr,opx_only,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,raw,opx_only,P_kbar,20,0.00000000,True,False,seed_bug
opx,GB,alr,opx_liq,T_C,20,0.00000000,True,False,seed_bug
opx,GB,pwlr,opx_liq,T_C,20,0.00000000,True,False,seed_bug
opx,GB,raw,opx_liq,T_C,20,0.00000000,True,False,seed_bug
opx,GB,alr,opx_only,T_C,20,0.00000000,True,False,seed_bug
opx,GB,pwlr,opx_only,T_C,20,0.00000000,True,False,seed_bug
opx,GB,raw,opx_only,T_C,20,0.00000000,True,False,seed_bug
opx,LightGBM,alr,opx_liq,P_kbar,20,0.14646298,False,False,stochastic_fit_ok
opx,LightGBM,pwlr,opx_liq,P_kbar,20,0.16002625,False,False,stochastic_fit_ok
opx,LightGBM,raw,opx_liq,P_kbar,20,0.05995908,False,False,stochastic_fit_ok
opx,LightGBM,alr,opx_only,P_kbar,20,0.14174766,False,False,stochastic_fit_ok
opx,LightGBM,pwlr,opx_only,P_kbar,20,0.09727076,False,False,stochastic_fit_ok
opx,LightGBM,raw,opx_only,P_kbar,20,0.03317872,False,False,stochastic_fit_ok
opx,LightGBM,alr,opx_liq,T_C,20,1.82604982,False,False,stochastic_fit_ok
opx,LightGBM,pwlr,opx_liq,T_C,20,0.54567072,False,False,stochastic_fit_ok
opx,LightGBM,raw,opx_liq,T_C,20,0.28128516,False,False,stochastic_fit_ok
opx,LightGBM,alr,opx_only,T_C,20,0.58770745,False,False,stochastic_fit_ok
opx,LightGBM,pwlr,opx_only,T_C,20,1.06621905,False,False,stochastic_fit_ok
opx,LightGBM,raw,opx_only,T_C,20,0.91916239,False,False,stochastic_fit_ok
opx,MLP,alr,opx_liq,P_kbar,20,0.84272264,False,False,stochastic_fit_ok
opx,MLP,pwlr,opx_liq,P_kbar,20,1.04476912,False,False,stochastic_fit_ok
opx,MLP,raw,opx_liq,P_kbar,20,0.46034543,False,False,stochastic_fit_ok
opx,MLP,alr,opx_only,P_kbar,20,0.74146104,False,False,stochastic_fit_ok
opx,MLP,pwlr,opx_only,P_kbar,20,1.11142772,False,False,stochastic_fit_ok
opx,MLP,raw,opx_only,P_kbar,20,0.66022395,False,False,stochastic_fit_ok
opx,MLP,alr,opx_liq,T_C,20,6.27250420,False,False,stochastic_fit_ok
opx,MLP,pwlr,opx_liq,T_C,20,10.79522238,False,False,stochastic_fit_ok
opx,MLP,raw,opx_liq,T_C,20,10.21919867,False,False,stochastic_fit_ok
opx,MLP,alr,opx_only,T_C,20,4.41203592,False,False,stochastic_fit_ok
opx,MLP,pwlr,opx_only,T_C,20,4.43230903,False,False,stochastic_fit_ok
opx,MLP,raw,opx_only,T_C,20,3.08437905,False,False,stochastic_fit_ok
opx,RF,alr,opx_liq,P_kbar,20,0.05545106,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_liq,P_kbar,20,0.05820802,False,False,stochastic_fit_ok
opx,RF,raw,opx_liq,P_kbar,20,0.04229390,False,False,stochastic_fit_ok
opx,RF,alr,opx_only,P_kbar,20,0.08754452,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_only,P_kbar,20,0.04286130,False,False,stochastic_fit_ok
opx,RF,raw,opx_only,P_kbar,20,0.07823394,False,False,stochastic_fit_ok
opx,RF,alr,opx_liq,T_C,20,0.33539318,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_liq,T_C,20,0.24793389,False,False,stochastic_fit_ok
opx,RF,raw,opx_liq,T_C,20,0.33105053,False,False,stochastic_fit_ok
opx,RF,alr,opx_only,T_C,20,0.59507860,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_only,T_C,20,0.92940972,False,False,stochastic_fit_ok
opx,RF,raw,opx_only,T_C,20,0.70298672,False,False,stochastic_fit_ok
opx,XGB,alr,opx_liq,P_kbar,20,0.11754374,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_liq,P_kbar,20,0.07636803,False,False,stochastic_fit_ok
opx,XGB,raw,opx_liq,P_kbar,20,0.07325629,False,False,stochastic_fit_ok
opx,XGB,alr,opx_only,P_kbar,20,0.12920424,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_only,P_kbar,20,0.27998211,False,False,stochastic_fit_ok
opx,XGB,raw,opx_only,P_kbar,20,0.07015307,False,False,stochastic_fit_ok
opx,XGB,alr,opx_liq,T_C,20,1.44691249,False,False,stochastic_fit_ok
