pipeline,track,target,family_a,family_b,n_common_features,spearman_rho
opx,opx_liq,T_C,RF,ERT,72,0.6942247089845007
opx,opx_liq,T_C,RF,XGB,8,0.5952380952380953
opx,opx_liq,T_C,RF,GB,8,0.7142857142857144
opx,opx_liq,T_C,RF,CatBoost,72,0.5850215447938776
opx,opx_liq,T_C,RF,LightGBM,8,0.8095238095238096
opx,opx_liq,T_C,RF,ElasticNet,8,0.6190476190476191
opx,opx_liq,T_C,RF,MLP,8,-0.5476190476190477
opx,opx_liq,T_C,ERT,XGB,8,0.5952380952380953
opx,opx_liq,T_C,ERT,GB,8,0.4047619047619048
opx,opx_liq,T_C,ERT,CatBoost,72,0.5934143674834396
opx,opx_liq,T_C,ERT,LightGBM,8,0.5952380952380953
opx,opx_liq,T_C,ERT,ElasticNet,8,0.523809523809524
opx,opx_liq,T_C,ERT,MLP,8,-0.30952380952380953
opx,opx_liq,T_C,XGB,GB,25,0.8207692307692308
opx,opx_liq,T_C,XGB,CatBoost,8,0.4523809523809524
opx,opx_liq,T_C,XGB,LightGBM,25,0.9238461538461539
opx,opx_liq,T_C,XGB,ElasticNet,25,0.37461538461538463
opx,opx_liq,T_C,XGB,MLP,8,-0.4285714285714286
opx,opx_liq,T_C,GB,CatBoost,8,0.5714285714285715
opx,opx_liq,T_C,GB,LightGBM,25,0.8676923076923077
opx,opx_liq,T_C,GB,ElasticNet,25,0.40461538461538454
opx,opx_liq,T_C,GB,MLP,8,-0.5952380952380953
opx,opx_liq,T_C,CatBoost,LightGBM,8,0.5952380952380953
opx,opx_liq,T_C,CatBoost,ElasticNet,8,0.6190476190476191
opx,opx_liq,T_C,CatBoost,MLP,8,-0.5476190476190477
opx,opx_liq,T_C,LightGBM,ElasticNet,25,0.39538461538461533
opx,opx_liq,T_C,LightGBM,MLP,8,-0.6190476190476191
opx,opx_liq,T_C,ElasticNet,MLP,8,-0.07142857142857144
opx,opx_liq,P_kbar,RF,ERT,8,0.7142857142857144
opx,opx_liq,P_kbar,RF,XGB,8,0.7619047619047621
opx,opx_liq,P_kbar,RF,GB,8,0.7857142857142858
opx,opx_liq,P_kbar,RF,CatBoost,23,0.7203557312252966
opx,opx_liq,P_kbar,RF,LightGBM,8,0.8333333333333335
opx,opx_liq,P_kbar,RF,ElasticNet,8,0.30952380952380953
opx,opx_liq,P_kbar,RF,MLP,8,0.5714285714285715
opx,opx_liq,P_kbar,ERT,XGB,25,0.826923076923077
opx,opx_liq,P_kbar,ERT,GB,25,0.7038461538461539
opx,opx_liq,P_kbar,ERT,CatBoost,8,0.6904761904761906
opx,opx_liq,P_kbar,ERT,LightGBM,25,0.7476923076923078
opx,opx_liq,P_kbar,ERT,ElasticNet,25,0.22230769230769232
opx,opx_liq,P_kbar,ERT,MLP,25,0.5900000000000001
opx,opx_liq,P_kbar,XGB,GB,25,0.9184615384615386
opx,opx_liq,P_kbar,XGB,CatBoost,8,0.5714285714285715
opx,opx_liq,P_kbar,XGB,LightGBM,25,0.8776923076923077
opx,opx_liq,P_kbar,XGB,ElasticNet,25,0.3215384615384615
opx,opx_liq,P_kbar,XGB,MLP,25,0.5946153846153845
opx,opx_liq,P_kbar,GB,CatBoost,8,0.4047619047619048
opx,opx_liq,P_kbar,GB,LightGBM,25,0.9223076923076923
opx,opx_liq,P_kbar,GB,ElasticNet,25,0.3876923076923077
opx,opx_liq,P_kbar,GB,MLP,25,0.37461538461538463
opx,opx_liq,P_kbar,CatBoost,LightGBM,8,0.4285714285714286
opx,opx_liq,P_kbar,CatBoost,ElasticNet,8,-0.023809523809523815
opx,opx_liq,P_kbar,CatBoost,MLP,8,0.8095238095238096
opx,opx_liq,P_kbar,LightGBM,ElasticNet,25,0.4146153846153846
opx,opx_liq,P_kbar,LightGBM,MLP,25,0.44230769230769235
opx,opx_liq,P_kbar,ElasticNet,MLP,25,0.35307692307692307
opx,opx_only,T_C,RF,ERT,43,0.822561159770462
opx,opx_only,T_C,RF,XGB,7,0.642857142857143
opx,opx_only,T_C,RF,GB,7,-0.5
opx,opx_only,T_C,RF,CatBoost,7,0.07142857142857144
opx,opx_only,T_C,RF,LightGBM,7,-0.03571428571428572
opx,opx_only,T_C,RF,ElasticNet,7,0.14285714285714288
opx,opx_only,T_C,RF,MLP,7,0.5714285714285715
opx,opx_only,T_C,ERT,XGB,7,0.1785714285714286
opx,opx_only,T_C,ERT,GB,7,-0.25
opx,opx_only,T_C,ERT,CatBoost,7,0.07142857142857144
opx,opx_only,T_C,ERT,LightGBM,7,0.14285714285714288
opx,opx_only,T_C,ERT,ElasticNet,7,-0.14285714285714288
opx,opx_only,T_C,ERT,MLP,7,0.6071428571428572
