track,feature_set,model_name,target,best_rmse_cv,best_trial,n_trials_completed,n_trials_pruned,n_trials_failed,best_params,elapsed_s
opx_only,raw,RF,T_C,141.21257215923848,43,50,0,0,"{'n_estimators': 600, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.43863039467209686}",102.7
opx_only,raw,RF,P_kbar,10.977881238335906,11,50,0,0,"{'n_estimators': 500, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.9328204779927532}",146.8
opx_only,raw,ERT,T_C,139.51210135826113,42,50,0,0,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.7598116105731882}",63.8
opx_only,raw,ERT,P_kbar,10.792964040339138,15,50,0,0,"{'n_estimators': 800, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.7903240753137547}",88.6
opx_only,raw,XGB,T_C,136.7624878232359,33,50,0,0,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.04590417330988274, 'subsample': 0.8706421499699768, 'colsample_bytree': 0.7548360285746123, 'reg_alpha': 0.16867181293084388, 'reg_lambda': 1.6756177344558252, 'min_child_weight': 1}",57.6
opx_only,raw,XGB,P_kbar,10.659466131880059,33,50,0,0,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.014748120873910569, 'subsample': 0.881548631898809, 'colsample_bytree': 0.9411390870933829, 'reg_alpha': 6.409731057654383, 'reg_lambda': 3.050408192597233, 'min_child_weight': 3}",52.8
opx_only,raw,GB,T_C,141.2237733077726,19,50,0,0,"{'max_iter': 400, 'max_depth': 10, 'learning_rate': 0.07809496264049752, 'min_samples_leaf': 38, 'l2_regularization': 0.03901185653266186, 'max_leaf_nodes': 50}",102.5
opx_only,raw,GB,P_kbar,10.560995314806634,24,50,0,0,"{'max_iter': 200, 'max_depth': 10, 'learning_rate': 0.015704299630186942, 'min_samples_leaf': 48, 'l2_regularization': 0.002951691457783485, 'max_leaf_nodes': 64}",78.4
opx_only,alr,RF,T_C,140.4652024363302,26,50,0,0,"{'n_estimators': 700, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.3614347829642153}",135.4
opx_only,alr,RF,P_kbar,10.83792751090555,31,50,0,0,"{'n_estimators': 800, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.949292101175691}",185.8
opx_only,alr,ERT,T_C,139.90926107849512,43,50,0,0,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.9696035446516708}",119.1
opx_only,alr,ERT,P_kbar,10.864037799284835,28,50,0,0,"{'n_estimators': 200, 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.9081876172303992}",81.7
opx_only,alr,XGB,T_C,134.6905574599168,34,50,0,0,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.014068172374557167, 'subsample': 0.60085424293986, 'colsample_bytree': 0.7751528046837222, 'reg_alpha': 0.124089851608055, 'reg_lambda': 0.8092405952349006, 'min_child_weight': 1}",181.1
opx_only,alr,XGB,P_kbar,10.701900981469237,42,50,0,0,"{'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.018044582132088503, 'subsample': 0.9896459462540093, 'colsample_bytree': 0.7719290906775634, 'reg_alpha': 1.3430417787943512, 'reg_lambda': 8.449558888950277, 'min_child_weight': 8}",75.8
opx_only,alr,GB,T_C,140.56986133718843,24,50,0,0,"{'max_iter': 300, 'max_depth': 9, 'learning_rate': 0.010415644606274546, 'min_samples_leaf': 37, 'l2_regularization': 0.0001119158165983473, 'max_leaf_nodes': 34}",126.2
opx_only,alr,GB,P_kbar,10.524974218408063,7,50,0,0,"{'max_iter': 200, 'max_depth': 10, 'learning_rate': 0.02171103454376615, 'min_samples_leaf': 37, 'l2_regularization': 0.003618723330959626, 'max_leaf_nodes': 45}",100.2
opx_only,pwlr,RF,T_C,133.08240161348078,15,50,0,0,"{'n_estimators': 200, 'max_depth': 32, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.3367597600898754}",185.6
opx_only,pwlr,RF,P_kbar,10.266859183189608,44,50,0,0,"{'n_estimators': 700, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.645274662952607}",256.3
opx_only,pwlr,ERT,T_C,132.53203165557292,46,50,0,0,"{'n_estimators': 400, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.959649015243725}",117.5
opx_only,pwlr,ERT,P_kbar,10.393403890374367,41,50,0,0,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.5254895450437925}",79.9
opx_only,pwlr,XGB,T_C,132.0550905310099,37,50,0,0,"{'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.025798402314638237, 'subsample': 0.6706511760066806, 'colsample_bytree': 0.6683583148337462, 'reg_alpha': 0.0078319848508762, 'reg_lambda': 0.48631194668700506, 'min_child_weight': 2}",518.2
