method,scope,n,rmse,rmse_ci_lo,rmse_ci_hi,coverage_pct,signed_bias,target
Ours opx-liq forest,all,197,64.57993887275695,59.44785656553338,69.83429817284552,100.0,37.32083066806349,T_C
Ours opx-only forest,all,197,107.80785916114638,98.86157729121423,117.09778458060516,100.0,83.43767332267379,T_C
Ours opx-liq boosted,all,197,68.04096830213189,62.24989874832914,73.57523756056763,100.0,39.73964168335574,T_C
Ours opx-only boosted,all,197,104.24439413249718,94.2224448356048,114.21944047682823,100.0,80.47367123056783,T_C
Putirka 2008 opx-liq,all,185,50.0775731793228,44.855147815215695,55.3882837374522,93.90862944162437,28.04042659260565,T_C
Putirka 2008 opx-liq [true P],all,197,46.42411865736357,41.09105894603525,51.846610208413765,100.0,29.47488239400532,T_C
Putirka 2008 opx-only,all,94,58.313916688183326,48.08156497153517,68.52050841401125,47.71573604060914,20.00425038951588,T_C
Putirka 2008 opx-only [true T],all,94,54.010981385609995,44.13451544218788,64.44963449499832,47.71573604060914,31.840747968650206,T_C
Ours opx-liq forest,all,197,2.628031331462957,2.3789178212191193,2.8810101264823684,100.0,0.6928998130480111,P_kbar
Ours opx-only forest,all,197,4.024593059393884,3.6217758985238317,4.445670538874715,100.0,2.8569890727890233,P_kbar
Ours opx-liq boosted,all,197,2.6929084534246663,2.387135589016601,3.0119744643584676,100.0,0.37994477313666175,P_kbar
Ours opx-only boosted,all,197,3.5868812587310095,3.157313152500661,4.03415914251089,100.0,1.5436606821118273,P_kbar
Putirka 2008 opx-liq,all,185,3.6006452355140985,3.233554888872399,3.957358063050989,93.90862944162437,-0.9686744678940226,P_kbar
Putirka 2008 opx-liq [true P],all,185,3.4687582253611153,3.1143050358195703,3.839707177913816,93.90862944162437,-1.3439338688918112,P_kbar
Putirka 2008 opx-only,all,94,4.116319428328779,3.303109180035825,4.902665547825423,47.71573604060914,-2.1056182852818432,P_kbar
Putirka 2008 opx-only [true T],all,94,4.445957458120489,3.6404524694976086,5.242250156061278,47.71573604060914,-1.6355849516914502,P_kbar
