Method,Target,RMSE,MAE,R2,n_test
Putirka 28a (true P),T,331.6831867747125,311.44282783046424,-2.9888008828189667,170
Putirka 28b (true P),T,320.05759682008517,295.32432476671056,-2.714084005165986,170
Putirka 29a (true T),P,7.936756236049561,5.883696127209763,0.3585633715983231,143
"Putirka 29c (opx-only, true T)",P,19.02307438549694,9.940454691836054,-4.266526702728764,144
Putirka iterative (28a+29a),T,120.86642917136454,61.14127388008288,0.47245894587495296,143
Putirka iterative (28a+29a),P,5.402281994963909,3.622315769159165,0.7028182246067717,143
Putirka 28a (ML P),T,328.6002122154344,307.9037247009578,-2.9149941872725846,170
Putirka 29a (ML T),P,8.022812815704292,5.8574674033153915,0.34457803532270226,143
ML-RF opx-liq,T,124.01769432539335,67.9249065272963,0.4423486624157711,170
ML-RF opx-liq,P,6.144767858407105,4.281080791282267,0.6208361854085729,170
