Method,Target,RMSE,MAE,R2,n_test
Putirka 28a (true P),T,77.0498962296864,42.718139173376294,0.6306577418128061,124
Putirka 28b_opx_sat (true P),T,81.43193070646696,49.497447820837344,0.5874521316232366,124
Putirka iterative (28a+29a),T,77.84217717013051,49.592438633668266,0.623023018798285,124
Putirka 28a (ML P),T,79.8544902877783,52.67615524652924,0.6032804819278872,124
ML-RF opx-liq,T,88.289482235016,60.17430599115193,0.515043456338417,124
Putirka 29a (true T),P,3.834003654073967,2.9495678901131517,0.7798520814370886,107
"Putirka 29c (opx-only, true T)",P,4.9628776288854795,3.84166432992747,0.6311271659860692,107
Putirka iterative (28a+29a),P,3.818456468272376,2.9176318066800224,0.7816338955836927,107
Putirka 29a (ML T),P,3.6677293320216364,2.7389592404983785,0.7985329182434908,107
ML-RF opx-liq,P,4.510443258213643,3.520248990001213,0.695317166207265,107
