model,target,study,n_test,rmse,mean_y_held_out
RF,T_C,"Agee, C.B., Draper, D.S. (2004) Experimental constraints on the origin of Martian meteorites and the composition of the Martian mantle. Earth and Planetary Science Letters 224 415-429",4,230.19988727754222,1776.25
RF,T_C,"Baker, M.B., Stolper, E.M. (1994) Determining the composition of high-pressure mantle melts using diamond aggregates. Geochimica et Cosmochimica Acta 58 2811-2827",2,18.49689069514255,1335.0
RF,T_C,"Baker, R.B., Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28",4,21.368952912207487,1025.0
RF,T_C,"Barnes, S.J. (1986) The distribution of chromium among orthopyroxene, spinel and silicate liquid at atmospheric pressure. Geochimica et Cosmochimica Acta 50 1889-1909",34,19.62102583568664,1256.6764705882354
RF,T_C,"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991) High pressure phase relations of primitive high-alumina basalts from Medicine Lake volcano, northern California. Contributions to Mineralogy and Petrology 108 253-270",3,48.54373952110239,1328.3333333333333
RF,T_C,"Blatter, D.L., Carmichael, I.S.E. (2001) Hydrous phase equilibria of a Mexican high-silica andesite: A candidate for a mantle origin?. Geochimica et Cosmochimica Acta 65 4043-4065",17,58.75578648066995,1032.7058823529412
RF,T_C,"Bulatov, V.K., Girnis, A.V., Brey, G.P. (2002) Experimental melting of a modally heterogeneous mantle. Mineralogy and Petrology 75 131-152",10,34.11404898800946,1325.5
RF,T_C,"Canil, D. (1999) Vanadium partitioning between orthopyroxene, spinel and silicate melt and the redox states of mantle source regions for primary magmas. Geochimica et Cosmochimica Acta 63 557-572",23,56.16735020611977,1340.4347826086957
RF,T_C,"Carroll, M.J., Wyllie, P.J. (1989) Experimental phase relations in the system tonalite-peridotite-H2O at 15kb; Implications for assimilation and differentiation processes near the crust-mantle boundary. Journal of Petrology 30 1351-1382",4,141.44447131149602,1198.5
RF,T_C,"Colson, R.O., Gust, D. (1989) Effects of pressure on partitioning of trace elements between low-Ca pyroxene and melt. American Mineralogist 74 31-36",3,129.52120059625972,1454.3333333333333
RF,T_C,"Colson, R.O., McKay, G.A., Taylor, L.A. (1988) Temperature and composition dependencies of trace element partitioning: Olivine/melt and low-Ca pyroxene/melt. Geochimica et Cosmochimica Acta 52 539-553",4,26.869157361914855,1244.75
RF,T_C,"Dalou, C., Koga, K.T., Shimizu, N., Boulon, J., Devidal, J.-L. (2012) Experimental determination of F and Cl partitioning between lherzolite and basaltic melt. Contributions to Mineralogy and Petrology 163 591-609",13,55.369864571049035,1349.6153846153845
RF,T_C,"Davis, A.D., Hirschmann, M.M. (2013) The effects of K2O on the compositions of near-solidus melts of garnet peridotite at 3 GPa and the origin of basalts from enriched mantle. Contributions to Mineralogy and Petrology 166 1029-1046",9,39.77357681714221,1440.0
RF,T_C,"Davis, F.A., Humayun, M., Hirschmann, M.M., Cooper, R.S. (2013) Experimentally determined mineral/melt partitioning of first-row transition elements (FRTE) during partial melting of peridotite at 3 GPa. Geochimica et Cosmochimica Acta 104 232-260",6,20.237758125320365,1467.5
RF,T_C,"Draper, D.S., Johnston, A.D. (1992) Anhydrous PT phase relations of an Aleutian high-MgO basalt: an investigation of the role of olivine-liquid reaction in the generation of arc high-alumina basalts. Contributions to Mineralogy and Petrology 112 501-519",7,70.73695130641909,1246.4285714285713
RF,T_C,"Dunn, T., Sen, C. (1994) Mineral / matrix partition coefficients for orthopyroxene, plagioclase, and olivine in basaltic to andesitic systems: A combined analytical and experimental study. Geochimica et Cosmochimica Acta 58 717-733",4,22.47958544507268,1103.75
RF,T_C,"Falloon, T.J., Danyushevsky, L.V. (2000) Melting of refractory mantle at 1.5, 2 and 2.5 GPa under anhydrous and H20-undersaturated conditions: implications for the petrogenesis of high-Ca boninites and the influence of subduction components on mantle melting. Journal of Petrology 41 257-283",23,63.9026538689213,1496.5217391304348
RF,T_C,"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001) Peridotite melting at 1 GPa: Reversal experiments on partial melt compositions produced by peridotite-basalt sandwich experiments. Journal of Petrology 42 2363-2390",12,53.07737666977394,1364.0833333333333
RF,T_C,"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999) Peridotite melting at 1.0 and 1.5 GPa: an experimental evaluation of techniques using diamond aggregates and mineral mixes for determination of near-solidus melts. Journal of Petrology 40 1343-1375",9,125.90604243687122,1427.7777777777778
RF,T_C,"Falloon, T.J., Green, D.H., Danyushevsky, L.V., McNeill, A.W. (2008) The composition of near-solidus partial melts of fertile peridotite at 1 and 1.5 GPa: implications for the petrogenesis of MORB. Journal of Petrology 49 591-613",8,27.26224232289043,1308.75
RF,T_C,"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997) Experimental tests of low degree peridotite partial melt compositions: implications for the nature of anhydrous near-solidus peridotite melts at 1 GPa. Earth and Planetary Science Letters 152 149-162",9,63.202769479909726,1276.111111111111
RF,T_C,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",3,130.82266384462116,1110.0
RF,T_C,"Fellows, S.A., Canil, D. (2012) Experimental study of the partitioning of Cu during partial melting of Earth's mantle. Earth and Planetary Science Letters 337-338 133-143",2,49.73694255477456,1375.0
RF,T_C,"Fonseca, R.O.C., Mallmann, G., Sprung, P., Sommer, J.E., Heuser, A., Speelmanns, I.M., Blanchard, H. (2014) Redox controls on tungsten and uranium crystal/silicate melt partitioning and implications for the U/W and Th/W ratio of the lunar mantle. Earth and Planetary Science Letters 404 42017",3,23.121575767025448,1300.0
RF,T_C,"Fram, M.S., Longhi, J. (1992) Phase equilibria of dikes associated with Proterozoic anorthosite complexes. American Mineralogist 77 605-616",3,40.413095282102425,1241.6666666666667
RF,T_C,"Gaetani, G.A., Grove, T.L. (1998) The influence of water on melting of mantle peridotite. Contributions to Mineralogy and Petrology 131 323-346",21,58.09793604218993,1252.3809523809523
RF,T_C,"Gaetani, G.A., Kent, A.J.R., Grove, T.L., Hutcheon, I.D., Stolper, E.M. (2003) Mineral/melt partitioning of trace elements during hydrous peridotite partial melting. Contributions to Mineralogy and Petrology 145 391-405",4,12.787311043395379,1275.0
RF,T_C,"Gardner, J.E., Rutherford, M., Carey, S., Sigurdsson, H. (1995) Experimental constraints on pre-eruptive water contents and changing magma storage prior to explosive eruptions of Mount St Helens volcano. Bulletin of Volcanology 57 1-17",7,110.67245605098013,850.0
RF,T_C,"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997) Magmatic processes that generated the rhyolite of Glass Mountain, Medicine Lake volcano, N. California. Contributions to Mineralogy and Petrology 127 205-223",2,68.30046053793959,932.5
RF,T_C,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",7,69.61863093870171,1095.0
RF,T_C,"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982) Origin of Calc-Alkaline Series Lavas at Medicine Lake Volcano by Fractionation, Assimilation and Mixing. Contributions to Mineralogy and Petrology 80 160-182",2,35.866543086465995,1121.5
RF,T_C,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",5,71.50604847915271,1426.0
RF,T_C,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",3,153.5998358503475,1306.6666666666667
RF,T_C,"Hesse, M., Grove, T.L. (2003) Absarokites from the western Mexican Volcanic Belt: constraints on mantle wedge conditions. Contributions to Mineralogy and Petrology 146 10-27",16,61.1946999431847,1340.0
RF,T_C,"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990) Reaction between ultramafic rock and fractionating basaltic magma II. Experimental investigation of reaction between olivine tholeiite and hartzburgite at 1150-1050_C and 5kb. Journal of Petrology 31 99-134",2,104.0192793112034,1101.0
RF,T_C,"Kinzler, R.J. (1997) Melting of mantle peridotite at pressures approaching the spinel to garnet transition: application to mid-ocean ridge basalt petrogenesis. Journal of Geophysical Research 102 853-874",6,54.94233492719649,1386.1666666666667
RF,T_C,"Kinzler, R.J., Grove, T.L. (1992) Primary magmas of mid-ocean ridge basalts 1. experiments and methods. Journal of Geophysical Research 97 6885-6906",17,25.485011853574758,1292.3529411764705
RF,T_C,"Kogiso, T., Hirose, K., Takahashi, E. (1998) Melting experiments on homogeneous mixtures of peridotite and basalt: application to the genesis of ocean island basalts. Earth and Planetary Science Letters 162 45-61",7,49.661343220962124,1357.142857142857
RF,T_C,"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J.-L. (2004) A new experimental technique for extracting liquids from peridotite at very low degrees of melting: application to partial melting of depleted peridotite. Contributions to Mineralogy and Petrology 146 463-484",10,102.45179394968758,1292.0
RF,T_C,"Longhi, J. (1995) Liquidus equilibria of some primary lunar and terrestrial melts in the garnet stability field. Geochimica et Cosmochimica Acta 59 2375-2386",5,72.9886669057303,1560.0
RF,T_C,"Longhi, J. (2002) Some phase equilibrium systematics of lherzolite melting: I. Geochemistry, Geophysics, Geosystems 3 1-33",5,24.476055965833783,1537.6
RF,T_C,"Longhi, J., Pan, V. (1988) A Reconnaisance Study of Phase Boundaries in Low-Alkali Basaltic Liquids. Journal of Petrology 29 115-147",10,67.59299392627656,1206.4
RF,T_C,"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470",7,46.463398476775495,922.0
RF,T_C,"Matzen, A.K., Baker, M.B., Beckett, J.R., Stolper, E.M. (2013) The temperature and pressure dependence of nickel partitioning between olivine and silicate melt. Journal of Petrology 54(12) 2521-2545",2,84.94684257542988,1525.0
RF,T_C,"Meen, J.K. (1987) Formation of shoshonites from calcalkaline basalt magmas: geochemical and experimental constraints from the type locality. Contributions to Mineralogy and Petrology 97 333-351",3,91.21265362633424,1111.6666666666667
RF,T_C,"Mercer, C.N., Johnston, A.D. (2008) Experimental studies of the P-T-H2O near-liquidus phase relations of basaltic andesite from North Sister Volcano, High Oregon Cascades: constraints on lower-crustal mineral assemblages. Contributions to Mineralogy and Petrology 155 571-592",6,142.42707897332343,1258.3333333333333
RF,T_C,"Moore, G., Carmichael, I.S.E. (1998) The hydrous phase equilibria (to 3 kbar) of an andesite and basaltic andesite from western Mexico: constraints on water content and conditions of phenocryst growth. Contributions to Mineralogy and Petrology 130 304-319",6,32.70008216045131,993.3333333333334
RF,T_C,"Mussel White, D.S., Dalton, H.A., Kiefer, W.S., Treiman, A.H. (2006) Experimental petrology of the basaltic shergotittite Yamato-980459: Implications for the thermal structure of the Martian mantle. Meteoritics & Planetary Science 41 1271-1290",6,110.72917241551772,1504.1666666666667
RF,T_C,"Müntener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658",19,31.928528270370922,1157.3684210526317
