feature,importance_P_alr,importance_T_alr,feature_set
alr_TiO2,0.419503057225442,1.848552877762263,alr
alr_Al2O3,0.7024604957434513,1.0513027986564043,alr
alr_Cr2O3,0.44371426419629517,1.5394771668288842,alr
alr_FeO_total,0.03619301894933042,3.768120463384843,alr
alr_MnO,0.9489236233248607,3.7350888546615426,alr
alr_MgO,0.10012971140173305,1.4841068850669874,alr
alr_CaO,0.06491986647209314,1.921333270465526,alr
alr_Na2O,0.10787537160949083,12.280705849127283,alr
Mg_num,2.74402747050453,2.472115519957935,alr
Al_IV,0.31619871669530014,0.5749673145975674,alr
Al_VI,0.1409427004234024,1.2701796467715554,alr
En_frac,0.6264245327384883,1.8528833733916041,alr
Fs_frac,0.10130703429520077,2.2486443128261504,alr
Wo_frac,0.5409995418039268,3.0017786290282777,alr
MgTs,0.10480692304945943,1.38896598175206,alr
alr_liq_TiO2,0.8752555275139172,1.4075143608832876,alr
alr_liq_Al2O3,7.47858649474701,6.7248327959890295,alr
alr_liq_FeO,0.2771096896807235,13.041510756979449,alr
alr_liq_MgO,2.049426496674171,70.17056757981292,alr
alr_liq_CaO,0.2740003816960025,3.900114305943359,alr
alr_liq_Na2O,2.7321865297468477,2.0283853638692864,alr
alr_liq_K2O,0.15799758349058507,2.021753929640004,alr
liq_Mg_num,0.02195768345220103,4.007528143217995,alr
