sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[10032] BECCALUVA L. (1989)|samp. A413N,CONVERGENT MARGIN,0.984558389261745,True,93.147635253212,98.07169822716082,1.6477595961992009,3.01892634168812,-148.84976047271562,6.161654876195913
[10032] BECCALUVA L. (1989)|samp. A416N,CONVERGENT MARGIN,0.8700713536511502,False,77.0303612175885,62.92816425438207,1.7529392120943044,-1.745864872554563,-160.49416789791462,7.757925363094598
[10032] BECCALUVA L. (1989)|samp. LL284B,CONVERGENT MARGIN,1.079736968642084,True,73.79350717630246,82.12368205515804,4.166650202709599,2.249466237053774,-174.61165931308688,9.376143654437278
[10032] BECCALUVA L. (1989)|samp. LL284C,CONVERGENT MARGIN,0.8365783576831183,False,85.55677253025897,130.09553605347287,0.8595589662051406,5.023472661806185,-177.2520600203319,9.342243383388633
[10032] BECCALUVA L. (1989)|samp. LL284E,CONVERGENT MARGIN,1.097190910001001,True,85.50725901993451,67.09748136930693,3.1455071825732297,-3.640109746536119,-136.64424470168024,5.664605462799245
[10032] BECCALUVA L. (1989)|samp. LL284G,CONVERGENT MARGIN,0.9679010451788717,True,123.95411510782515,119.39532524889944,4.598665848745339,-1.711710416797736,-136.18895170522092,6.7706937696214
[10032] BECCALUVA L. (1989)|samp. LL36,CONVERGENT MARGIN,0.7364928033532984,False,44.29834149040937,88.67882313733276,-3.2560513293160334,4.369627043262834,-229.47469570751844,9.656060823009804
[10032] BECCALUVA L. (1989)|samp. LL56,CONVERGENT MARGIN,1.1371907813294746,True,84.97244186044657,98.59356238785517,5.387360490262022,-1.5304815679848218,-106.26875868567913,12.034310814163117
[10032] BECCALUVA L. (1989)|samp. OD8F,CONVERGENT MARGIN,1.0795777749873932,True,83.58559287207822,110.32307337020916,-1.1402791691741534,3.9524833977562785,-174.4135526366041,5.640363378762679
[10041] CIONI R. (1982)|samp. 42,CONVERGENT MARGIN,1.4469302226158125,False,-119.42080572916223,-123.27249245227233,-2.1578619594211457,-2.608538511577267,-190.07666003527413,9.930368624848581
[10086] GUO FENG (2007)|samp. 04YJ-2,INTRAPLATE VOLCANICS,0.7175697865353036,False,27.64710918763626,79.03028703005907,-4.77505757941606,3.7297166419994427,-241.6933483762474,10.514865471589715
[10086] GUO FENG (2007)|samp. 04YJ-5,INTRAPLATE VOLCANICS,0.8801688618709895,False,-8.285666699399371,39.940855980818355,-2.3391668515932267,5.697550764911588,-226.45794517759748,9.91087116980796
[10138] KURAT G. (1971)|samp. LHERZOLITH,INTRAPLATE VOLCANICS,1.0626816106268162,True,98.8417429006438,73.29028651714339,0.07760220594617806,-0.15312050574880764,-141.5280526510719,3.7556728830681028
[10160] WANG JIAN (2007)|samp. BXE-32-I,CONVERGENT MARGIN,0.896065130195968,False,8.131456497578938,32.675914090501124,0.4157028454297116,4.881629773844771,-195.58274076287398,6.028129369144457
[10160] WANG JIAN (2007)|samp. BXE-32-II,CONVERGENT MARGIN,0.8980544529351076,False,5.1592460868021135,34.231924072740526,2.025072438066516,6.333816890546671,-195.62829206638753,7.612498221624435
[10160] WANG JIAN (2007)|samp. BXE-32-III,CONVERGENT MARGIN,0.8940444428165495,False,1.513075904984703,32.77002472200195,1.6372241673121941,5.986355373345178,-196.6271666165958,7.113751951988229
[10160] WANG JIAN (2007)|samp. BXE1,CONVERGENT MARGIN,0.7647949564483364,False,63.33235975267746,105.66458003692628,-0.7321878370136421,4.712850296453352,-206.66791828667976,5.266342414499606
[10160] WANG JIAN (2007)|samp. BXE11,CONVERGENT MARGIN,0.7928203749890325,False,48.26846463521122,86.36136551155585,-1.4620288502748409,3.9039700157823347,-203.68123907912172,8.293955571911646
[10160] WANG JIAN (2007)|samp. BXE11-I,CONVERGENT MARGIN,0.7723618101678407,False,50.73679317481276,87.54073211717355,-1.1067385325825008,4.875254409029367,-206.95550013328807,8.507349299702046
[10160] WANG JIAN (2007)|samp. BXE22,CONVERGENT MARGIN,0.7819825450599192,False,62.80545795486921,103.97102057325083,-1.62548179149179,5.527097597678711,-208.64802219956016,5.3663699815903305
