comparison,stratum,n,median_delta,mean_delta,median_abs_delta,rmse_disagreement
ours_vs_putirka_twopx_eq36,all,6230,39.86875087221091,-5.33841897864189,60.68057069509871,2639.7020321832197
ours_vs_putirka_twopx_eq36,equilibrium,2490,28.658947950166976,21.43150865177708,50.947516867941715,67.16188101628993
ours_vs_putirka_twopx_eq36,disequilibrium,3740,49.99086918666819,-23.161178283386075,69.25104039394097,3406.488594336366
ours_vs_putirka_twopx_eq37,all,6230,57.80920388855441,53.026291585889446,73.55587385305,130.60591549468123
ours_vs_putirka_twopx_eq37,equilibrium,2490,33.80805092650576,30.915067315878826,53.07611825604528,73.06954305699034
ours_vs_putirka_twopx_eq37,disequilibrium,3740,83.64467212339912,67.74740079239383,94.09804755333982,157.67041153163984
ours_vs_putirka_twopx_eq39,all,6234,1.4584990657878656,25.52844650021937,3.2360140662185106,1347.2234248680973
ours_vs_putirka_twopx_eq39,equilibrium,2490,2.759341626202384,36.70256534708925,2.9820686389162088,1634.1819416621197
ours_vs_putirka_twopx_eq39,disequilibrium,3744,-0.11560314078199507,18.09694117738123,3.472727844320274,1116.2536624962859
ours_vs_putirka_twopx_eq38,all,6234,1.244240953517207,-18.36450108326202,2.968262024894905,965.7537247626865
ours_vs_putirka_twopx_eq38,equilibrium,2490,1.296503943789924,-23.06263078926046,2.141330629045158,1171.3688194872054
ours_vs_putirka_twopx_eq38,disequilibrium,3744,1.1641304026099322,-15.239943666612417,3.721522470655514,800.2716373128061
ours_T_vs_putirka_cpxonly_eq32d,all,6220,-172.29808782323965,-182.9550662211364,172.320294514603,191.72170172849619
ours_T_vs_putirka_cpxonly_eq32d,equilibrium,2489,-152.35193408925818,-154.21099529599107,152.35193408925818,158.5746906231655
ours_T_vs_putirka_cpxonly_eq32d,disequilibrium,3731,-191.7062570940493,-202.13062037087823,191.7646454507701,210.95793427483994
ours_P_vs_putirka_opxonly_eq29c,all,6234,7.137387938112027,8.741261991166033,7.140432680397022,12.831612362244847
ours_P_vs_putirka_opxonly_eq29c,equilibrium,2490,6.715736671228493,8.732154543083375,6.715736671228493,9.950002470058251
ours_P_vs_putirka_opxonly_eq29c,disequilibrium,3744,7.370040164296066,8.747319027951773,7.370853215702761,14.432956115498989
