locality,pipeline,tectonic_setting,expected_T_C_low,expected_T_C_high,expected_P_kbar_low,expected_P_kbar_high,expected_P_regime,n_samples_in_box,n_T_pred,T_pred_mean,T_pred_median,T_in_range_frac,n_P_pred,P_pred_mean,P_pred_median,P_in_range_frac,claims_eligible
Mount St. Helens,opx_only,CONVERGENT MARGIN,900.0,1050.0,4.0,9.0,deep_crustal_MASH,70,70.0,1060.7542266291514,1063.4645201259168,0.2,70.0,4.714489448376625,4.452844002263215,0.7714285714285715,True
Mount St. Helens,cpx_only,CONVERGENT MARGIN,900.0,1050.0,4.0,9.0,deep_crustal_MASH,38,38.0,1077.183281222503,1075.6025067077026,0.21052631578947367,38.0,3.6193418030775235,3.5727012124546613,0.39473684210526316,True
Kamchatka,opx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,544,544.0,1132.3071873930196,1185.1757632232427,0.25735294117647056,544.0,11.67790857988385,10.00375635288481,0.49816176470588236,True
Kamchatka,cpx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,328,328.0,1121.7478955110753,1111.4637846554488,0.4481707317073171,328.0,11.092918430605925,10.338632803017923,0.29878048780487804,True
Kamchatka,twopx,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,56,56.0,953.5478838098645,974.2628803421878,0.6607142857142857,56.0,8.117678310189929,9.64953327178955,0.6071428571428571,True
Central Andes,opx_only,CONVERGENT MARGIN,900.0,1200.0,5.0,20.0,lithospheric_mantle,390,390.0,1008.3191049868191,984.3785837163546,0.9564102564102565,390.0,5.811777837101489,4.434520170378017,0.3333333333333333,True
Central Andes,cpx_only,CONVERGENT MARGIN,900.0,1200.0,5.0,20.0,lithospheric_mantle,738,738.0,1102.4971887397658,1100.2763064999235,1.0,738.0,5.679363453512361,4.276996835992209,0.3956639566395664,True
Central Andes,twopx,CONVERGENT MARGIN,900.0,1200.0,5.0,20.0,lithospheric_mantle,41,41.0,906.3004494775115,903.989693980113,0.6341463414634146,41.0,4.786253289478581,4.721904754638672,0.3902439024390244,True
Lesser Antilles,opx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,9.0,deep_crustal_MASH,269,269.0,996.4120845249174,973.1965974501304,0.6468401486988847,269.0,7.857867471189639,5.1793656498995455,0.7881040892193308,True
Lesser Antilles,cpx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,9.0,deep_crustal_MASH,1199,1199.0,1072.9604366005797,1067.9363893814518,0.8315262718932444,1199.0,5.0782706979108685,3.6923533404048623,0.4970809007506255,True
Lesser Antilles,twopx,CONVERGENT MARGIN,950.0,1100.0,3.0,9.0,deep_crustal_MASH,37,37.0,911.888410413973,891.8422490657201,0.24324324324324326,37.0,5.511609470522082,4.551283359527588,0.5405405405405406,True
Aegean,opx_only,CONVERGENT MARGIN,850.0,1050.0,2.0,8.0,deep_crustal_MASH,1015,1015.0,970.251399589098,915.07733771756,0.7320197044334975,1015.0,4.92524610131285,4.439855575734655,0.9477832512315271,True
Aegean,cpx_only,CONVERGENT MARGIN,850.0,1050.0,2.0,8.0,deep_crustal_MASH,566,566.0,1089.1922848832353,1083.2387359009044,0.07243816254416961,566.0,7.822351531392512,6.201201304044153,0.508833922261484,True
Aegean,twopx,CONVERGENT MARGIN,850.0,1050.0,2.0,8.0,deep_crustal_MASH,22,22.0,903.3847863813629,915.830194900321,0.7727272727272727,22.0,4.723882425915111,4.782814025878906,0.9545454545454546,True
Aleutians,opx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,33,33.0,975.3254151419684,971.8870815592584,0.7575757575757576,33.0,6.515532047165847,5.424651952577546,0.8787878787878788,True
Aleutians,cpx_only,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,169,169.0,1080.574225175615,1077.5487774641606,0.7159763313609467,169.0,4.7160238254200415,3.692930898793645,0.5739644970414202,True
Aleutians,twopx,CONVERGENT MARGIN,950.0,1100.0,3.0,10.0,deep_crustal_MASH,10,10.0,894.3760768478581,891.1636723886714,0.2,10.0,4.5950443029403685,4.691479444503784,0.9,False
Spitsbergen,opx_only,INTRAPLATE VOLCANICS,900.0,1150.0,10.0,25.0,lithospheric_mantle,33,33.0,1242.409448962908,1264.7375792720368,0.06060606060606061,33.0,19.553455896490526,18.76535393238928,0.9393939393939394,True
