model,target,track,feature_set,test_rmse,test_r2,cv_rmse
RF,T_C,opx_only,raw,158.20283010789362,0.18962065180084764,141.21257215923848
ERT,T_C,opx_only,raw,163.11989303243521,0.13846341564305076,139.51210135826113
XGB,T_C,opx_only,raw,150.56434145730861,0.2659863673228584,136.7624878232359
GB,T_C,opx_only,raw,158.28441115545291,0.18878465358123364,141.2237733077726
CatBoost,T_C,opx_only,raw,156.70885646136742,0.20485386718503873,133.46561994210413
LightGBM,T_C,opx_only,raw,150.92428743383365,0.2624726394136244,138.2486821575069
ElasticNet,T_C,opx_only,raw,161.44341013521057,0.15608148884355422,144.1807041422926
MLP,T_C,opx_only,raw,152.09370838204325,0.25099905384849297,151.32791343555397
RF,T_C,opx_only,alr,156.34193286791898,0.208573073832388,140.46520243633023
ERT,T_C,opx_only,alr,167.56149126118055,0.09090702493937564,139.90926107849512
XGB,T_C,opx_only,alr,148.51963112068918,0.28578726142622846,134.6905574599168
GB,T_C,opx_only,alr,148.44211222306242,0.2865326246491643,140.56986133718843
CatBoost,T_C,opx_only,alr,153.7270720421567,0.23482534021571044,131.98579061794132
LightGBM,T_C,opx_only,alr,147.98216692463086,0.2909471074020734,139.2292730630581
ElasticNet,T_C,opx_only,alr,172.3240765068681,0.038494467146185984,155.03554704640445
MLP,T_C,opx_only,alr,187.0875290965652,-0.1333121546567939,162.11206707070625
RF,T_C,opx_only,pwlr,152.03803894431385,0.2515472531276294,133.08240161348078
ERT,T_C,opx_only,pwlr,158.7682524348852,0.1838176532137541,132.53203165557292
XGB,T_C,opx_only,pwlr,157.42162230023015,0.19760422083958873,132.0550905310099
GB,T_C,opx_only,pwlr,164.95764606107355,0.1189414513567687,137.73624359169128
CatBoost,T_C,opx_only,pwlr,154.99613924437068,0.2221396596452242,131.5364544015558
LightGBM,T_C,opx_only,pwlr,151.9982029252617,0.25193941119642915,133.358623303017
ElasticNet,T_C,opx_only,pwlr,170.63253534764343,0.05727818766713799,157.36984045374936
MLP,T_C,opx_only,pwlr,169.3974713266843,0.07087592295801515,167.9087418788444
RF,T_C,opx_liq,raw,88.00002150509985,0.5975459798695693,79.47189161742928
ERT,T_C,opx_liq,raw,90.91379911216922,0.5704533599300253,77.84079797785661
XGB,T_C,opx_liq,raw,87.27021358840244,0.6041936192619215,75.43590235968857
GB,T_C,opx_liq,raw,86.18018609793371,0.6140193185659517,78.12363036087874
CatBoost,T_C,opx_liq,raw,92.455109330282,0.555765231181508,79.89932221340344
LightGBM,T_C,opx_liq,raw,87.02433037856319,0.6064208406046725,77.73838288092486
ElasticNet,T_C,opx_liq,raw,77.06189003628756,0.6913757651788929,71.37433946937671
MLP,T_C,opx_liq,raw,150.81248180205156,-0.18202125774740674,130.9506781152494
RF,T_C,opx_liq,alr,87.06672081186457,0.6060373144228992,77.86280044610028
ERT,T_C,opx_liq,alr,91.84259600746492,0.5616318271681379,81.19437247891959
XGB,T_C,opx_liq,alr,89.51538033555532,0.5835661386967799,73.77979458119104
GB,T_C,opx_liq,alr,93.42528308903331,0.5463931979966747,76.60083825042855
CatBoost,T_C,opx_liq,alr,97.04027575648364,0.5106103758865912,77.66756355507506
LightGBM,T_C,opx_liq,alr,93.67288280454915,0.5439856753287204,75.09799287438413
ElasticNet,T_C,opx_liq,alr,86.30549546200969,0.6128960404743449,83.23806148013142
MLP,T_C,opx_liq,alr,118.45182210362069,0.2708209125163761,118.76341722641702
RF,T_C,opx_liq,pwlr,84.89279850533423,0.6254649950144557,77.33871297848789
ERT,T_C,opx_liq,pwlr,86.62753117460504,0.6100018127999549,77.83569191422718
XGB,T_C,opx_liq,pwlr,87.81703053564898,0.5992179994738942,74.63089070094638
GB,T_C,opx_liq,pwlr,88.06798441640005,0.5969241048191839,75.6349745115635
CatBoost,T_C,opx_liq,pwlr,87.78784269451208,0.5994843718906915,77.56572580020283
LightGBM,T_C,opx_liq,pwlr,88.43982595114524,0.5935131769169917,75.41272175196355
ElasticNet,T_C,opx_liq,pwlr,87.82374772804963,0.5991566848802814,83.90617066683484
MLP,T_C,opx_liq,pwlr,156.70205626460464,-0.2761452377021911,135.93284566371915
RF,P_kbar,opx_only,raw,12.259346060811689,0.22539549557689997,10.977881238335906
ERT,P_kbar,opx_only,raw,12.102255702827854,0.24511975826455745,10.792964040339138
XGB,P_kbar,opx_only,raw,11.694452745544185,0.295136185896518,10.659466131880059
GB,P_kbar,opx_only,raw,11.78393254859307,0.2843084250784099,10.560995314806634
CatBoost,P_kbar,opx_only,raw,11.618123774518436,0.30430736323667407,10.320858200516582
LightGBM,P_kbar,opx_only,raw,11.759372339315046,0.28728862156797474,10.585225602194031
ElasticNet,P_kbar,opx_only,raw,13.260640816734675,0.09369488231124656,11.536343137660943
MLP,P_kbar,opx_only,raw,13.545528139663277,0.05433504599728334,10.91231577591384
RF,P_kbar,opx_only,alr,11.10107032422439,0.36485173419106576,10.83792751090555
ERT,P_kbar,opx_only,alr,11.089994665435292,0.3661184906345559,10.864037799284835
XGB,P_kbar,opx_only,alr,10.590686093279974,0.42191247104739205,10.701900981469237
GB,P_kbar,opx_only,alr,11.809735279814351,0.28117076025995535,10.524974218408063
CatBoost,P_kbar,opx_only,alr,11.95646152384662,0.2631980779191846,10.42002486431668
LightGBM,P_kbar,opx_only,alr,11.728056442848887,0.291079551293152,10.534554462965245
ElasticNet,P_kbar,opx_only,alr,13.287063103294065,0.09007959536851518,12.720403589130655
MLP,P_kbar,opx_only,alr,12.743452113487686,0.16301130613400439,11.900084677939324
RF,P_kbar,opx_only,pwlr,10.327722797494394,0.4502635238595001,10.266859183189608
ERT,P_kbar,opx_only,pwlr,10.885709307356297,0.3892564708449635,10.393403890374367
XGB,P_kbar,opx_only,pwlr,10.201704063434224,0.4635974285454857,10.03759637586832
GB,P_kbar,opx_only,pwlr,11.225029233628339,0.350587908841525,10.370482295798444
CatBoost,P_kbar,opx_only,pwlr,11.019120556806822,0.3741946407316332,10.167203964850835
LightGBM,P_kbar,opx_only,pwlr,10.917548603110205,0.3856785539072878,10.354540250402975
ElasticNet,P_kbar,opx_only,pwlr,13.14665944124552,0.10920815069593426,12.796564262876224
MLP,P_kbar,opx_only,pwlr,11.935439686369369,0.2657866889255408,11.416770241434216
RF,P_kbar,opx_liq,raw,5.42136820051842,0.683630798216903,5.616023288251974
ERT,P_kbar,opx_liq,raw,5.716456434300911,0.6482531744283981,5.4686331827367995
XGB,P_kbar,opx_liq,raw,4.742615369523226,0.7578902944984183,4.841931971213271
GB,P_kbar,opx_liq,raw,4.756658215332069,0.7564544020425386,4.988686765848182
CatBoost,P_kbar,opx_liq,raw,5.484648241870014,0.6762021585491732,4.911764321560914
LightGBM,P_kbar,opx_liq,raw,5.01687393312468,0.7290789397323598,5.018447386702164
ElasticNet,P_kbar,opx_liq,raw,5.585970379506894,0.6641281181650915,5.502510773975689
MLP,P_kbar,opx_liq,raw,3.8156075924116495,0.8432874421372423,4.850977035511217
RF,P_kbar,opx_liq,alr,5.065722658162609,0.7237774000690786,5.499321896828266
ERT,P_kbar,opx_liq,alr,6.6496458465320005,0.5240367489348637,5.721203356059257
XGB,P_kbar,opx_liq,alr,4.926977363783257,0.7387011342058523,5.097027895568163
GB,P_kbar,opx_liq,alr,5.119886200031969,0.7178389864803381,5.373849510538128
CatBoost,P_kbar,opx_liq,alr,5.104686653586727,0.719511817962632,5.011932974688436
LightGBM,P_kbar,opx_liq,alr,5.267934211738234,0.7012849692614416,5.347308843178453
ElasticNet,P_kbar,opx_liq,alr,6.482865762630683,0.5476126538903792,5.929536437357242
MLP,P_kbar,opx_liq,alr,5.491743896088443,0.6753638026044273,5.28305103157504
RF,P_kbar,opx_liq,pwlr,5.249150516567117,0.7034114076065084,5.478491945839621
ERT,P_kbar,opx_liq,pwlr,6.6338216051795325,0.5262993643664433,5.718183175486146
XGB,P_kbar,opx_liq,pwlr,5.031449146588685,0.7275024726567199,4.7766335921890715
GB,P_kbar,opx_liq,pwlr,5.048598637281868,0.725641713313379,5.064986762781964
CatBoost,P_kbar,opx_liq,pwlr,5.230592092571972,0.7055048841511953,5.141394585042849
LightGBM,P_kbar,opx_liq,pwlr,5.394992207963286,0.6867017030082685,5.212473679823105
ElasticNet,P_kbar,opx_liq,pwlr,6.638145442783235,0.5256816594477411,6.0595770985044775
MLP,P_kbar,opx_liq,pwlr,5.720952328477712,0.6476996712568615,5.3314464445357
