row_label,method_a_name,method_b_name,n_pairs,n_pairs_T,n_pairs_P,T_rmse_disagreement,T_ci_lo,T_ci_hi,T_mean_abs_diff,T_median_abs_diff,P_rmse_disagreement,P_ci_lo,P_ci_hi,P_mean_abs_diff,P_median_abs_diff,method_a_rmse_vs_truth_T,method_a_rmse_vs_truth_P,method_b_rmse_vs_truth_T,method_b_rmse_vs_truth_P
A,our ML opx-liq,our ML cpx-liq,301,301,301,46.69145585046473,42.02568434313264,51.1851812279777,35.63705022632989,28.168890004671425,3.288101790743623,2.6057041398969054,4.190587105718482,2.325895147882047,2.0218093361997838,71.67506158993334,3.226675182289128,55.006425625002755,4.049814163214399
B,our ML opx-liq,Agreda-Lopez 2024 cpx-liq,301,301,301,305.5704189867688,299.12169217483563,311.9812033679114,300.1041814210597,298.81144088278415,3.1654846270301573,2.9315680762291176,3.3848620937998968,2.6032664934155556,2.3387398524380507,71.67506158993334,3.226675182289128,267.8028700898342,1.9987044330849166
C,our ML opx-liq,Putirka 2008 opx-liq (28a+29a),293,293,0,56.630467874978976,49.94289108783838,63.40687908915499,41.46842642062307,31.20170041516485,,,,,,71.67506158993334,3.226675182289128,57.51737956246841,
D,our ML opx-liq,Jorgenson 2022 cpx-liq,301,301,301,59.075942206360175,54.28368246073887,63.05568524831044,47.32372705562999,40.18332490912553,2.3993486625189355,2.224565210878091,2.592477521352764,1.8997190953486995,1.6105100903714895,71.67506158993334,3.226675182289128,67.26835372650217,2.6871391668069555
E,our ML opx-liq,Wang 2021 cpx,298,298,297,88.61398834273281,82.24910692858698,94.79188978116117,73.2996965213267,64.75682580228965,3.0580901277255275,2.8251144193019115,3.2862134249615838,2.5167868704544265,2.1840427634265644,71.67506158993334,3.226675182289128,88.06839959540763,2.427850420438455
F,our ML opx-liq,our ML opx-only,301,301,301,85.81788394418322,79.17123551511168,92.57628748264975,67.46512337633719,51.5117174889358,3.9310227317247746,3.3108840171074316,4.449782437275995,2.7307780514157605,1.8913580751043568,71.67506158993334,3.226675182289128,110.31182352679662,5.933028774516043
G,our ML opx-only,Putirka 2-px eq36/eq39,297,297,297,79.31495771001455,70.50395281051816,88.79642013742597,63.81306442662148,58.149826991027794,9.343867162796446,7.729135040365416,11.248854821063937,6.274228269551208,4.605184958478931,110.31182352679662,5.933028774516043,77.56852565201464,5.752949675822333
H,our ML opx-only,Brey-Kohler 1990 two-pyroxene,297,297,297,79.31495771001455,70.50395281051816,88.79642013742597,63.81306442662148,58.149826991027794,9.343867162796446,7.729135040365416,11.248854821063937,6.274228269551208,4.605184958478931,110.31182352679662,5.933028774516043,77.56852565201464,5.752949675822333
I,our ML opx-only,our ML cpx-only,301,301,301,98.18632865676705,90.2187402536589,106.45148567700934,76.34374922313536,62.829404243238855,4.512628025705922,3.926436606323052,5.05741021630979,3.1712745650650715,2.1801439846673443,110.31182352679662,5.933028774516043,55.006425625002755,4.049814163214399
J,Agreda-Lopez 2024 cpx-only,Jorgenson 2022 cpx-only,301,301,301,285.1015143723109,276.9084415257415,294.2413146441984,276.12646762852273,280.0915447178139,2.2461614254374735,2.0704607938692474,2.4138882817940828,1.8142520002885019,1.5027112542147698,267.8028700898342,1.9987044330849166,67.26835372650217,2.6871391668069555
M,our ML opx-only,Agreda-Lopez 2024 cpx-only,301,301,301,354.1585582133982,344.9396286482175,364.63984475475166,343.6850638273167,337.34216804397636,5.839818982155281,5.108326360714254,6.555051548411127,4.312706681245231,3.1887259964928765,110.31182352679662,5.933028774516043,267.8028700898342,1.9987044330849166
N,our ML opx-only,Jorgenson 2022 cpx-only,301,301,301,88.31186019150485,82.57541782173945,94.55614070285604,75.44157909595792,73.18733641909876,4.644611458065632,3.951121825143739,5.321441274444719,3.2039040637396003,2.2674788135062,110.31182352679662,5.933028774516043,67.26835372650217,2.6871391668069555
O,our ML opx-only,Putirka 32a/32b/32c cpx-only,297,297,161,79.31495771001455,70.50395281051816,88.79642013742597,63.81306442662148,58.149826991027794,5.915123211093373,5.314645993677071,6.523469935936126,4.931918319419002,4.146619584254372,110.31182352679662,5.933028774516043,77.56852565201464,4.361843460512627
P,our ML opx-only,Wang 2021 cpx,298,298,297,83.98158740297872,74.9771216813969,94.86320164651849,62.97835348547252,50.53322957606588,5.57655470766902,4.934634418822372,6.40424204746314,4.312858034871788,3.8420164466289988,110.31182352679662,5.933028774516043,88.06839959540763,2.427850420438455
Q,our ML cpx-liq,Agreda-Lopez 2024 cpx-liq,301,301,301,291.15171937580095,285.96938129241016,296.9278771980847,287.70553296947605,280.4021567042985,3.46982898669157,2.6348610789462157,4.504447681665324,2.226746648008682,1.5113367725009552,55.006425625002755,4.049814163214399,267.8028700898342,1.9987044330849166
R,our ML cpx-liq,Jorgenson 2022 cpx-liq,301,301,301,55.8132886738154,52.38201741096026,59.525650747735924,47.80294869982986,43.66869443993994,2.8251095079946826,2.0125082752977765,3.8840152238866814,1.7806430337983854,1.4660904359581695,55.006425625002755,4.049814163214399,67.26835372650217,2.6871391668069555
S,our ML cpx-only,Agreda-Lopez 2024 cpx-only,301,301,301,291.15171937580095,285.96938129241016,296.9278771980847,287.70553296947605,280.4021567042985,3.46982898669157,2.6348610789462157,4.504447681665324,2.226746648008682,1.5113367725009552,55.006425625002755,4.049814163214399,267.8028700898342,1.9987044330849166
T,our ML cpx-only,Jorgenson 2022 cpx-only,301,301,301,55.8132886738154,52.38201741096026,59.525650747735924,47.80294869982986,43.66869443993994,2.8251095079946826,2.0125082752977765,3.8840152238866814,1.7806430337983854,1.4660904359581695,55.006425625002755,4.049814163214399,67.26835372650217,2.6871391668069555
U,our ML opx-liq T,Putirka 28a opx-liq T,293,293,0,56.630467874978976,49.94289108783838,63.40687908915499,41.46842642062307,31.20170041516485,,,,,,71.67506158993334,,57.51737956246841,
V,our ML opx-liq P,Putirka 29a opx-liq P,0,0,0,,,,,,,,,,,,3.226675182289128,,
