locality,tectonic_setting_expected,n_in_bbox,n_tectonic_matched,clears_n20_floor,pred_T_C_mean,pred_T_C_std,pred_P_kbar_mean,pred_P_kbar_std,ood_pct,expected_T_C_low,expected_T_C_high,expected_P_kbar_low,expected_P_kbar_high
Mount St. Helens,CONVERGENT MARGIN,70,70,True,1060.7542266291514,20.275236545602283,4.714489448376625,1.5727230694800722,0.0,900,1050,4.0,9
Kamchatka,CONVERGENT MARGIN,544,544,True,1132.3071873930196,145.02514506884958,11.67790857988385,7.912417233035213,0.1838235294117647,950,1100,3.0,10
Central Andes,CONVERGENT MARGIN,390,390,True,1008.3191049868191,84.7131639337596,5.811777837101489,3.023909192742497,0.7692307692307693,900,1200,5.0,20
Lesser Antilles,CONVERGENT MARGIN,269,269,True,996.4120845249174,82.77912803011888,7.857867471189639,6.800417263395317,1.486988847583643,950,1100,3.0,9
Aegean,CONVERGENT MARGIN,1015,791,True,970.251399589098,83.16874693486335,4.92524610131285,2.295609347446633,0.3940886699507389,850,1050,2.0,8
Aleutians,CONVERGENT MARGIN,33,33,True,975.3254151419684,46.70241631150054,6.515532047165846,3.3377338693835807,15.151515151515152,950,1100,3.0,10
Kilbourne Hole,INTRAPLATE VOLCANICS,0,0,False,,,,,,900,1200,8.0,25
Spitsbergen,INTRAPLATE VOLCANICS,33,0,True,1242.409448962908,73.08818717391213,19.553455896490526,4.054489855708214,3.0303030303030303,900,1150,10.0,25
Siberian craton,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),1049,0,True,1265.1015118431794,56.248967551996415,28.260715643761674,8.259311856927479,0.3813155386081983,900,1400,20.0,60
Kaapvaal craton,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),2583,0,True,1235.8049888298476,69.17187320078862,18.89470704503733,12.197082689781602,0.11614401858304298,900,1450,20.0,70
Kerguelen Plateau,OCEANIC PLATEAU,54,0,True,1248.3748483677682,68.55094290253056,18.952564052835957,5.550459511551038,0.0,1100,1300,10.0,25
Kilauea,OCEAN ISLAND,2,2,False,1097.4142803063014,3.0331675247887113,5.289019363720093,0.07710648365040734,0.0,1100,1250,0.5,5
Iceland,RIFT VOLCANICS,49,0,True,955.2860699435332,56.89206729042426,4.6260500629245325,0.5821767259479895,46.93877551020408,1100,1250,1.0,6
Reunion,OCEAN ISLAND,0,0,False,,,,,,1100,1250,1.0,8
Erta Ale,RIFT VOLCANICS,0,0,False,,,,,,1100,1200,0.5,4
