pipeline,track,target,model,feature_set,feature,mean_abs_shap,rank
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_MgO,62.87300109863281,1
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_FeO,22.27018165588379,2
opx,opx_liq,T_C,ElasticNet,raw,Al_VI,20.14149284362793,3
opx,opx_liq,T_C,ElasticNet,raw,raw_FeO_total,18.79485511779785,4
opx,opx_liq,T_C,ElasticNet,raw,Wo_frac,13.67175006866455,5
opx,opx_liq,T_C,ElasticNet,raw,raw_Na2O,13.117205619812012,6
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_Al2O3,8.592981338500977,7
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_Na2O,6.304599285125732,8
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_K2O,6.156884670257568,9
opx,opx_liq,T_C,ElasticNet,raw,Al_IV,5.3814005851745605,10
opx,opx_liq,T_C,ElasticNet,raw,raw_TiO2,5.284389972686768,11
opx,opx_liq,T_C,ElasticNet,raw,raw_Cr2O3,4.798876762390137,12
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_TiO2,2.109182834625244,13
opx,opx_liq,T_C,ElasticNet,raw,raw_MnO,1.7798082828521729,14
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_SiO2,1.6465296745300293,15
opx,opx_liq,T_C,ElasticNet,raw,raw_CaO,0.0,16
opx,opx_liq,T_C,ElasticNet,raw,MgTs,0.0,17
opx,opx_liq,T_C,ElasticNet,raw,Fs_frac,0.0,18
opx,opx_liq,T_C,ElasticNet,raw,En_frac,0.0,19
opx,opx_liq,T_C,ElasticNet,raw,Mg_num,0.0,20
opx,opx_liq,T_C,ElasticNet,raw,raw_Al2O3,0.0,21
opx,opx_liq,T_C,ElasticNet,raw,raw_SiO2,0.0,22
opx,opx_liq,T_C,ElasticNet,raw,raw_MgO,0.0,23
opx,opx_liq,T_C,ElasticNet,raw,raw_liq_CaO,0.0,24
opx,opx_liq,T_C,ElasticNet,raw,liq_Mg_num,0.0,25
opx,opx_liq,P_kbar,MLP,raw,raw_liq_SiO2,0.22260282933712006,1
opx,opx_liq,P_kbar,MLP,raw,raw_liq_Al2O3,0.19917842745780945,2
opx,opx_liq,P_kbar,MLP,raw,Al_VI,0.14284709095954895,3
opx,opx_liq,P_kbar,MLP,raw,raw_liq_FeO,0.11914081126451492,4
opx,opx_liq,P_kbar,MLP,raw,raw_Al2O3,0.08708477765321732,5
opx,opx_liq,P_kbar,MLP,raw,raw_TiO2,0.06928128004074097,6
opx,opx_liq,P_kbar,MLP,raw,raw_liq_MgO,0.04962972551584244,7
opx,opx_liq,P_kbar,MLP,raw,raw_liq_CaO,0.044638749212026596,8
opx,opx_liq,P_kbar,MLP,raw,liq_Mg_num,0.039433591067790985,9
opx,opx_liq,P_kbar,MLP,raw,MgTs,0.022631879895925522,10
opx,opx_liq,P_kbar,MLP,raw,raw_Na2O,0.022193480283021927,11
opx,opx_liq,P_kbar,MLP,raw,raw_Cr2O3,0.019249917939305305,12
opx,opx_liq,P_kbar,MLP,raw,Wo_frac,0.01268696878105402,13
opx,opx_liq,P_kbar,MLP,raw,raw_liq_K2O,0.011481070891022682,14
opx,opx_liq,P_kbar,MLP,raw,En_frac,0.010287793353199959,15
opx,opx_liq,P_kbar,MLP,raw,raw_liq_Na2O,0.009774455800652504,16
opx,opx_liq,P_kbar,MLP,raw,raw_CaO,0.006295191124081612,17
opx,opx_liq,P_kbar,MLP,raw,Al_IV,0.005484179127961397,18
opx,opx_liq,P_kbar,MLP,raw,Mg_num,0.004857108928263187,19
