pipeline,track,target,seed,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,params_a_json,params_b_json,decision_a_json,decision_b_json
opx,opx_liq,T_C,42,84.09436584153448,85.55471990743672,84.35305062483796,False,False,none,-1.4603540659022372,17.593963059865295,-0.25868478330347955,6.8795139329892265,"{""deep_crustal_MASH"": {""a"": 0.8890799562553338, ""b"": 140.2651485851386}, ""deeper_mantle"": {""a"": 0.9634026442493185, ""b"": 79.15417908731774}, ""lithospheric_mantle"": {""a"": 0.7422872617746865, ""b"": 366.6644032654367}, ""shallow_crustal"": {""a"": 1.10417825827635, ""b"": -153.86153276578443}}","{""alpha_L"": 0.25, ""alpha_R"": 0.55, ""a_L"": 1139.4754333496094, ""a_R"": 1290.6611328125, ""s_L"": -0.05115761218861489, ""s_R"": 0.027183628307516517, ""oof_mse"": 5365.695537108247}","{""form"": ""A"", ""ships"": false, ""overall_delta"": -1.4603540659022372, ""max_regime_degradation"": 17.593963059865295, ""reason"": ""overall delta -1.46 <= tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.25868478330347955, ""max_regime_degradation"": 6.8795139329892265, ""reason"": ""overall delta -0.2587 <= tol 1e-06""}"
opx,opx_liq,T_C,43,83.64759268132596,83.84462727093847,84.73530932205801,False,False,none,-0.19703458961251386,18.500927729478036,-1.0877166407320544,11.267903133604207,"{""deep_crustal_MASH"": {""a"": 0.8738746503960738, ""b"": 152.88939318010102}, ""deeper_mantle"": {""a"": 1.061940803881188, ""b"": -75.25909428076488}, ""lithospheric_mantle"": {""a"": 0.8560349846888843, ""b"": 200.40553255018403}, ""shallow_crustal"": {""a"": 1.1141439387865268, ""b"": -166.00140479222546}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 1280.8429870605469, ""a_R"": 1563.2978515625, ""s_L"": -0.0335791729486761, ""s_R"": 0.3204083280341588, ""oof_mse"": 4939.0198475205725}","{""form"": ""A"", ""ships"": false, ""overall_delta"": -0.19703458961251386, ""max_regime_degradation"": 18.500927729478036, ""reason"": ""overall delta -0.197 <= tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -1.0877166407320544, ""max_regime_degradation"": 11.267903133604207, ""reason"": ""overall delta -1.088 <= tol 1e-06""}"
opx,opx_liq,T_C,44,85.33966697089922,84.85951573322717,86.0445614399215,False,False,none,0.4801512376720467,13.265795371560714,-0.7048944690222783,3.792194122595376,"{""deep_crustal_MASH"": {""a"": 0.8898623009749201, ""b"": 131.83078557655904}, ""deeper_mantle"": {""a"": 1.021156707860278, ""b"": -2.909870037291057}, ""lithospheric_mantle"": {""a"": 0.8179665457756267, ""b"": 256.8150262718591}, ""shallow_crustal"": {""a"": 1.1339767071833984, ""b"": -183.822331379645}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 1270.6276550292969, ""a_R"": 1558.8854370117188, ""s_L"": -0.04229449999989386, ""s_R"": 0.10766089754626945, ""oof_mse"": 5435.470709040792}","{""form"": ""A"", ""ships"": false, ""overall_delta"": 0.4801512376720467, ""max_regime_degradation"": 13.265795371560714, ""reason"": ""regime worst degradation +13.27 > tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.7048944690222783, ""max_regime_degradation"": 3.792194122595376, ""reason"": ""overall delta -0.7049 <= tol 1e-06""}"
opx,opx_liq,T_C,45,85.54586099123426,83.37489545061285,86.41426867241815,False,False,none,2.1709655406214097,2.441228711399404,-0.8684076811838821,11.570508443041504,"{""deep_crustal_MASH"": {""a"": 0.9048616375162005, ""b"": 113.75632346753287}, ""deeper_mantle"": {""a"": 0.8552016741642244, ""b"": 248.3678052761113}, ""lithospheric_mantle"": {""a"": 0.7455471241306562, ""b"": 361.5795136847594}, ""shallow_crustal"": {""a"": 1.2655744276773102, ""b"": -302.14675128494923}}","{""alpha_L"": 0.29, ""alpha_R"": 0.95, ""a_L"": 1172.6853942871094, ""a_R"": 1555.9845275878906, ""s_L"": -0.0555237368291025, ""s_R"": 0.29780222952499424, ""oof_mse"": 6001.124137016825}","{""form"": ""A"", ""ships"": false, ""overall_delta"": 2.1709655406214097, ""max_regime_degradation"": 2.441228711399404, ""reason"": ""regime worst degradation +2.441 > tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.8684076811838821, ""max_regime_degradation"": 11.570508443041504, ""reason"": ""overall delta -0.8684 <= tol 1e-06""}"
opx,opx_liq,T_C,46,84.10037668516505,85.529467647119,84.81684636301668,False,False,none,-1.4290909619539605,21.080045724420877,-0.7164696778516344,8.34243695742434,"{""deep_crustal_MASH"": {""a"": 0.9088129710030745, ""b"": 110.89968604396972}, ""deeper_mantle"": {""a"": 1.1805121880575478, ""b"": -248.02940814805106}, ""lithospheric_mantle"": {""a"": 0.8185422327026936, ""b"": 255.42942695463125}, ""shallow_crustal"": {""a"": 1.0415039760287397, ""b"": -80.96574938100684}}","{""alpha_L"": 0.33, ""alpha_R"": 0.95, ""a_L"": 1201.7638854980469, ""a_R"": 1548.2332763671875, ""s_L"": -0.04655195843958066, ""s_R"": 0.20548477452309735, ""oof_mse"": 5223.975532088484}","{""form"": ""A"", ""ships"": false, ""overall_delta"": -1.4290909619539605, ""max_regime_degradation"": 21.080045724420877, ""reason"": ""overall delta -1.429 <= tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.7164696778516344, ""max_regime_degradation"": 8.34243695742434, ""reason"": ""overall delta -0.7165 <= tol 1e-06""}"
opx,opx_liq,P_kbar,42,5.2863540684736,2.7521420172688336,5.857023661667117,False,False,none,2.534212051204767,1.473074525437406,-0.5706695931935171,7.089133324928426,"{""deep_crustal_MASH"": {""a"": 0.17141254415777227, ""b"": 8.20934413192154}, ""deeper_mantle"": {""a"": 0.22769776007942516, ""b"": 26.746817720057994}, ""lithospheric_mantle"": {""a"": 0.3389643317233327, ""b"": 12.105158463858544}, ""shallow_crustal"": {""a"": 0.11264218497645558, ""b"": 0.4030727171593603}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 10.60871410369873, ""a_R"": 30.78788948059082, ""s_L"": -0.16658731783147337, ""s_R"": 1.364976787033344, ""oof_mse"": 24.331059259151242}","{""form"": ""A"", ""ships"": false, ""overall_delta"": 2.534212051204767, ""max_regime_degradation"": 1.473074525437406, ""reason"": ""regime worst degradation +1.473 > tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.5706695931935171, ""max_regime_degradation"": 7.089133324928426, ""reason"": ""overall delta -0.5707 <= tol 1e-06""}"
opx,opx_liq,P_kbar,43,5.445959404290925,2.5290393736709507,5.385411894553465,True,False,A,2.9169200306199747,-0.16755693672605498,0.060547509737460814,0.3157951031083224,"{""deep_crustal_MASH"": {""a"": 0.19152440509639426, ""b"": 7.961470400020039}, ""deeper_mantle"": {""a"": 0.5797874827006415, ""b"": 17.095897053018135}, ""lithospheric_mantle"": {""a"": 0.5374049744974512, ""b"": 8.336857716675416}, ""shallow_crustal"": {""a"": 0.11886923298729277, ""b"": 0.38344857020301826}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 10.592657566070557, ""a_R"": 28.822728633880615, ""s_L"": -0.16957549485235435, ""s_R"": -0.3040741785122508, ""oof_mse"": 20.4642889485175}","{""form"": ""A"", ""ships"": true, ""overall_delta"": 2.9169200306199747, ""max_regime_degradation"": -0.16755693672605498, ""reason"": ""ships: overall improves, no regime degrades""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": 0.060547509737460814, ""max_regime_degradation"": 0.3157951031083224, ""reason"": ""regime worst degradation +0.3158 > tol 1e-06""}"
opx,opx_liq,P_kbar,44,5.452433745359423,2.6632166550051966,6.137993668027501,False,False,none,2.7892170903542266,0.31222639101599725,-0.6855599226680775,8.07833801741284,"{""deep_crustal_MASH"": {""a"": 0.22403666191482105, ""b"": 7.5536956101133175}, ""deeper_mantle"": {""a"": 0.37612892408830323, ""b"": 22.61950202511794}, ""lithospheric_mantle"": {""a"": 0.282451821122654, ""b"": 12.996964088874481}, ""shallow_crustal"": {""a"": 0.07275338496140504, ""b"": 0.6311066449173948}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 10.974936723709106, ""a_R"": 31.79464292526245, ""s_L"": -0.18845800336817145, ""s_R"": 1.8271549060629484, ""oof_mse"": 25.798718505618986}","{""form"": ""A"", ""ships"": false, ""overall_delta"": 2.7892170903542266, ""max_regime_degradation"": 0.31222639101599725, ""reason"": ""regime worst degradation +0.3122 > tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.6855599226680775, ""max_regime_degradation"": 8.07833801741284, ""reason"": ""overall delta -0.6856 <= tol 1e-06""}"
opx,opx_liq,P_kbar,45,5.470987714883874,2.6285120534041604,5.7975292902881055,True,False,A,2.8424756614797135,-0.2162645158502685,-0.32654157540423157,4.372042178360627,"{""deep_crustal_MASH"": {""a"": 0.17597283828492624, ""b"": 8.13279430443073}, ""deeper_mantle"": {""a"": 0.4705666579622585, ""b"": 19.705483450985547}, ""lithospheric_mantle"": {""a"": 0.34650255057369495, ""b"": 12.094255348627836}, ""shallow_crustal"": {""a"": 0.12741340221606753, ""b"": 0.28910416394812233}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 10.591727018356323, ""a_R"": 30.5003981590271, ""s_L"": -0.255761212148089, ""s_R"": 1.0689264839365844, ""oof_mse"": 23.536730222888657}","{""form"": ""A"", ""ships"": true, ""overall_delta"": 2.8424756614797135, ""max_regime_degradation"": -0.2162645158502685, ""reason"": ""ships: overall improves, no regime degrades""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.32654157540423157, ""max_regime_degradation"": 4.372042178360627, ""reason"": ""overall delta -0.3265 <= tol 1e-06""}"
opx,opx_liq,P_kbar,46,5.668620892300484,2.780849219062681,6.56539173084531,False,False,none,2.887771673237803,1.916242820465067,-0.8967708385448256,10.257966625990003,"{""deep_crustal_MASH"": {""a"": 0.1258848643853362, ""b"": 8.6766471376651}, ""deeper_mantle"": {""a"": 0.18925321240336668, ""b"": 28.22816768902852}, ""lithospheric_mantle"": {""a"": 0.30938093899883445, ""b"": 12.609383921755297}, ""shallow_crustal"": {""a"": -0.11753966457667445, ""b"": 1.9822662476908355}}","{""alpha_L"": 0.45, ""alpha_R"": 0.95, ""a_L"": 10.68036437034607, ""a_R"": 30.551666259765625, ""s_L"": -0.3841176155894194, ""s_R"": 1.8192327037112306, ""oof_mse"": 29.584026031799258}","{""form"": ""A"", ""ships"": false, ""overall_delta"": 2.887771673237803, ""max_regime_degradation"": 1.916242820465067, ""reason"": ""regime worst degradation +1.916 > tol 1e-06""}","{""form"": ""B"", ""ships"": false, ""overall_delta"": -0.8967708385448256, ""max_regime_degradation"": 10.257966625990003, ""reason"": ""overall delta -0.8968 <= tol 1e-06""}"
