pipeline,track,target,regime_type,regime,regime_lo,regime_hi,n,method_family,method,method_label,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi,n_used
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,tabpfn,TabPFN/raw,TabPFN (foundation model),41.05022546052704,32.42677665259273,48.41002656824699,33.383518624812986,26.658873204982015,40.039473545804924,47
opx,opx_liq,T_C,P,deep_crustal_MASH,5.0,15.0,61,tabpfn,TabPFN/raw,TabPFN (foundation model),90.16120219698338,53.58816347183931,120.80564889719984,54.54673972207991,38.28192060877065,72.43629049832704,61
opx,opx_liq,T_C,P,lithospheric_mantle,15.0,30.0,58,tabpfn,TabPFN/raw,TabPFN (foundation model),99.7526193902201,82.10927923737127,117.45624584174385,78.54680912412444,62.62668016104862,94.07988537492423,58
opx,opx_liq,T_C,P,deeper_mantle,30.0,100.0,8,tabpfn,TabPFN/raw,TabPFN (foundation model),108.48118054813696,66.11180725535964,150.2448851075386,94.39750289916992,62.50199083328247,135.37898967742925,8
opx,opx_liq,T_C,P,ALL,0.0,100.0,174,tabpfn,TabPFN/raw,TabPFN (foundation model),84.63415316267469,69.9512038483089,99.8642949069464,58.66247960233139,49.31615863931588,68.20710877911796,174
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,tabpfn,TabPFN/raw,TabPFN (foundation model),7.973385648606502,7.0767661455157524,8.821840334549448,7.371689607963421,6.394262798871311,8.2628200142334,47
opx,opx_liq,P_kbar,P,deep_crustal_MASH,5.0,15.0,61,tabpfn,TabPFN/raw,TabPFN (foundation model),2.00716415793654,1.5527342169734495,2.399620299950496,1.4024411365634106,1.049329665254374,1.7957354366877036,61
opx,opx_liq,P_kbar,P,lithospheric_mantle,15.0,30.0,58,tabpfn,TabPFN/raw,TabPFN (foundation model),5.2128763551665065,3.634344749537238,6.86235360746027,3.5641104649230515,2.692179620507463,4.697122357382684,58
opx,opx_liq,P_kbar,P,deeper_mantle,30.0,100.0,8,tabpfn,TabPFN/raw,TabPFN (foundation model),6.857738322847277,4.433947298557743,9.401617019482776,5.917925560474396,3.673712536394597,8.688423991799356,8
opx,opx_liq,P_kbar,P,ALL,0.0,100.0,174,tabpfn,TabPFN/raw,TabPFN (foundation model),5.459409107347221,4.763473297634743,6.153485699899999,3.94298926640219,3.3810694411608937,4.455526486814521,174
opx,opx_only,T_C,P,shallow_crustal,0.0,5.0,48,tabpfn,TabPFN/raw,TabPFN (foundation model),123.20286429815299,109.72908062850601,136.12811982646957,113.22035242716471,98.3906126944224,127.61112190564474,48
opx,opx_only,T_C,P,deep_crustal_MASH,5.0,15.0,76,tabpfn,TabPFN/raw,TabPFN (foundation model),107.44875453411098,91.88036123791227,123.44785203114985,88.25722286826685,74.97719410745721,102.945386633622,76
opx,opx_only,T_C,P,lithospheric_mantle,15.0,30.0,37,tabpfn,TabPFN/raw,TabPFN (foundation model),94.81935326272773,80.30599184390327,111.25895693693123,83.79029392551732,70.14572955982105,99.2817910395442,37
opx,opx_only,T_C,P,deeper_mantle,30.0,100.0,29,tabpfn,TabPFN/raw,TabPFN (foundation model),283.7938701266099,181.14496607747216,373.6927963407996,187.4855963345232,116.80060230123584,270.13318440930595,29
opx,opx_only,T_C,P,ALL,0.0,100.0,190,tabpfn,TabPFN/raw,TabPFN (foundation model),149.98795333170574,118.56552569590302,179.52389786872823,108.83920538651316,94.7654558595356,123.51353841600921,190
opx,opx_only,P_kbar,P,shallow_crustal,0.0,5.0,48,tabpfn,TabPFN/raw,TabPFN (foundation model),10.56902146228752,8.46294554750313,12.494572761404797,8.428376133325704,6.621341996137004,10.256135315035257,48
opx,opx_only,P_kbar,P,deep_crustal_MASH,5.0,15.0,76,tabpfn,TabPFN/raw,TabPFN (foundation model),6.443725502316508,4.492345944776772,8.436204189994378,4.384137057473786,3.3827247622687566,5.571825271876235,76
opx,opx_only,P_kbar,P,lithospheric_mantle,15.0,30.0,37,tabpfn,TabPFN/raw,TabPFN (foundation model),6.558815220544893,4.398467493387731,8.572215234496053,4.517343090675973,3.147898214088904,6.102721273174158,37
opx,opx_only,P_kbar,P,deeper_mantle,30.0,100.0,29,tabpfn,TabPFN/raw,TabPFN (foundation model),25.992323267847013,18.95782229379268,32.604025730976225,20.767516712690217,15.258450139144369,26.545126440725443,29
opx,opx_only,P_kbar,P,ALL,0.0,100.0,190,tabpfn,TabPFN/raw,TabPFN (foundation model),12.502954827235529,9.88278642760453,14.998210393631252,7.932400788371941,6.625256921094659,9.293144754296554,190
cpx,cpx_liq,T_C,P,shallow_crustal,0.0,5.0,268,tabpfn,TabPFN/raw,TabPFN (foundation model),40.11868349944889,34.124986630960976,46.651610135405015,27.20887565043435,23.897947688316226,30.979091865482623,268
cpx,cpx_liq,T_C,P,deep_crustal_MASH,5.0,15.0,187,tabpfn,TabPFN/raw,TabPFN (foundation model),51.807376651156076,41.926386014760205,64.58018816757259,37.58568998122599,32.894071963305144,42.914209667348615,187
cpx,cpx_liq,T_C,P,lithospheric_mantle,15.0,30.0,143,tabpfn,TabPFN/raw,TabPFN (foundation model),71.93372980304805,62.87436585544963,80.29536604669114,58.167192984627675,51.32273606733842,64.94488338977305,143
cpx,cpx_liq,T_C,P,deeper_mantle,30.0,100.0,56,tabpfn,TabPFN/raw,TabPFN (foundation model),162.94276238431806,92.08846332559042,228.7749962883445,83.12963038853236,52.042205728803346,125.59758950642174,56
cpx,cpx_liq,T_C,P,ALL,0.0,100.0,654,tabpfn,TabPFN/raw,TabPFN (foundation model),69.51144928469044,55.54064367733019,83.69903346068833,41.73344128343308,37.877978764571914,46.13646252098434,654
cpx,cpx_liq,P_kbar,P,shallow_crustal,0.0,5.0,268,tabpfn,TabPFN/raw,TabPFN (foundation model),5.288218833909601,4.650163954574704,5.9140624409364255,3.264857635757783,2.7913869790406998,3.773095583447165,268
cpx,cpx_liq,P_kbar,P,deep_crustal_MASH,5.0,15.0,187,tabpfn,TabPFN/raw,TabPFN (foundation model),4.021605322323997,3.2809731113665292,4.738333389719399,2.6158696994426993,2.194366734756186,3.0527367575155924,187
cpx,cpx_liq,P_kbar,P,lithospheric_mantle,15.0,30.0,143,tabpfn,TabPFN/raw,TabPFN (foundation model),4.145513651381022,3.46907275787613,4.841959627654247,2.8618375748187512,2.4134189328197,3.357147906268393,143
cpx,cpx_liq,P_kbar,P,deeper_mantle,30.0,100.0,56,tabpfn,TabPFN/raw,TabPFN (foundation model),20.015734090476595,8.072568194568268,31.52718057182742,7.407270615441457,3.377896842871394,13.236675815369402,56
cpx,cpx_liq,P_kbar,P,ALL,0.0,100.0,654,tabpfn,TabPFN/raw,TabPFN (foundation model),7.358434785465184,4.977761857943859,10.240121241274867,3.345870654193691,2.8961838910077726,3.8870404247653694,654
cpx,cpx_only,T_C,P,shallow_crustal,0.0,5.0,236,tabpfn,TabPFN/raw,TabPFN (foundation model),91.4681693903282,78.82483097906017,103.77008587373014,64.27560453253278,56.24162650350797,72.58059015144735,236
cpx,cpx_only,T_C,P,deep_crustal_MASH,5.0,15.0,193,tabpfn,TabPFN/raw,TabPFN (foundation model),82.55832201998074,67.2012305637193,101.95922630886423,57.386855383364036,49.56984502762711,66.44543317646558,193
cpx,cpx_only,T_C,P,lithospheric_mantle,15.0,30.0,213,tabpfn,TabPFN/raw,TabPFN (foundation model),138.60377676722044,106.56936772126187,169.0839373837402,83.18182228339111,69.41570529955656,97.5616236515672,213
cpx,cpx_only,T_C,P,deeper_mantle,30.0,100.0,142,tabpfn,TabPFN/raw,TabPFN (foundation model),206.0975727952059,175.49676953020827,234.58602279994346,151.47998117796135,129.5764558104394,174.70127198071546,142
cpx,cpx_only,T_C,P,ALL,0.0,100.0,784,tabpfn,TabPFN/raw,TabPFN (foundation model),130.80162449860387,117.65354084634421,144.407445507754,83.51095820446405,76.73126703301254,90.52897688184468,784
cpx,cpx_only,P_kbar,P,shallow_crustal,0.0,5.0,236,tabpfn,TabPFN/raw,TabPFN (foundation model),8.065898815804283,6.81016759300726,9.276321547117814,4.922463348182979,4.1665625946130165,5.724589896292398,236
cpx,cpx_only,P_kbar,P,deep_crustal_MASH,5.0,15.0,193,tabpfn,TabPFN/raw,TabPFN (foundation model),4.091447655508241,3.2038045509416198,5.172691287177099,2.613703212574356,2.2280670931981637,3.072336571903735,193
cpx,cpx_only,P_kbar,P,lithospheric_mantle,15.0,30.0,213,tabpfn,TabPFN/raw,TabPFN (foundation model),8.636045545500668,6.308724786984882,10.894693729281885,4.855281294007815,3.975684913676669,5.836891081849455,213
cpx,cpx_only,P_kbar,P,deeper_mantle,30.0,100.0,142,tabpfn,TabPFN/raw,TabPFN (foundation model),27.139310363171568,21.364653255019398,32.719399243843625,17.567320551817684,14.122097001159169,21.250817480103542,142
cpx,cpx_only,P_kbar,P,ALL,0.0,100.0,784,tabpfn,TabPFN/raw,TabPFN (foundation model),13.318099396847066,11.034823384958997,15.526300399189834,6.626123092066083,5.815383883140243,7.465344013255414,784
