model,target,track,feature_set,test_rmse,test_r2,cv_rmse
RF,T_C,universal,universal_raw,143.70943987497077,0.49270777286701395,118.62023457132223
ERT,T_C,universal,universal_raw,146.47941328272222,0.4729633728764807,115.8266337241011
XGB,T_C,universal,universal_raw,146.42845806598484,0.4733299854119096,114.98724212846315
GB,T_C,universal,universal_raw,145.16768096605153,0.48236040013590775,117.6181544952758
CatBoost,T_C,universal,universal_raw,144.65224644515126,0.48602975200293275,113.78684484549541
LightGBM,T_C,universal,universal_raw,146.77686346982327,0.470820733028665,117.06368257573962
ElasticNet,T_C,universal,universal_raw,152.9175171981898,0.42561632121018034,137.93502249057582
MLP,T_C,universal,universal_raw,157.37230611109723,0.3916629988421587,114.72048331875924
RF,P_kbar,universal,universal_raw,18.21770058418554,0.53955525804702,13.189655056682549
ERT,P_kbar,universal,universal_raw,17.484084756675266,0.5758922543668785,13.249912720885769
XGB,P_kbar,universal,universal_raw,18.52097922473502,0.5240971702836097,12.815914976811802
GB,P_kbar,universal,universal_raw,18.49208931032146,0.5255806846096466,12.660498916916103
CatBoost,P_kbar,universal,universal_raw,17.716272561857583,0.5645531989909889,12.778473909361077
LightGBM,P_kbar,universal,universal_raw,18.465052773781256,0.5269669291030341,12.69519643592414
ElasticNet,P_kbar,universal,universal_raw,18.951133563033462,0.5017345398926739,14.701289750800884
MLP,P_kbar,universal,universal_raw,16.623944645460554,0.6165942991114612,12.654031290092101
