pipeline,track,target,model,feature_set,model_seed,cv_seed,elapsed_s,alpha_L,alpha_R,a_L,a_R,s_L,s_R,oof_mse,form_b_ok
opx,opx_liq,T_C,ElasticNet,raw,42,42,0.04,0.05,0.8300000000000001,941.6680822438973,1430.7710598158124,0.4089424708882276,-0.17650165081042843,4406.703445239701,True
opx,opx_liq,T_C,ElasticNet,raw,42,43,0.04,0.05,0.87,943.8155427308347,1462.5925969557404,0.40987200535532436,-0.22349625422867586,4385.546940711047,True
opx,opx_liq,T_C,ElasticNet,raw,42,44,0.04,0.05,0.87,940.0346740335814,1461.7575792997588,0.526001601281835,-0.24159716021360123,4409.252092698401,True
opx,opx_liq,T_C,ElasticNet,raw,42,45,0.05,0.05,0.8300000000000001,933.1432476861501,1429.6451774205057,0.6358639601973524,-0.19473423260441372,4455.76747994131,True
opx,opx_liq,T_C,ElasticNet,raw,42,46,0.04,0.05,0.8300000000000001,943.4012266050154,1431.0099098731882,0.39495112025170387,-0.18237222956205684,4280.0750975531,True
opx,opx_liq,P_kbar,MLP,raw,42,42,1.21,0.13,0.55,3.473137816476189,11.946695567762792,0.5487504815350013,0.10555701057515876,27.179730561905735,True
opx,opx_liq,P_kbar,MLP,raw,42,43,1.13,0.13,0.55,3.8857602903924393,12.13435627130947,0.5745021338107815,0.18417650769088473,33.181288621588834,True
opx,opx_liq,P_kbar,MLP,raw,42,44,1.2,0.45,0.95,10.512721741986836,31.390730480981933,0.19220207010974705,-0.5074497954370378,24.853810346031683,True
opx,opx_liq,P_kbar,MLP,raw,42,45,1.18,0.13,0.55,3.788182401421322,12.38657483117402,0.4609574685809047,0.0908258452921402,26.437296821603496,True
opx,opx_liq,P_kbar,MLP,raw,42,46,1.05,0.16999999999999998,0.55,4.84004609196077,12.687148360234234,0.315676670121006,0.1128770529924755,27.0619842879151,True
opx,opx_only,T_C,LightGBM,alr,42,42,1.99,0.13,0.55,1047.4062485434401,1290.5953396003408,-0.08479205216727563,0.12478656521817152,17807.047388440533,True
opx,opx_only,T_C,LightGBM,alr,42,43,2.21,0.13,0.55,1052.139701769802,1283.7090388352522,-0.09411735559329416,0.12014155831802216,18151.44882331861,True
opx,opx_only,T_C,LightGBM,alr,42,44,1.99,0.13,0.55,1049.7115403541059,1285.1196387899158,-0.11867226629925878,0.09904001640326017,18168.315805439932,True
opx,opx_only,T_C,LightGBM,alr,42,45,2.15,0.13,0.55,1047.4693282531266,1289.288598624505,-0.09586386636738217,0.1339305023221443,17969.555908379767,True
opx,opx_only,T_C,LightGBM,alr,42,46,1.78,0.13,0.55,1049.8557388003965,1291.070487500354,-0.10422362355667604,0.13262009040134143,18093.16924889232,True
opx,opx_only,P_kbar,RF,pwlr,42,42,17.52,0.29,0.9099999999999999,10.643999869298176,27.5989068948697,-0.15691177660414488,0.4619697269707711,114.14673963918175,True
opx,opx_only,P_kbar,RF,pwlr,42,43,15.77,0.37,0.9099999999999999,11.998708090318237,27.321586677106836,-0.1379421429136288,0.6290041368090727,115.99543288029385,True
opx,opx_only,P_kbar,RF,pwlr,42,44,15.46,0.29,0.8300000000000001,10.630304041333792,23.536625453466616,-0.10508802922273508,0.6494924414318571,122.09920712610976,True
opx,opx_only,P_kbar,RF,pwlr,42,45,15.86,0.25,0.8300000000000001,9.943469442819081,24.059292114582504,-0.14606453457002447,0.6771000412556529,121.41789737066831,True
opx,opx_only,P_kbar,RF,pwlr,42,46,15.09,0.33,0.79,11.311029051154899,21.573492603051637,-0.08372329932058385,0.635080066157088,124.93009880199384,True
cpx,cpx_liq,T_C,ERT,pwlr,42,42,29.73,0.45,0.75,1187.4962039511483,1308.7794404593235,-0.08026669972010282,-0.07291585233978144,6097.9931941866425,True
cpx,cpx_liq,T_C,ERT,pwlr,42,43,28.21,0.45,0.79,1183.7500938865637,1322.3606946563007,-0.05971588974712545,-0.1700207325745176,5854.1625177850365,True
cpx,cpx_liq,T_C,ERT,pwlr,42,44,32.81,0.45,0.75,1186.06223151368,1309.442775424472,-0.08108558669387159,-0.12026243025971109,6046.885348253514,True
cpx,cpx_liq,T_C,ERT,pwlr,42,45,28.35,0.45,0.9099999999999999,1182.985091161761,1397.0347427579366,-0.05697651168684914,-0.23930742929529203,6037.471934154318,True
cpx,cpx_liq,T_C,ERT,pwlr,42,46,28.6,0.45,0.8300000000000001,1183.7360069900892,1337.9357835492142,-0.08079056331291931,-0.14319484207118627,5836.295601628858,True
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,42,19.24,0.45,0.95,8.338749172935717,33.28968695041161,-0.07448543101711064,0.1778272192317866,70.96056278861472,True
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,43,18.14,0.45,0.95,8.134237836080299,34.7989083930793,-0.04866794048407615,0.257350391327417,71.11082068189958,True
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,44,16.03,0.45,0.95,8.381101833376187,34.418248630975256,-0.05602958246721546,0.18973494346866557,69.78713798729923,True
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,45,12.17,0.45,0.95,8.548614309391493,34.265811241976465,-0.0703691084499841,0.03429464595748086,64.06089584307473,True
cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,46,12.01,0.45,0.95,8.50321529833969,35.48027201730933,-0.0689216411139692,0.26961761502532733,76.18943616430153,True
cpx,cpx_only,T_C,ERT,pwlr,42,42,10.7,0.29,0.55,1135.7791981055307,1241.145289908477,0.06357020193572671,0.4060792235448193,24979.606036282992,True
cpx,cpx_only,T_C,ERT,pwlr,42,43,11.76,0.33,0.5900000000000001,1152.4843415227429,1251.274212656788,0.04872232235830804,0.4436237165300415,24742.11193412056,True
cpx,cpx_only,T_C,ERT,pwlr,42,44,10.22,0.05,0.55,1049.7395225091495,1236.2577044066775,-0.1680094701653948,0.3416875808508859,24288.51649930181,True
cpx,cpx_only,T_C,ERT,pwlr,42,45,10.14,0.29,0.55,1135.3444647313802,1239.635311674886,0.058260735978749076,0.408899523621268,24857.994270028255,True
cpx,cpx_only,T_C,ERT,pwlr,42,46,9.94,0.33,0.5900000000000001,1150.7211149902369,1253.8158557565805,0.038756215811349776,0.48952634172046916,25159.422100115586,True
cpx,cpx_only,P_kbar,MLP,alr,42,42,14.38,0.13,0.95,2.2398932827369658,44.33928353237685,1.6789182095554873,0.2864519746048371,285.70944368664107,True
cpx,cpx_only,P_kbar,MLP,alr,42,43,15.06,0.16999999999999998,0.95,3.667176573128319,45.099900828666904,1.0092540316109126,0.29900843726796006,289.24405172936923,True
cpx,cpx_only,P_kbar,MLP,alr,42,44,15.04,0.13,0.95,2.5744613873579216,45.82399555149102,1.4054042624235872,0.2059648660052838,290.7970308801847,True
cpx,cpx_only,P_kbar,MLP,alr,42,45,13.11,0.13,0.95,2.4165216762252983,45.33938261340249,1.530331930782227,0.11526703061879819,303.2529624868729,True
cpx,cpx_only,P_kbar,MLP,alr,42,46,10.95,0.13,0.95,2.5094499568043225,44.691029358491505,1.6412054556799014,0.31693544246682426,295.66925394348993,True
