method,target,track,feature_set,test_rmse
ridge,T_C,cpx_only,raw,141.55261036482796
two_level,T_C,cpx_only,raw,141.67660822682348
greedy,T_C,cpx_only,raw,142.27395214793796
ridge,T_C,cpx_only,alr,136.72925343811465
two_level,T_C,cpx_only,alr,138.96946994092974
greedy,T_C,cpx_only,alr,136.04019486000237
ridge,T_C,cpx_only,pwlr,135.88615810169392
two_level,T_C,cpx_only,pwlr,128.88196340101865
greedy,T_C,cpx_only,pwlr,129.86279303784724
ridge,T_C,cpx_liq,raw,74.6006079728329
two_level,T_C,cpx_liq,raw,75.72761698654186
greedy,T_C,cpx_liq,raw,74.72922084095411
ridge,T_C,cpx_liq,alr,75.31156605163733
two_level,T_C,cpx_liq,alr,74.96040394226189
greedy,T_C,cpx_liq,alr,75.99010559520774
ridge,T_C,cpx_liq,pwlr,68.36042538109832
two_level,T_C,cpx_liq,pwlr,68.86889239117261
greedy,T_C,cpx_liq,pwlr,69.98169690785697
ridge,P_kbar,cpx_only,raw,14.742048293555525
two_level,P_kbar,cpx_only,raw,14.285077508613965
greedy,P_kbar,cpx_only,raw,14.382205470669998
ridge,P_kbar,cpx_only,alr,20.15426855171842
two_level,P_kbar,cpx_only,alr,19.491890317168824
greedy,P_kbar,cpx_only,alr,18.871331165756448
ridge,P_kbar,cpx_only,pwlr,16.6303471696394
two_level,P_kbar,cpx_only,pwlr,16.523500308685122
greedy,P_kbar,cpx_only,pwlr,14.804313940451102
ridge,P_kbar,cpx_liq,raw,7.404623588791675
two_level,P_kbar,cpx_liq,raw,7.121672224968708
greedy,P_kbar,cpx_liq,raw,7.235203829362162
ridge,P_kbar,cpx_liq,alr,7.385944705138648
two_level,P_kbar,cpx_liq,alr,6.698646946886256
greedy,P_kbar,cpx_liq,alr,7.305506123999128
ridge,P_kbar,cpx_liq,pwlr,6.521954916556333
two_level,P_kbar,cpx_liq,pwlr,6.68461214785127
greedy,P_kbar,cpx_liq,pwlr,6.620618217532456
