model,target,track,feature_set,test_rmse,test_r2,cv_rmse
RF,T_C,cpx_only,raw,144.434696950973,0.48959493315024294,145.32966670063215
ERT,T_C,cpx_only,raw,143.05599220475318,0.49929259334819764,134.3728043398642
XGB,T_C,cpx_only,raw,145.68729119097537,0.4807036802542386,142.86410128512213
GB,T_C,cpx_only,raw,146.36172653028345,0.4758845576395452,141.61584535578498
CatBoost,T_C,cpx_only,raw,139.72230333962128,0.5223570402707229,136.93695381573377
LightGBM,T_C,cpx_only,raw,145.15377327134118,0.4845001211617659,140.82415974467906
ElasticNet,T_C,cpx_only,raw,151.75057974977986,0.4365795244930756,145.7526756419039
MLP,T_C,cpx_only,raw,156.7953323984207,0.39849648686065864,154.620783383268
RF,T_C,cpx_only,alr,144.1644254537965,0.4915033232790956,140.38430252410726
ERT,T_C,cpx_only,alr,133.43828871315387,0.5643548982416884,141.77219158599925
XGB,T_C,cpx_only,alr,142.477055491817,0.5033370425011642,140.2475947959849
GB,T_C,cpx_only,alr,145.95019778247865,0.4788277498040828,140.1002683514195
CatBoost,T_C,cpx_only,alr,138.1527196759428,0.5330280591809897,135.6906715179425
LightGBM,T_C,cpx_only,alr,144.98004825500686,0.48573331863877856,139.41577988635086
ElasticNet,T_C,cpx_only,alr,151.5589753504157,0.43800140623154427,149.94815552856633
MLP,T_C,cpx_only,alr,136.9457514896057,0.5411517971681086,148.81685193722222
RF,T_C,cpx_only,pwlr,138.60494300928272,0.5299659228025007,141.4604140143138
ERT,T_C,cpx_only,pwlr,127.34987708248192,0.6032024625860912,151.71353749066893
XGB,T_C,cpx_only,pwlr,133.831905894774,0.5617809697028939,139.5385666086094
GB,T_C,cpx_only,pwlr,131.59019236799173,0.5763385467887061,135.42038276450185
CatBoost,T_C,cpx_only,pwlr,137.02158378842944,0.5406434915436993,137.00336653016217
LightGBM,T_C,cpx_only,pwlr,132.2532059805331,0.5720585781651895,137.0418215322855
ElasticNet,T_C,cpx_only,pwlr,151.32654929532444,0.43972381107194614,153.43540759895677
MLP,T_C,cpx_only,pwlr,130.8329932011939,0.5812002029296308,168.49563837478942
RF,T_C,cpx_liq,raw,77.85368638432337,0.8025337158098865,84.77975045242802
ERT,T_C,cpx_liq,raw,76.29736767007329,0.8103496272480539,81.02368796332603
XGB,T_C,cpx_liq,raw,74.1795423072363,0.8207319518006537,80.20480416458402
GB,T_C,cpx_liq,raw,75.47126631357939,0.8144342311871682,82.4252668866761
CatBoost,T_C,cpx_liq,raw,76.08411541888674,0.811408296773862,78.1883781149732
LightGBM,T_C,cpx_liq,raw,76.94006309815414,0.8071411078915497,82.50968035736199
ElasticNet,T_C,cpx_liq,raw,93.99018437258833,0.712194165159949,94.61745243876543
MLP,T_C,cpx_liq,raw,107.40087892790257,0.6242056361441732,106.53122312634854
RF,T_C,cpx_liq,alr,78.92814350635837,0.7970456487519745,83.06432693811435
ERT,T_C,cpx_liq,alr,76.42866694187045,0.809696331269825,82.66597262960745
XGB,T_C,cpx_liq,alr,75.58243472221426,0.8138871555803617,78.59266551727633
GB,T_C,cpx_liq,alr,75.57558883291043,0.8139208684459065,81.72204144436752
CatBoost,T_C,cpx_liq,alr,76.89399322371258,0.8073719973535072,77.77345347894995
LightGBM,T_C,cpx_liq,alr,78.40124179444294,0.7997463344638448,79.39134061378923
ElasticNet,T_C,cpx_liq,alr,89.66595115175612,0.738067305365084,97.32245222581484
MLP,T_C,cpx_liq,alr,97.06028009189987,0.6930853127864045,102.85089405158134
RF,T_C,cpx_liq,pwlr,75.57012053165393,0.8139477951282511,81.43256627116186
ERT,T_C,cpx_liq,pwlr,72.50372208958599,0.8287402932807519,77.3643025919236
XGB,T_C,cpx_liq,pwlr,75.36093459310659,0.8149763931563158,79.58499088898948
GB,T_C,cpx_liq,pwlr,75.66579252945712,0.8134764116388981,82.7752489824581
CatBoost,T_C,cpx_liq,pwlr,71.57088937329678,0.8331187979546553,77.95734770356853
LightGBM,T_C,cpx_liq,pwlr,74.18043798075021,0.8207276226660424,81.8343114157258
ElasticNet,T_C,cpx_liq,pwlr,91.8709006268369,0.7250266915678937,96.35494628656409
MLP,T_C,cpx_liq,pwlr,132.13622316389927,0.43117540033218804,107.0533058359506
RF,P_kbar,cpx_only,raw,14.316004275492874,0.48470249772794205,16.94051334796351
ERT,P_kbar,cpx_only,raw,14.256242865455112,0.4889956830153527,17.58041642510467
XGB,P_kbar,cpx_only,raw,14.932636987891598,0.43935569676220787,17.136516641783988
GB,P_kbar,cpx_only,raw,14.20756348036959,0.49247947694563676,16.430979885570967
CatBoost,P_kbar,cpx_only,raw,14.332758458989833,0.4834956748436744,16.748457136227348
LightGBM,P_kbar,cpx_only,raw,14.392326742633339,0.4791934727142304,16.786935519613323
ElasticNet,P_kbar,cpx_only,raw,16.102325975631732,0.3480840195633127,16.684876994466162
MLP,P_kbar,cpx_only,raw,15.79354053052118,0.37284715453612616,16.636881810601388
RF,P_kbar,cpx_only,alr,22.462214439379988,-0.26858489663871987,16.571082681845184
ERT,P_kbar,cpx_only,alr,14.575046782831858,0.46588556746413523,17.26941592375744
XGB,P_kbar,cpx_only,alr,25.59887886964721,-0.6476170943686326,15.97307987873439
GB,P_kbar,cpx_only,alr,20.248269063830325,-0.03083749030033056,17.108455000999978
CatBoost,P_kbar,cpx_only,alr,15.813644258460362,0.37124952230910213,16.646456190957853
LightGBM,P_kbar,cpx_only,alr,18.060771849728045,0.17986185515657038,16.130913170505966
ElasticNet,P_kbar,cpx_only,alr,15.984798370955643,0.3575656949051257,17.001076150907128
MLP,P_kbar,cpx_only,alr,13.46565902091653,0.5440999660358039,17.083897712805744
RF,P_kbar,cpx_only,pwlr,19.365995085893093,0.05703834412254338,15.9420375869402
