citation,sample,tectonic_setting,location,T_C_pre,T_C_post,T_C_correction_form,P_kbar_pre,P_kbar_post,P_kbar_correction_form,regime_pre_from_P_pre,regime_post_from_P_post
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,1229.4163787768991,1229.4163787768991,none,15.062481974650135,18.416190574420096,A,lithospheric_mantle,lithospheric_mantle
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,1234.0370038862573,1234.0370038862573,none,15.569082556567352,18.519716931678193,A,lithospheric_mantle,lithospheric_mantle
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,1277.7446511156797,1277.7446511156797,none,33.45638243795427,42.57800870883466,A,deeper_mantle,deeper_mantle
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,1307.9495444350182,1307.9495444350182,none,33.50184804792208,42.58894585981901,A,deeper_mantle,deeper_mantle
[67] CLAGUE D. A. (1988),samp. 27-4AB-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,1287.220035477276,1287.220035477276,none,27.464146475666464,20.950532609457568,A,lithospheric_mantle,lithospheric_mantle
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,1271.0021418289896,1271.0021418289896,none,17.863942051444596,18.98868292264623,A,lithospheric_mantle,lithospheric_mantle
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,1277.944255271892,1277.944255271892,none,18.96775208841093,19.21425201259789,A,lithospheric_mantle,lithospheric_mantle
[88] FODOR R. V. (1997),samp. C20,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,1078.886446754252,1078.886446754252,none,6.422475008149848,9.17610206343938,A,deep_crustal_MASH,deep_crustal_MASH
[88] FODOR R. V. (1997),samp. C77,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,1066.8555775598186,1066.8555775598186,none,5.694142569262461,9.098126716185703,A,deep_crustal_MASH,deep_crustal_MASH
[88] FODOR R. V. (1997),samp. C12,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,1106.5614840659014,1106.5614840659014,none,14.354399952295422,10.025294779412146,A,deep_crustal_MASH,deep_crustal_MASH
[88] FODOR R. V. (1997),samp. C21,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,1094.5985984138654,1094.5985984138654,none,5.618501336142663,9.090028557838917,A,deep_crustal_MASH,deep_crustal_MASH
[88] FODOR R. V. (1997),samp. C75G,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,1089.0110971210393,1089.0110971210393,none,4.866470601962629,1.268945243587626,A,shallow_crustal,shallow_crustal
