method,target,track,feature_set,test_rmse
ridge,T_C,opx_only,raw,154.25386417634965
two_level,T_C,opx_only,raw,151.21335737067236
greedy,T_C,opx_only,raw,152.70142725959613
ridge,T_C,opx_only,alr,149.57729630616842
two_level,T_C,opx_only,alr,159.86246709887718
greedy,T_C,opx_only,alr,152.94247923277302
ridge,T_C,opx_only,pwlr,154.5256210639195
two_level,T_C,opx_only,pwlr,155.07274655128566
greedy,T_C,opx_only,pwlr,154.48003764712598
ridge,T_C,opx_liq,raw,78.15592962616073
two_level,T_C,opx_liq,raw,79.34193934475178
greedy,T_C,opx_liq,raw,78.025073536639
ridge,T_C,opx_liq,alr,87.97176260575982
two_level,T_C,opx_liq,alr,86.84596275655296
greedy,T_C,opx_liq,alr,86.44571313841107
ridge,T_C,opx_liq,pwlr,84.14971650834822
two_level,T_C,opx_liq,pwlr,83.25138723262816
greedy,T_C,opx_liq,pwlr,83.01841178006373
ridge,P_kbar,opx_only,raw,11.735618568805892
two_level,P_kbar,opx_only,raw,11.858185054313406
greedy,P_kbar,opx_only,raw,11.856485457384338
ridge,P_kbar,opx_only,alr,11.782395922915459
two_level,P_kbar,opx_only,alr,11.413159118782149
greedy,P_kbar,opx_only,alr,11.546859269485743
ridge,P_kbar,opx_only,pwlr,10.178244068792008
two_level,P_kbar,opx_only,pwlr,10.583582829430878
greedy,P_kbar,opx_only,pwlr,10.211027425067185
ridge,P_kbar,opx_liq,raw,3.890039267595015
two_level,P_kbar,opx_liq,raw,3.9374833982310933
greedy,P_kbar,opx_liq,raw,3.8254548426441537
ridge,P_kbar,opx_liq,alr,4.056487264075174
two_level,P_kbar,opx_liq,alr,4.512034328043101
greedy,P_kbar,opx_liq,alr,4.648435143840157
ridge,P_kbar,opx_liq,pwlr,4.210741592705984
two_level,P_kbar,opx_liq,pwlr,4.533584601045804
greedy,P_kbar,opx_liq,pwlr,4.918893919666225
