model,target,track,feature_set,regime,n,pre_rmse,pre_rmse_lo,pre_rmse_hi,post_rmse,post_rmse_lo,post_rmse_hi,improvement
ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997,30.401950367608293,111.63580323974384,76.91907589844185,33.26969693824646,107.70023139949565,1.5452331525581258
ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001,78.46459083842696,130.08282764859973,61.54209075358005,52.23167562340481,70.11252261613589,44.45432224956996
ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437,79.13460031806876,108.67377307237572,93.57682751076115,79.003153428503,108.80476372885329,0.1214666511825584
ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492,27.961208295114748,43.55859280332753,54.00663281282519,47.25761299871903,62.59991591914538,-18.67713191544027
ElasticNet,T_C,opx_liq,raw,ALL,174,77.06189003628756,61.81278203941751,92.72640736069742,77.16895978642394,63.23211324049606,91.64479002062379,-0.10706975013637532
MLP,P_kbar,opx_liq,raw,deep_crustal_MASH,61,2.0789452576826175,1.6723386547073276,2.5152363208397936,1.9532534354856927,1.579339487314882,2.294879721065823,0.12569182219692476
MLP,P_kbar,opx_liq,raw,deeper_mantle,8,4.71503282719048,3.61633794323237,5.9544461126890225,7.865753836698824,4.025586924762189,10.745041758944126,-3.150721009508344
MLP,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.379807870130083,4.008224660131901,6.846437227323094,2.635698757775873,1.994987509125866,3.171277176150105,2.7441091123542103
MLP,P_kbar,opx_liq,raw,shallow_crustal,47,2.9646551785365847,1.4845694336824686,3.9572242729919176,0.7975907952116822,0.6710590002417205,0.925169867309591,2.1670643833249024
MLP,P_kbar,opx_liq,raw,ALL,174,3.8156075924116495,3.0776996777046275,4.537851113389096,2.582553719835249,2.0282657040572363,3.2013760771692628,1.2330538725764004
ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006,2.6102573753446427,3.7098065304492684,1.7325265387414148,1.361924598830687,2.0632121667299916,1.4207200436955911
ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543,15.214086160931382,21.137325958506896,9.585344071836369,0.6473963771656682,13.54376869308995,8.77424090992906
ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886,4.208357136457309,6.941106155898334,3.362210477385534,2.5680559471719966,4.121228401856064,2.197709756264352
ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017,2.2654555887698433,3.0605182323960114,1.0154106172745312,1.0080106526823833,1.0226259554233719,1.6474956480952705
ElasticNet,P_kbar,opx_liq,raw,ALL,174,5.585970379506894,4.542919536871594,6.73618619707152,3.0534035159603987,2.230832253683594,3.8312105157855108,2.5325668635464953
