regime,T_obs,T_pred,T_residual,P_obs,P_pred,P_residual
deep_crustal_MASH,1100.0,1137.9155664631007,37.91556646310073,5.0199997425079,8.797581053283292,3.7775813107753917
deep_crustal_MASH,1100.0,1133.3463734078682,33.346373407868214,5.0199997425079,9.620565597382706,4.600565854874806
deep_crustal_MASH,1130.0,1169.23197130076,39.23197130076005,5.0169998407364,8.472235384205822,3.4552355434694224
deep_crustal_MASH,1220.0,1274.013930695536,54.01393069553592,10.0,12.801155710911168,2.8011557109111678
lithospheric_mantle,1160.0,1261.068946292253,101.06894629225303,15.0,10.34099132163452,-4.659008678365479
lithospheric_mantle,1180.0,1293.1357910795884,113.13579107958844,17.5,12.37934231243019,-5.12065768756981
deeper_mantle,1750.0,1614.1332622319223,-135.86673776807766,46.9999990463255,50.8992214060547,3.899222359729201
deep_crustal_MASH,1300.0,1311.6747375401137,11.67473754011371,10.0,10.140893903581242,0.14089390358124199
lithospheric_mantle,1200.0,1278.5115960779954,78.51159607799536,17.5,14.58586863829028,-2.9141313617097193
lithospheric_mantle,1453.125,1615.6426457630268,162.51764576302685,27.75024994039535,46.443127557680526,18.692877617285177
deep_crustal_MASH,1210.0,1244.2217374827756,34.22173748277555,12.5,12.172609102486891,-0.32739089751310857
lithospheric_mantle,1065.0,1320.0169339420577,255.01693394205768,15.0,9.531696915432715,-5.468303084567285
deeper_mantle,1775.0,1637.2684236170876,-137.7315763829124,50.0,42.49517369242098,-7.504826307579023
deep_crustal_MASH,1230.0,1320.4472288648863,90.44722886488626,12.999999523163,15.091314643616633,2.0913151204536327
deep_crustal_MASH,1325.0,1322.7353833730224,-2.264616626977613,10.0,10.33558054897327,0.3355805489732706
lithospheric_mantle,1240.0,1314.3789164537977,74.37891645379773,15.0,16.05581966080627,1.0558196608062715
deeper_mantle,1830.0,1673.1360992529228,-156.8639007470772,50.0,43.95162098708181,-6.04837901291819
lithospheric_mantle,1260.0,1317.1454937188064,57.14549371880639,15.0,13.856140511307503,-1.143859488692497
deep_crustal_MASH,1325.0,1346.224276080001,21.22427608000089,10.0,10.681076150594,0.6810761505940004
lithospheric_mantle,1240.0,1270.594824443863,30.59482444386299,17.5,16.38647726124929,-1.11352273875071
deep_crustal_MASH,987.5,1339.3259014409946,351.8259014409946,10.0,9.627072574723044,-0.37292742527695566
deep_crustal_MASH,970.0,1322.8440474335223,352.8440474335223,10.0,9.849086424648727,-0.15091357535127337
deep_crustal_MASH,1045.0,1322.351190268562,277.35119026856205,10.0,10.70012860361741,0.7001286036174097
deep_crustal_MASH,1260.0,1245.2000384164573,-14.799961583542654,12.000000476837,12.705202502476473,0.7052020256394727
lithospheric_mantle,1275.0,1069.2253192878302,-205.7746807121698,22.999999523163,9.137711390472978,-13.862288132690024
lithospheric_mantle,1085.0,1280.3626712917492,195.36267129174917,15.0,9.907278523732957,-5.092721476267043
lithospheric_mantle,1200.0,1345.031686998197,145.03168699819707,18.999999761580998,15.478589755209539,-3.5214100063714593
shallow_crustal,1200.0,1150.8688645126524,-49.13113548734759,0.00099999997473788,3.867199356262789,3.866199356288051
shallow_crustal,1020.0,1025.4778780848376,5.4778780848375845,2.0000000298022997,1.7924227116011588,-0.2075773182011409
shallow_crustal,1160.0,1131.7911826831703,-28.20881731682971,0.00099999997473788,2.274583595727747,2.273583595753009
shallow_crustal,980.0,1041.959877456158,61.95987745615798,2.0000000298022997,4.898477988378798,2.8984779585764984
shallow_crustal,940.0,994.3222755198885,54.322275519888535,2.0000000298022997,3.5879766276124068,1.587976597810107
shallow_crustal,1115.0,1070.7406746502024,-44.259325349797564,0.00099999997473788,1.5763574306424892,1.5753574306677514
shallow_crustal,1100.0,1082.0505121809238,-17.94948781907624,0.00099999997473788,3.444747023288714,3.443747023313976
shallow_crustal,1100.0,1077.6473318362441,-22.35266816375588,0.00099999997473788,1.5354189292224394,1.5344189292477015
shallow_crustal,1100.0,1067.8066421822002,-32.19335781779978,0.00099999997473788,1.5673882567953414,1.5663882568206036
