strategy,model,target,track,feature_set,n,n_folds,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi
LOSO,ElasticNet,T_C,opx_liq,raw,600,93,69.40011990166775,62.50702732041328,76.34809817665958,48.832400516254424,45.16673240957737,52.64410502058722
ClusterKFold,ElasticNet,T_C,opx_liq,raw,600,5,68.64416872416422,62.02525219326611,75.79177109454618,48.191576081055196,44.564518479495746,52.02375825560555
TargetBinKFold,ElasticNet,T_C,opx_liq,raw,600,4,70.94972648787247,64.39345539694614,77.81705396726448,50.12914692878591,46.432055049451755,54.215466146549794
LeaveOneRegionOut,ElasticNet,T_C,opx_liq,raw,600,7,69.8972897075886,63.59121531375166,76.64589336533142,48.330055132780736,44.37732302791701,52.25726792235495
LOSO,MLP,P_kbar,opx_liq,raw,600,93,4.588279279330877,4.154146915100857,5.063009280672527,3.2095498279373134,2.9662605823997517,3.4836559992746987
ClusterKFold,MLP,P_kbar,opx_liq,raw,600,5,7.285965854149117,6.648930786161352,7.869533443523261,5.462942035492841,5.060943580615513,5.825439734709611
TargetBinKFold,MLP,P_kbar,opx_liq,raw,600,4,6.506258668736549,6.114335732217006,6.944133625163218,5.211407557923712,4.909735180505324,5.534681186193067
LeaveOneRegionOut,MLP,P_kbar,opx_liq,raw,600,7,5.881353318253631,5.2606194972080935,6.503013430907713,4.030976891849046,3.6954424740438667,4.361923417425855
LOSO,ElasticNet,P_kbar,opx_liq,raw,600,93,5.397400725704888,4.899090579747134,5.90433666589247,3.8381076438912713,3.5484021970041457,4.141803464352585
ClusterKFold,ElasticNet,P_kbar,opx_liq,raw,600,5,7.441489713691798,6.884903462027765,7.966217984707337,5.839656283608832,5.461738652265707,6.180358287121004
TargetBinKFold,ElasticNet,P_kbar,opx_liq,raw,600,4,7.106289997427971,6.533458648625509,7.644432775144926,5.302945753055685,4.935489174822402,5.668801195377738
LeaveOneRegionOut,ElasticNet,P_kbar,opx_liq,raw,600,7,6.171445547962453,5.56477553711408,6.79666377954474,4.328534619346729,3.9637633367702088,4.690877893110836
