cell,model,target,feature_set,feature,mean_abs_shap
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_SiO2,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_TiO2,5.723425440343197
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_Al2O3,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_Cr2O3,4.8497376268495955
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_FeO_total,21.128049107090693
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_MnO,2.466313712983319
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_MgO,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_CaO,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_Na2O,11.076608629005118
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Mg_num,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Al_IV,5.431151574164071
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Al_VI,20.20106071264904
ElasticNet/raw/T_C,ElasticNet,T_C,raw,En_frac,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Fs_frac,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Wo_frac,14.065067196029753
ElasticNet/raw/T_C,ElasticNet,T_C,raw,MgTs,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_SiO2,1.8192118063713607
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_TiO2,2.130493294325905
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_Al2O3,8.494985415786447
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_FeO,23.992210481399272
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_MgO,64.183211861374
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_CaO,0.0
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_Na2O,6.263793575822874
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_K2O,7.633372658685983
ElasticNet/raw/T_C,ElasticNet,T_C,raw,liq_Mg_num,0.0
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_SiO2,0.5181041269716646
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_TiO2,1.7153889454285751
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_Al2O3,0.0
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_Cr2O3,0.4230518891193813
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_FeO_total,0.0
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_MnO,0.12200290568428762
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_MgO,0.17409834958535028
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_CaO,11.394061970371348
