pipeline,target,track,best_base,base_fs,base_rmse,best_ens,ens_fs,ens_rmse,ensemble_gain
cpx,P_kbar,cpx_liq,LightGBM,pwlr,6.536933057636693,ridge,pwlr,6.521954916556333,0.014978141080359997
cpx,P_kbar,cpx_only,MLP,alr,13.46565902091653,two_level,raw,14.285077508613965,-0.8194184876974351
opx,P_kbar,opx_liq,MLP,raw,3.8156075924116495,greedy,raw,3.8254548426441537,-0.009847250232504212
opx,P_kbar,opx_only,XGB,pwlr,10.201704063434224,ridge,pwlr,10.178244068792008,0.023459994642216486
twopx,P_kbar,twopx,XGB,alr,4.262968061132832,greedy,pwlr,4.513915817286822,-0.2509477561539901
universal,P_kbar,universal,MLP,universal_raw,16.623944645460554,two_level,universal_raw,16.36275171515301,0.2611929303075442
cpx,T_C,cpx_liq,CatBoost,pwlr,71.57088937329678,ridge,pwlr,68.36042538109832,3.2104639921984557
cpx,T_C,cpx_only,ERT,pwlr,127.34987708248192,two_level,pwlr,128.88196340101865,-1.5320863185367273
opx,T_C,opx_liq,ElasticNet,raw,77.06189003628756,greedy,raw,78.025073536639,-0.963183500351434
opx,T_C,opx_only,LightGBM,alr,147.98216692463086,ridge,alr,149.57729630616842,-1.5951293815375607
twopx,T_C,twopx,ElasticNet,raw,79.53579684431216,greedy,pwlr,81.04040551446074,-1.5046086701485848
universal,T_C,universal,RF,universal_raw,143.70943987497077,greedy,universal_raw,147.07295628368507,-3.363516408714304
