method,target,track,feature_set,test_rmse
ridge,T_C,twopx,raw,102.58052486387817
two_level,T_C,twopx,raw,98.96081487771387
greedy,T_C,twopx,raw,92.78921535524704
ridge,T_C,twopx,alr,88.61165621329418
two_level,T_C,twopx,alr,91.19063747196968
greedy,T_C,twopx,alr,89.200373710752
ridge,T_C,twopx,pwlr,93.21415879417286
two_level,T_C,twopx,pwlr,85.74053563350417
greedy,T_C,twopx,pwlr,81.04040551446074
ridge,T_C,twopx,twopx_components,97.62381734245201
two_level,T_C,twopx,twopx_components,96.87509719150394
greedy,T_C,twopx,twopx_components,93.81355100909603
ridge,P_kbar,twopx,raw,5.145549074652774
two_level,P_kbar,twopx,raw,9.21201807399356
greedy,P_kbar,twopx,raw,4.573541498673976
ridge,P_kbar,twopx,alr,5.239755992901647
two_level,P_kbar,twopx,alr,5.753639629023698
greedy,P_kbar,twopx,alr,4.596394046282718
ridge,P_kbar,twopx,pwlr,4.9574929487060935
two_level,P_kbar,twopx,pwlr,4.558814125192857
greedy,P_kbar,twopx,pwlr,4.513915817286822
ridge,P_kbar,twopx,twopx_components,5.65366462106198
two_level,P_kbar,twopx,twopx_components,5.1868062152145
greedy,P_kbar,twopx,twopx_components,5.4198304974733205
