pipeline,model,target,track,feature_set,seed,test_rmse
twopx,RF,T_C,twopx,twopx_components,42,93.92168861093738
twopx,RF,T_C,twopx,twopx_components,43,94.37083278241886
twopx,RF,T_C,twopx,twopx_components,44,93.6168356271854
twopx,RF,T_C,twopx,twopx_components,45,93.68478817890806
twopx,RF,T_C,twopx,twopx_components,46,93.58652132166871
twopx,RF,T_C,twopx,twopx_components,47,94.3830926736294
twopx,RF,T_C,twopx,twopx_components,48,94.07772776568683
twopx,RF,T_C,twopx,twopx_components,49,93.92854973288682
twopx,RF,T_C,twopx,twopx_components,50,93.30060449583671
twopx,RF,T_C,twopx,twopx_components,51,94.50712121554005
twopx,RF,T_C,twopx,twopx_components,52,94.01296129579717
twopx,RF,T_C,twopx,twopx_components,53,92.85458540013238
twopx,RF,T_C,twopx,twopx_components,54,92.83234015291625
twopx,RF,T_C,twopx,twopx_components,55,93.38743804848747
twopx,RF,T_C,twopx,twopx_components,56,92.82523347632349
twopx,RF,T_C,twopx,twopx_components,57,91.85505192779736
twopx,RF,T_C,twopx,twopx_components,58,93.945465251706
twopx,RF,T_C,twopx,twopx_components,59,93.67310051864843
twopx,RF,T_C,twopx,twopx_components,60,93.9792483471163
twopx,RF,T_C,twopx,twopx_components,61,93.69809191397744
twopx,RF,T_C,twopx,raw,42,87.8772903589314
twopx,RF,T_C,twopx,raw,43,88.76190172588973
twopx,RF,T_C,twopx,raw,44,87.8576331242756
twopx,RF,T_C,twopx,raw,45,88.22562112073844
twopx,RF,T_C,twopx,raw,46,88.15573186168366
twopx,RF,T_C,twopx,raw,47,88.37234034950367
twopx,RF,T_C,twopx,raw,48,88.41362184437655
twopx,RF,T_C,twopx,raw,49,87.79005162983766
twopx,RF,T_C,twopx,raw,50,86.24529764017977
twopx,RF,T_C,twopx,raw,51,87.526881046533
twopx,RF,T_C,twopx,raw,52,88.70328577419866
twopx,RF,T_C,twopx,raw,53,88.8280912640721
