model,target,track,feature_set,test_rmse,test_r2,cv_rmse
RF,T_C,twopx,raw,87.87729035893148,0.34740325647414905,71.44366349833733
ERT,T_C,twopx,raw,87.79920520852399,0.3485624973822802,73.27651477363736
XGB,T_C,twopx,raw,102.52642727692607,0.11169269102957413,66.86259100041254
GB,T_C,twopx,raw,105.73267634979797,0.05526492726745513,69.6363947297424
CatBoost,T_C,twopx,raw,92.10369336432936,0.2831212956899283,68.98544297899748
LightGBM,T_C,twopx,raw,105.99168536583583,0.05063070027892447,67.4182093773769
ElasticNet,T_C,twopx,raw,79.53579684431216,0.46541488659641217,70.74185564482987
MLP,T_C,twopx,raw,310.07280589213605,-7.12491724690007,214.7777974356909
RF,T_C,twopx,alr,90.58100903799541,0.30662864426442027,70.14488922204922
ERT,T_C,twopx,alr,90.78035195231354,0.30357346176824274,72.31251888786277
XGB,T_C,twopx,alr,110.35871793892606,-0.029212094097858188,69.56982844962033
GB,T_C,twopx,alr,111.62597129832226,-0.052984769488936045,72.06716139317636
CatBoost,T_C,twopx,alr,85.98010044608505,0.3752770162136606,69.16975521608477
LightGBM,T_C,twopx,alr,106.88446517273549,0.034570056311609476,70.84046075465048
ElasticNet,T_C,twopx,alr,79.72635175235887,0.4628502590806749,71.9158859195104
MLP,T_C,twopx,alr,264.360984996042,-4.905903010830839,219.3455956529782
RF,T_C,twopx,pwlr,84.72663576875328,0.393359344385076,76.6686935756933
ERT,T_C,twopx,pwlr,88.32872706429669,0.34068109112291345,70.73897448246021
XGB,T_C,twopx,pwlr,92.91590385746935,0.27042205030874755,78.34248624283505
GB,T_C,twopx,pwlr,89.41468640733983,0.32436941197540037,81.58366764779119
CatBoost,T_C,twopx,pwlr,82.69170392960639,0.4221495313634217,72.3982287354777
LightGBM,T_C,twopx,pwlr,97.92860251619219,0.18957897084339836,77.10156868417035
ElasticNet,T_C,twopx,pwlr,85.31248810954717,0.38494096263470856,73.87323407021078
MLP,T_C,twopx,pwlr,444.0653866162669,-15.664236987974839,315.5567245021496
RF,T_C,twopx,twopx_components,93.92168861093748,0.25454167002357253,77.95854728915255
ERT,T_C,twopx,twopx_components,99.51413878363859,0.1631238992937114,71.9706223045197
XGB,T_C,twopx,twopx_components,95.9381901104613,0.22218801605965866,69.9031738126178
GB,T_C,twopx,twopx_components,99.19896028466412,0.1684165674754844,71.44428230888177
CatBoost,T_C,twopx,twopx_components,94.8954804709775,0.2390035235981116,71.7522528440643
LightGBM,T_C,twopx,twopx_components,98.7100673311632,0.17659313392515408,71.07993933042054
ElasticNet,T_C,twopx,twopx_components,110.95589284701295,-0.04038080952236611,70.80778394719944
MLP,T_C,twopx,twopx_components,409.9449359583043,-13.201775389215598,313.62375450177393
RF,P_kbar,twopx,raw,4.5879607770221735,0.34013555999020706,4.847603234211221
ERT,P_kbar,twopx,raw,4.4798654690482165,0.3708629282301027,4.832959843742787
XGB,P_kbar,twopx,raw,4.279930136844735,0.4257662793959208,4.555184584704518
GB,P_kbar,twopx,raw,4.521411256934363,0.35913972092063495,4.554613469026034
CatBoost,P_kbar,twopx,raw,4.668808985165133,0.3166746316486091,4.560439946608843
LightGBM,P_kbar,twopx,raw,4.6897166156909975,0.3105408603136549,4.52913526336591
ElasticNet,P_kbar,twopx,raw,4.778917845463868,0.28406357076689115,6.142276814441235
MLP,P_kbar,twopx,raw,5.237424453346497,0.14009420587253996,5.112552032859997
RF,P_kbar,twopx,alr,4.580604807636983,0.34224981145969624,4.908838179541761
ERT,P_kbar,twopx,alr,4.670397099868709,0.31620968067900135,5.066032850116316
XGB,P_kbar,twopx,alr,4.262968061132832,0.430308827767271,4.677735035419969
GB,P_kbar,twopx,alr,4.60791567995762,0.33438304075152214,4.718952736632702
CatBoost,P_kbar,twopx,alr,4.911716420350418,0.2437212433528254,4.695986404413359
LightGBM,P_kbar,twopx,alr,4.587823650473292,0.3401750039111836,4.581525827865147
ElasticNet,P_kbar,twopx,alr,4.868615116820685,0.25693600438169917,6.194250056464291
MLP,P_kbar,twopx,alr,5.923539578263637,-0.0999626058491514,5.415111023244557
RF,P_kbar,twopx,pwlr,4.808723723839126,0.275105199714998,5.285325002891086
ERT,P_kbar,twopx,pwlr,4.406395173301417,0.3913295501783286,4.81021693334461
XGB,P_kbar,twopx,pwlr,4.683914383154267,0.3122458364914119,5.061971178625494
GB,P_kbar,twopx,pwlr,4.599867880724804,0.3367060319688243,4.978295198233676
CatBoost,P_kbar,twopx,pwlr,4.4071080246399905,0.3911325970569788,4.787405407470394
LightGBM,P_kbar,twopx,pwlr,4.584402255258671,0.3411587733304795,4.780027090952548
ElasticNet,P_kbar,twopx,pwlr,5.580191717705463,0.023856711875519077,5.999207079824423
MLP,P_kbar,twopx,pwlr,7.714806679684145,-0.8658014565275187,5.494098681104279
RF,P_kbar,twopx,twopx_components,5.221717840627274,0.14524404827747628,5.148452649292696
ERT,P_kbar,twopx,twopx_components,5.544428295271923,0.036328812045625325,5.464908011812132
XGB,P_kbar,twopx,twopx_components,5.540213534981055,0.03779338117754949,5.045608916315971
GB,P_kbar,twopx,twopx_components,5.253778233545142,0.13471573568115514,4.754277188032395
CatBoost,P_kbar,twopx,twopx_components,5.624734082941897,0.008210918453346872,4.9755712624961355
LightGBM,P_kbar,twopx,twopx_components,5.4221031800130906,0.07838212887710183,4.629356441873554
ElasticNet,P_kbar,twopx,twopx_components,5.749398553037476,-0.0362395472896786,6.267159667289659
MLP,P_kbar,twopx,twopx_components,5.6066170418632,0.014589654126836105,5.454235010954346
