pipeline,model,target,track,feature_set,seed,test_rmse
universal,RF,T_C,universal,universal_raw,42,143.70943987497077
universal,RF,T_C,universal,universal_raw,43,146.33161157486975
universal,RF,T_C,universal,universal_raw,44,146.3351731501569
universal,RF,T_C,universal,universal_raw,45,145.50144229433744
universal,RF,T_C,universal,universal_raw,46,145.49781481363232
universal,RF,T_C,universal,universal_raw,47,145.37582914687485
universal,RF,T_C,universal,universal_raw,48,144.1077957865245
universal,RF,T_C,universal,universal_raw,49,145.96610788218607
universal,RF,T_C,universal,universal_raw,50,145.86459040584327
universal,RF,T_C,universal,universal_raw,51,145.9921349280236
universal,RF,T_C,universal,universal_raw,52,146.4296271596349
universal,RF,T_C,universal,universal_raw,53,145.10653675440938
universal,RF,T_C,universal,universal_raw,54,145.79530553714042
universal,RF,T_C,universal,universal_raw,55,145.47958836023167
universal,RF,T_C,universal,universal_raw,56,146.51839967042787
universal,RF,T_C,universal,universal_raw,57,145.49947365893328
universal,RF,T_C,universal,universal_raw,58,144.98735071406125
universal,RF,T_C,universal,universal_raw,59,144.5152130648011
universal,RF,T_C,universal,universal_raw,60,145.51969451460724
universal,RF,T_C,universal,universal_raw,61,145.8234477554298
universal,RF,P_kbar,universal,universal_raw,42,18.21770058418554
universal,RF,P_kbar,universal,universal_raw,43,18.27279186180616
universal,RF,P_kbar,universal,universal_raw,44,18.165892210082962
universal,RF,P_kbar,universal,universal_raw,45,18.259359338591576
universal,RF,P_kbar,universal,universal_raw,46,18.077776229996715
universal,RF,P_kbar,universal,universal_raw,47,18.195560286498857
universal,RF,P_kbar,universal,universal_raw,48,18.16370985293881
universal,RF,P_kbar,universal,universal_raw,49,18.14095194727155
universal,RF,P_kbar,universal,universal_raw,50,18.26129060667653
universal,RF,P_kbar,universal,universal_raw,51,18.252497742862474
universal,RF,P_kbar,universal,universal_raw,52,18.17621370955347
universal,RF,P_kbar,universal,universal_raw,53,18.125091164820738
universal,RF,P_kbar,universal,universal_raw,54,18.091322967104183
universal,RF,P_kbar,universal,universal_raw,55,18.286250321127184
universal,RF,P_kbar,universal,universal_raw,56,18.17831901240049
universal,RF,P_kbar,universal,universal_raw,57,18.125518213514056
universal,RF,P_kbar,universal,universal_raw,58,18.063645894657828
universal,RF,P_kbar,universal,universal_raw,59,18.219587082683763
universal,RF,P_kbar,universal,universal_raw,60,18.275640904848263
universal,RF,P_kbar,universal,universal_raw,61,18.209027552106217
universal,ERT,T_C,universal,universal_raw,42,146.47941328272222
universal,ERT,T_C,universal,universal_raw,43,145.65663209058766
universal,ERT,T_C,universal,universal_raw,44,145.57328489704452
universal,ERT,T_C,universal,universal_raw,45,145.62694362449798
universal,ERT,T_C,universal,universal_raw,46,145.15751850869643
universal,ERT,T_C,universal,universal_raw,47,146.70136948282536
universal,ERT,T_C,universal,universal_raw,48,145.5008010095272
universal,ERT,T_C,universal,universal_raw,49,145.9118012242999
universal,ERT,T_C,universal,universal_raw,50,143.42820351957025
universal,ERT,T_C,universal,universal_raw,51,147.03876439606952
universal,ERT,T_C,universal,universal_raw,52,146.13329243068392
universal,ERT,T_C,universal,universal_raw,53,145.4200286730517
universal,ERT,T_C,universal,universal_raw,54,145.2132700073361
universal,ERT,T_C,universal,universal_raw,55,145.50185725114628
universal,ERT,T_C,universal,universal_raw,56,145.66635789705066
universal,ERT,T_C,universal,universal_raw,57,147.0456529423101
universal,ERT,T_C,universal,universal_raw,58,145.31265917442963
universal,ERT,T_C,universal,universal_raw,59,147.13147577071317
universal,ERT,T_C,universal,universal_raw,60,146.66981775698414
universal,ERT,T_C,universal,universal_raw,61,146.1193129306779
universal,ERT,P_kbar,universal,universal_raw,42,17.484084756675266
universal,ERT,P_kbar,universal,universal_raw,43,17.298975741146176
universal,ERT,P_kbar,universal,universal_raw,44,17.59015188058058
universal,ERT,P_kbar,universal,universal_raw,45,17.36312114260787
universal,ERT,P_kbar,universal,universal_raw,46,17.396791159067376
universal,ERT,P_kbar,universal,universal_raw,47,17.68426814898223
universal,ERT,P_kbar,universal,universal_raw,48,17.288852790795698
universal,ERT,P_kbar,universal,universal_raw,49,17.62920592531974
universal,ERT,P_kbar,universal,universal_raw,50,17.622633486748736
universal,ERT,P_kbar,universal,universal_raw,51,17.50152485410254
universal,ERT,P_kbar,universal,universal_raw,52,17.520819267530378
universal,ERT,P_kbar,universal,universal_raw,53,17.36122249430924
universal,ERT,P_kbar,universal,universal_raw,54,17.44995362889914
universal,ERT,P_kbar,universal,universal_raw,55,17.27742361904944
universal,ERT,P_kbar,universal,universal_raw,56,17.342979668836637
universal,ERT,P_kbar,universal,universal_raw,57,17.491419882569925
universal,ERT,P_kbar,universal,universal_raw,58,17.54405631245484
universal,ERT,P_kbar,universal,universal_raw,59,17.48603174757238
universal,ERT,P_kbar,universal,universal_raw,60,17.429121708682214
universal,ERT,P_kbar,universal,universal_raw,61,17.651746341460957
universal,XGB,T_C,universal,universal_raw,42,146.42845806598484
universal,XGB,T_C,universal,universal_raw,43,144.90890540037378
universal,XGB,T_C,universal,universal_raw,44,146.2123766616431
universal,XGB,T_C,universal,universal_raw,45,145.09911267474993
universal,XGB,T_C,universal,universal_raw,46,144.91329079414004
universal,XGB,T_C,universal,universal_raw,47,147.80459238835678
universal,XGB,T_C,universal,universal_raw,48,146.8683910241534
universal,XGB,T_C,universal,universal_raw,49,144.50314150079086
universal,XGB,T_C,universal,universal_raw,50,145.35282799018574
universal,XGB,T_C,universal,universal_raw,51,146.276187941162
universal,XGB,T_C,universal,universal_raw,52,145.90989479630073
universal,XGB,T_C,universal,universal_raw,53,146.67269566744122
universal,XGB,T_C,universal,universal_raw,54,144.28672614453475
universal,XGB,T_C,universal,universal_raw,55,147.12625787645078
universal,XGB,T_C,universal,universal_raw,56,146.9202772145263
universal,XGB,T_C,universal,universal_raw,57,144.24505620851707
universal,XGB,T_C,universal,universal_raw,58,146.46405477917327
universal,XGB,T_C,universal,universal_raw,59,145.91680757051537
universal,XGB,T_C,universal,universal_raw,60,146.78134657941246
universal,XGB,T_C,universal,universal_raw,61,142.6062262806259
universal,XGB,P_kbar,universal,universal_raw,42,18.52097922473502
universal,XGB,P_kbar,universal,universal_raw,43,18.223877490681286
universal,XGB,P_kbar,universal,universal_raw,44,18.281672830410674
universal,XGB,P_kbar,universal,universal_raw,45,18.199830700886803
universal,XGB,P_kbar,universal,universal_raw,46,18.426552426382287
universal,XGB,P_kbar,universal,universal_raw,47,18.421581679654178
universal,XGB,P_kbar,universal,universal_raw,48,18.419140594590548
universal,XGB,P_kbar,universal,universal_raw,49,18.43526629397239
universal,XGB,P_kbar,universal,universal_raw,50,18.388372193999604
universal,XGB,P_kbar,universal,universal_raw,51,18.255658892823188
universal,XGB,P_kbar,universal,universal_raw,52,18.236611091643315
universal,XGB,P_kbar,universal,universal_raw,53,18.528813445176187
universal,XGB,P_kbar,universal,universal_raw,54,18.277908615787428
universal,XGB,P_kbar,universal,universal_raw,55,18.2992935231047
universal,XGB,P_kbar,universal,universal_raw,56,18.40823171050053
universal,XGB,P_kbar,universal,universal_raw,57,18.507743071822677
universal,XGB,P_kbar,universal,universal_raw,58,18.46279136645297
universal,XGB,P_kbar,universal,universal_raw,59,18.305517416717905
universal,XGB,P_kbar,universal,universal_raw,60,18.351349072604926
universal,XGB,P_kbar,universal,universal_raw,61,18.304094898824555
universal,GB,T_C,universal,universal_raw,42,145.16768096605153
universal,GB,T_C,universal,universal_raw,43,145.16768096605153
universal,GB,T_C,universal,universal_raw,44,145.16768096605153
universal,GB,T_C,universal,universal_raw,45,145.16768096605153
universal,GB,T_C,universal,universal_raw,46,145.16768096605153
universal,GB,T_C,universal,universal_raw,47,145.16768096605153
universal,GB,T_C,universal,universal_raw,48,145.16768096605153
universal,GB,T_C,universal,universal_raw,49,145.16768096605153
universal,GB,T_C,universal,universal_raw,50,145.16768096605153
universal,GB,T_C,universal,universal_raw,51,145.16768096605153
universal,GB,T_C,universal,universal_raw,52,145.16768096605153
universal,GB,T_C,universal,universal_raw,53,145.16768096605153
universal,GB,T_C,universal,universal_raw,54,145.16768096605153
universal,GB,T_C,universal,universal_raw,55,145.16768096605153
universal,GB,T_C,universal,universal_raw,56,145.16768096605153
universal,GB,T_C,universal,universal_raw,57,145.16768096605153
universal,GB,T_C,universal,universal_raw,58,145.16768096605153
universal,GB,T_C,universal,universal_raw,59,145.16768096605153
universal,GB,T_C,universal,universal_raw,60,145.16768096605153
universal,GB,T_C,universal,universal_raw,61,145.16768096605153
universal,GB,P_kbar,universal,universal_raw,42,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,43,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,44,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,45,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,46,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,47,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,48,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,49,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,50,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,51,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,52,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,53,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,54,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,55,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,56,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,57,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,58,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,59,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,60,18.49208931032146
universal,GB,P_kbar,universal,universal_raw,61,18.49208931032146
universal,CatBoost,T_C,universal,universal_raw,42,144.65224644515126
universal,CatBoost,T_C,universal,universal_raw,43,147.32722358191882
universal,CatBoost,T_C,universal,universal_raw,44,144.83353171819493
universal,CatBoost,T_C,universal,universal_raw,45,145.86617098433342
universal,CatBoost,T_C,universal,universal_raw,46,146.2098950018112
universal,CatBoost,T_C,universal,universal_raw,47,146.1370175656724
universal,CatBoost,T_C,universal,universal_raw,48,147.05492370621695
universal,CatBoost,T_C,universal,universal_raw,49,149.5605525198327
universal,CatBoost,T_C,universal,universal_raw,50,146.51205939902886
universal,CatBoost,T_C,universal,universal_raw,51,144.72625551920578
universal,CatBoost,T_C,universal,universal_raw,52,142.83760683325033
universal,CatBoost,T_C,universal,universal_raw,53,146.57719672307837
universal,CatBoost,T_C,universal,universal_raw,54,146.23286642962384
universal,CatBoost,T_C,universal,universal_raw,55,143.96336383289773
universal,CatBoost,T_C,universal,universal_raw,56,145.8208759743936
universal,CatBoost,T_C,universal,universal_raw,57,142.73417083049642
universal,CatBoost,T_C,universal,universal_raw,58,146.03597827919216
universal,CatBoost,T_C,universal,universal_raw,59,144.32317458783513
universal,CatBoost,T_C,universal,universal_raw,60,145.32133023488547
universal,CatBoost,T_C,universal,universal_raw,61,145.33118669186013
universal,CatBoost,P_kbar,universal,universal_raw,42,17.716272561857583
universal,CatBoost,P_kbar,universal,universal_raw,43,17.716046410367944
universal,CatBoost,P_kbar,universal,universal_raw,44,17.660039023026226
universal,CatBoost,P_kbar,universal,universal_raw,45,17.750626715390446
universal,CatBoost,P_kbar,universal,universal_raw,46,17.669850714165904
universal,CatBoost,P_kbar,universal,universal_raw,47,17.66388094588766
universal,CatBoost,P_kbar,universal,universal_raw,48,17.66527310383133
universal,CatBoost,P_kbar,universal,universal_raw,49,17.793774375316527
universal,CatBoost,P_kbar,universal,universal_raw,50,17.503377189433564
universal,CatBoost,P_kbar,universal,universal_raw,51,17.792882805288343
universal,CatBoost,P_kbar,universal,universal_raw,52,17.81933727065634
universal,CatBoost,P_kbar,universal,universal_raw,53,17.750276775060502
universal,CatBoost,P_kbar,universal,universal_raw,54,17.598699875387908
universal,CatBoost,P_kbar,universal,universal_raw,55,17.660922263024062
universal,CatBoost,P_kbar,universal,universal_raw,56,17.683224695309775
universal,CatBoost,P_kbar,universal,universal_raw,57,17.75621855052842
universal,CatBoost,P_kbar,universal,universal_raw,58,17.745754399019617
universal,CatBoost,P_kbar,universal,universal_raw,59,17.67151286244526
universal,CatBoost,P_kbar,universal,universal_raw,60,17.70885480750552
universal,CatBoost,P_kbar,universal,universal_raw,61,17.85337486595231
universal,LightGBM,T_C,universal,universal_raw,42,146.77686346982327
universal,LightGBM,T_C,universal,universal_raw,43,148.38466476638604
universal,LightGBM,T_C,universal,universal_raw,44,147.60006809691026
universal,LightGBM,T_C,universal,universal_raw,45,147.76903786986279
universal,LightGBM,T_C,universal,universal_raw,46,146.67792428223945
universal,LightGBM,T_C,universal,universal_raw,47,147.36832216707774
universal,LightGBM,T_C,universal,universal_raw,48,147.83669138253228
universal,LightGBM,T_C,universal,universal_raw,49,146.81925504015322
universal,LightGBM,T_C,universal,universal_raw,50,147.17519619325535
universal,LightGBM,T_C,universal,universal_raw,51,147.67078138694623
universal,LightGBM,T_C,universal,universal_raw,52,147.0697995215654
universal,LightGBM,T_C,universal,universal_raw,53,146.99309244006966
universal,LightGBM,T_C,universal,universal_raw,54,146.83609583876157
universal,LightGBM,T_C,universal,universal_raw,55,147.1805141702619
universal,LightGBM,T_C,universal,universal_raw,56,146.1370285483031
universal,LightGBM,T_C,universal,universal_raw,57,146.71198391264667
universal,LightGBM,T_C,universal,universal_raw,58,148.1122814712019
universal,LightGBM,T_C,universal,universal_raw,59,146.7605777739975
universal,LightGBM,T_C,universal,universal_raw,60,147.37621407446377
universal,LightGBM,T_C,universal,universal_raw,61,147.55912705629117
universal,LightGBM,P_kbar,universal,universal_raw,42,18.465052773781256
universal,LightGBM,P_kbar,universal,universal_raw,43,18.430985401210446
universal,LightGBM,P_kbar,universal,universal_raw,44,18.564058522228542
universal,LightGBM,P_kbar,universal,universal_raw,45,18.534420055770205
universal,LightGBM,P_kbar,universal,universal_raw,46,18.514942486981695
universal,LightGBM,P_kbar,universal,universal_raw,47,18.528808944467052
universal,LightGBM,P_kbar,universal,universal_raw,48,18.59181686793917
universal,LightGBM,P_kbar,universal,universal_raw,49,18.43835170870961
universal,LightGBM,P_kbar,universal,universal_raw,50,18.47597844435086
universal,LightGBM,P_kbar,universal,universal_raw,51,18.497276402192707
universal,LightGBM,P_kbar,universal,universal_raw,52,18.510895740380903
universal,LightGBM,P_kbar,universal,universal_raw,53,18.555001733349638
universal,LightGBM,P_kbar,universal,universal_raw,54,18.45122127495994
universal,LightGBM,P_kbar,universal,universal_raw,55,18.438184750282687
universal,LightGBM,P_kbar,universal,universal_raw,56,18.550786226025227
universal,LightGBM,P_kbar,universal,universal_raw,57,18.513576231265986
universal,LightGBM,P_kbar,universal,universal_raw,58,18.40695355062831
universal,LightGBM,P_kbar,universal,universal_raw,59,18.450447249559062
universal,LightGBM,P_kbar,universal,universal_raw,60,18.44024439847979
universal,LightGBM,P_kbar,universal,universal_raw,61,18.531639774856433
universal,ElasticNet,T_C,universal,universal_raw,42,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,43,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,44,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,45,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,46,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,47,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,48,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,49,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,50,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,51,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,52,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,53,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,54,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,55,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,56,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,57,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,58,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,59,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,60,152.9175171981898
universal,ElasticNet,T_C,universal,universal_raw,61,152.9175171981898
universal,ElasticNet,P_kbar,universal,universal_raw,42,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,43,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,44,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,45,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,46,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,47,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,48,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,49,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,50,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,51,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,52,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,53,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,54,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,55,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,56,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,57,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,58,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,59,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,60,18.951133563033462
universal,ElasticNet,P_kbar,universal,universal_raw,61,18.951133563033462
universal,MLP,T_C,universal,universal_raw,42,157.37230611109723
universal,MLP,T_C,universal,universal_raw,43,154.86110442752934
universal,MLP,T_C,universal,universal_raw,44,149.98127784684172
universal,MLP,T_C,universal,universal_raw,45,153.67886032053488
universal,MLP,T_C,universal,universal_raw,46,152.425853440055
universal,MLP,T_C,universal,universal_raw,47,156.31292580500627
universal,MLP,T_C,universal,universal_raw,48,152.49502385213427
universal,MLP,T_C,universal,universal_raw,49,149.15844957891684
universal,MLP,T_C,universal,universal_raw,50,154.7014439802405
universal,MLP,T_C,universal,universal_raw,51,148.52394936245904
universal,MLP,T_C,universal,universal_raw,52,146.62486108800246
universal,MLP,T_C,universal,universal_raw,53,149.05403592081618
universal,MLP,T_C,universal,universal_raw,54,156.40703111263545
universal,MLP,T_C,universal,universal_raw,55,150.60229107906994
universal,MLP,T_C,universal,universal_raw,56,151.7792278933584
universal,MLP,T_C,universal,universal_raw,57,149.98712598743182
universal,MLP,T_C,universal,universal_raw,58,152.7418370018168
universal,MLP,T_C,universal,universal_raw,59,152.91716995698079
universal,MLP,T_C,universal,universal_raw,60,153.3687511463276
universal,MLP,T_C,universal,universal_raw,61,149.87743156698505
universal,MLP,P_kbar,universal,universal_raw,42,16.623944645460554
universal,MLP,P_kbar,universal,universal_raw,43,16.37248802011116
universal,MLP,P_kbar,universal,universal_raw,44,16.564241642465607
universal,MLP,P_kbar,universal,universal_raw,45,16.45646841086367
universal,MLP,P_kbar,universal,universal_raw,46,16.34148216430762
universal,MLP,P_kbar,universal,universal_raw,47,16.557631545412235
universal,MLP,P_kbar,universal,universal_raw,48,16.81640457614481
universal,MLP,P_kbar,universal,universal_raw,49,16.774680170457156
universal,MLP,P_kbar,universal,universal_raw,50,16.467621098066395
universal,MLP,P_kbar,universal,universal_raw,51,16.68903207773107
universal,MLP,P_kbar,universal,universal_raw,52,16.948337995327947
universal,MLP,P_kbar,universal,universal_raw,53,16.57957574674259
universal,MLP,P_kbar,universal,universal_raw,54,16.609491237988166
universal,MLP,P_kbar,universal,universal_raw,55,16.66161889549119
universal,MLP,P_kbar,universal,universal_raw,56,16.410857457889765
universal,MLP,P_kbar,universal,universal_raw,57,16.24062834058685
universal,MLP,P_kbar,universal,universal_raw,58,16.568086842586354
universal,MLP,P_kbar,universal,universal_raw,59,16.565198145605166
universal,MLP,P_kbar,universal,universal_raw,60,16.349773211699674
universal,MLP,P_kbar,universal,universal_raw,61,16.582296402866046
