pipeline,model,target,track,feature_set,mean,std,min,max,count
universal,CatBoost,P_kbar,universal,universal_raw,17.70901001047276,0.07982435378808128,17.503377189433564,17.85337486595231,20
universal,CatBoost,T_C,universal,universal_raw,145.60288134294396,1.5643223088324156,142.73417083049642,149.5605525198327,20
universal,ERT,P_kbar,universal,universal_raw,17.47071922786957,0.12522793258020687,17.27742361904944,17.68426814898223,20
universal,ERT,T_C,universal,universal_raw,145.86442284351125,0.861293729457395,143.42820351957025,147.13147577071317,20
universal,ElasticNet,P_kbar,universal,universal_raw,18.951133563033466,0.0,18.951133563033466,18.951133563033466,20
universal,ElasticNet,T_C,universal,universal_raw,152.9175171981898,0.0,152.9175171981898,152.9175171981898,20
universal,GB,P_kbar,universal,universal_raw,18.49208931032146,0.0,18.49208931032146,18.49208931032146,20
universal,GB,T_C,universal,universal_raw,145.1676809660515,0.0,145.1676809660515,145.1676809660515,20
universal,LightGBM,P_kbar,universal,universal_raw,18.494532126870975,0.05248358964450509,18.40695355062831,18.59181686793917,20
universal,LightGBM,T_C,universal,universal_raw,147.24077597313746,0.5550049012852077,146.1370285483031,148.38466476638604,20
universal,MLP,P_kbar,universal,universal_raw,16.5589929313902,0.17285951529825486,16.24062834058685,16.948337995327947,20
universal,MLP,T_C,universal,universal_raw,152.14354787391198,2.9094147133007318,146.62486108800246,157.37230611109723,20
universal,RF,P_kbar,universal,universal_raw,18.18790737418637,0.0687759303801745,18.063645894657828,18.286250321127184,20
universal,RF,T_C,universal,universal_raw,145.51782885235482,0.7474968264831177,143.70943987497077,146.51839967042787,20
universal,XGB,P_kbar,universal,universal_raw,18.36276432703856,0.1026471709722327,18.199830700886803,18.528813445176187,20
universal,XGB,T_C,universal,universal_raw,145.7648313779519,1.256427286297122,142.6062262806259,147.80459238835678,20
