pipeline,track,target,regime,n,form,pre_RMSE_mean,pre_RMSE_lo,pre_RMSE_hi,post_RMSE_mean,post_RMSE_lo,post_RMSE_hi,delta_RMSE,ships_cell
cpx,cpx-liq,P_kbar,ALL,654,A,6.546,4.416,8.878,5.635,2.999,8.303,0.911,N
cpx,cpx-liq,P_kbar,deep_crustal_MASH,187,A,2.756,2.333,3.215,1.722,1.505,1.952,1.034,N
cpx,cpx-liq,P_kbar,deeper_mantle,56,A,17.583,6.179,27.143,18.084,8.021,27.474,-0.501,N
cpx,cpx-liq,P_kbar,lithospheric_mantle,143,A,4.317,3.697,4.936,3.379,3.092,3.654,0.938,N
cpx,cpx-liq,P_kbar,shallow_crustal,268,A,4.971,4.277,5.723,0.999,0.866,1.13,3.972,N
cpx,cpx-liq,P_kbar,ALL,654,B,6.546,4.416,8.878,6.666,4.437,9.096,-0.12,N
cpx,cpx-liq,P_kbar,deep_crustal_MASH,187,B,2.756,2.333,3.215,2.818,2.398,3.273,-0.062,N
cpx,cpx-liq,P_kbar,deeper_mantle,56,B,17.583,6.179,27.143,18.2,6.651,28.048,-0.617,N
cpx,cpx-liq,P_kbar,lithospheric_mantle,143,B,4.317,3.697,4.936,4.277,3.66,4.894,0.04,N
cpx,cpx-liq,P_kbar,shallow_crustal,268,B,4.971,4.277,5.723,4.886,4.18,5.646,0.085,N
cpx,cpx-liq,T_C,ALL,654,A,72.476,58.518,87.569,68.733,56.918,82.09,3.743,N
cpx,cpx-liq,T_C,deep_crustal_MASH,187,A,51.161,40.49,64.76,50.478,39.891,63.801,0.683,N
cpx,cpx-liq,T_C,deeper_mantle,56,A,166.311,92.692,236.514,147.758,80.038,211.781,18.553,N
cpx,cpx-liq,T_C,lithospheric_mantle,143,A,77.724,67.891,86.979,78.336,67.812,88.093,-0.612,N
cpx,cpx-liq,T_C,shallow_crustal,268,A,44.594,38.464,51.046,43.746,36.995,50.856,0.847,N
cpx,cpx-liq,T_C,ALL,654,B,72.476,58.518,87.569,70.645,57.006,85.433,1.831,N
cpx,cpx-liq,T_C,deep_crustal_MASH,187,B,51.161,40.49,64.76,52.701,41.804,66.88,-1.54,N
cpx,cpx-liq,T_C,deeper_mantle,56,B,166.311,92.692,236.514,160.927,87.517,229.813,5.384,N
cpx,cpx-liq,T_C,lithospheric_mantle,143,B,77.724,67.891,86.979,76.031,66.652,84.493,1.693,N
cpx,cpx-liq,T_C,shallow_crustal,268,B,44.594,38.464,51.046,41.767,36.335,47.501,2.826,N
cpx,cpx-only,P_kbar,ALL,784,A,13.664,11.688,15.661,11.329,9.799,12.841,2.334,Y
cpx,cpx-only,P_kbar,deep_crustal_MASH,193,A,4.366,3.806,5.006,1.74,1.573,1.911,2.626,Y
cpx,cpx-only,P_kbar,deeper_mantle,142,A,26.737,21.71,31.626,26.061,23.288,29.197,0.676,Y
cpx,cpx-only,P_kbar,lithospheric_mantle,213,A,10.748,8.16,13.191,3.922,3.71,4.136,6.826,Y
cpx,cpx-only,P_kbar,shallow_crustal,236,A,8.357,7.091,9.668,1.166,1.005,1.328,7.19,Y
cpx,cpx-only,P_kbar,ALL,784,B,13.664,11.688,15.661,13.513,11.473,15.572,0.15,N
cpx,cpx-only,P_kbar,deep_crustal_MASH,193,B,4.366,3.806,5.006,4.337,3.774,4.977,0.029,N
cpx,cpx-only,P_kbar,deeper_mantle,142,B,26.737,21.71,31.626,26.844,21.568,31.874,-0.107,N
cpx,cpx-only,P_kbar,lithospheric_mantle,213,B,10.748,8.16,13.191,9.737,7.705,11.656,1.012,N
cpx,cpx-only,P_kbar,shallow_crustal,236,B,8.357,7.091,9.668,8.471,7.282,9.693,-0.115,N
cpx,cpx-only,T_C,ALL,784,A,127.022,115.425,139.083,137.409,127.019,148.496,-10.387,N
cpx,cpx-only,T_C,deep_crustal_MASH,193,A,90.958,75.178,111.799,92.18,75.785,113.413,-1.221,N
cpx,cpx-only,T_C,deeper_mantle,142,A,188.264,160.862,214.53,194.526,169.57,218.618,-6.261,N
cpx,cpx-only,T_C,lithospheric_mantle,213,A,139.295,109.627,166.846,166.268,146.67,185.38,-26.974,N
cpx,cpx-only,T_C,shallow_crustal,236,A,89.414,78.617,100.465,89.597,78.211,100.898,-0.182,N
cpx,cpx-only,T_C,ALL,784,B,127.022,115.425,139.083,133.52,122.184,145.391,-6.498,N
cpx,cpx-only,T_C,deep_crustal_MASH,193,B,90.958,75.178,111.799,88.946,72.364,110.287,2.012,N
cpx,cpx-only,T_C,deeper_mantle,142,B,188.264,160.862,214.53,212.907,186.618,237.495,-24.643,N
cpx,cpx-only,T_C,lithospheric_mantle,213,B,139.295,109.627,166.846,139.162,111.155,164.555,0.133,N
cpx,cpx-only,T_C,shallow_crustal,236,B,89.414,78.617,100.465,89.393,78.501,100.539,0.021,N
opx,opx-liq,P_kbar,ALL,174,A,4.404,3.618,5.223,2.756,2.126,3.402,1.648,N
opx,opx-liq,P_kbar,deep_crustal_MASH,61,A,2.539,2.055,2.993,1.915,1.535,2.269,0.624,N
opx,opx-liq,P_kbar,deeper_mantle,8,A,7.393,4.553,9.954,8.176,3.381,11.364,-0.783,N
opx,opx-liq,P_kbar,lithospheric_mantle,58,A,5.719,4.344,7.149,2.994,2.304,3.629,2.725,N
opx,opx-liq,P_kbar,shallow_crustal,47,A,3.438,1.936,4.564,0.888,0.765,1.009,2.55,N
opx,opx-liq,P_kbar,ALL,174,B,4.404,3.618,5.223,4.655,3.851,5.468,-0.251,N
opx,opx-liq,P_kbar,deep_crustal_MASH,61,B,2.539,2.055,2.993,2.395,1.965,2.792,0.144,N
opx,opx-liq,P_kbar,deeper_mantle,8,B,7.393,4.553,9.954,9.589,5.119,13.054,-2.195,N
opx,opx-liq,P_kbar,lithospheric_mantle,58,B,5.719,4.344,7.149,5.525,4.336,6.719,0.194,N
opx,opx-liq,P_kbar,shallow_crustal,47,B,3.438,1.936,4.564,4.106,2.99,5.062,-0.668,N
opx,opx-liq,T_C,ALL,174,A,77.062,61.989,91.994,77.632,64.07,91.73,-0.57,N
opx,opx-liq,T_C,deep_crustal_MASH,61,A,78.464,29.675,112.711,76.996,33.391,109.238,1.468,N
opx,opx-liq,T_C,deeper_mantle,8,A,105.996,79.177,130.68,59.008,49.309,67.411,46.988,N
opx,opx-liq,T_C,lithospheric_mantle,58,A,93.698,78.35,110.337,93.602,78.119,110.657,0.096,N
opx,opx-liq,T_C,shallow_crustal,47,A,35.33,28.102,44.228,56.666,49.708,65.714,-21.336,N
opx,opx-liq,T_C,ALL,174,B,77.062,61.989,91.994,76.444,61.189,91.609,0.618,N
opx,opx-liq,T_C,deep_crustal_MASH,61,B,78.464,29.675,112.711,78.464,29.675,112.711,0.0,N
opx,opx-liq,T_C,deeper_mantle,8,B,105.996,79.177,130.68,82.504,66.855,96.705,23.493,N
opx,opx-liq,T_C,lithospheric_mantle,58,B,93.698,78.35,110.337,95.426,79.612,112.687,-1.727,N
opx,opx-liq,T_C,shallow_crustal,47,B,35.33,28.102,44.228,35.304,28.102,44.164,0.025,N
opx,opx-only,P_kbar,ALL,190,A,10.347,6.92,14.14,6.011,3.514,8.984,4.337,Y
opx,opx-only,P_kbar,deep_crustal_MASH,76,A,6.877,4.436,9.173,1.969,1.622,2.325,4.908,Y
opx,opx-only,P_kbar,deeper_mantle,29,A,20.155,8.137,31.077,14.495,8.149,21.699,5.66,Y
opx,opx-only,P_kbar,lithospheric_mantle,37,A,7.582,4.316,10.852,3.354,2.752,3.991,4.228,Y
opx,opx-only,P_kbar,shallow_crustal,48,A,7.693,5.937,9.455,1.121,0.827,1.434,6.572,Y
opx,opx-only,P_kbar,ALL,190,B,10.347,6.92,14.14,10.476,7.178,14.214,-0.128,N
opx,opx-only,P_kbar,deep_crustal_MASH,76,B,6.877,4.436,9.173,5.964,4.314,7.535,0.913,N
opx,opx-only,P_kbar,deeper_mantle,29,B,20.155,8.137,31.077,22.245,12.13,32.427,-2.09,N
opx,opx-only,P_kbar,lithospheric_mantle,37,B,7.582,4.316,10.852,5.454,3.404,7.416,2.128,N
opx,opx-only,P_kbar,shallow_crustal,48,B,7.693,5.937,9.455,7.458,5.682,9.191,0.235,N
opx,opx-only,T_C,ALL,190,A,146.627,119.052,173.18,122.098,100.706,142.753,24.53,N
opx,opx-only,T_C,deep_crustal_MASH,76,A,127.19,103.911,150.127,105.777,83.456,128.229,21.413,N
