pipeline,track,target,model,feature_set,model_seed,cv_seed,alpha_L,alpha_R,s_L,s_R,oof_mse,form_b_ok
opx,opx-liq,T_C,ElasticNet,raw,42,42,0.05,0.8300000000000001,0.4089424708882276,-0.1765016508104284,4406.703445239701,True
opx,opx-liq,T_C,ElasticNet,raw,42,43,0.05,0.87,0.4098720053553243,-0.2234962542286758,4385.546940711047,True
opx,opx-liq,T_C,ElasticNet,raw,42,44,0.05,0.87,0.526001601281835,-0.2415971602136012,4409.252092698401,True
opx,opx-liq,T_C,ElasticNet,raw,42,45,0.05,0.8300000000000001,0.6358639601973524,-0.1947342326044137,4455.76747994131,True
opx,opx-liq,T_C,ElasticNet,raw,42,46,0.05,0.8300000000000001,0.3949511202517038,-0.1823722295620568,4280.0750975531,True
opx,opx-liq,P_kbar,MLP,raw,42,42,0.13,0.55,0.5487504815350013,0.1055570105751587,27.179730561905732,True
opx,opx-liq,P_kbar,MLP,raw,42,43,0.13,0.55,0.5745021338107815,0.1841765076908847,33.181288621588834,True
opx,opx-liq,P_kbar,MLP,raw,42,44,0.45,0.95,0.192202070109747,-0.5074497954370378,24.853810346031683,True
opx,opx-liq,P_kbar,MLP,raw,42,45,0.13,0.55,0.4609574685809047,0.0908258452921402,26.437296821603496,True
opx,opx-liq,P_kbar,MLP,raw,42,46,0.1699999999999999,0.55,0.315676670121006,0.1128770529924755,27.0619842879151,True
opx,opx-only,T_C,LightGBM,alr,42,42,0.13,0.55,-0.0847920521672756,0.1247865652181715,17807.047388440533,True
opx,opx-only,T_C,LightGBM,alr,42,43,0.13,0.55,-0.0941173555932941,0.1201415583180221,18151.44882331861,True
opx,opx-only,T_C,LightGBM,alr,42,44,0.13,0.55,-0.1186722662992587,0.0990400164032601,18168.31580543993,True
opx,opx-only,T_C,LightGBM,alr,42,45,0.13,0.55,-0.0958638663673821,0.1339305023221443,17969.555908379767,True
opx,opx-only,T_C,LightGBM,alr,42,46,0.13,0.55,-0.104223623556676,0.1326200904013414,18093.16924889232,True
opx,opx-only,P_kbar,RF,pwlr,42,42,0.29,0.91,-0.1569117766041448,0.4619697269707711,114.14673963918176,True
opx,opx-only,P_kbar,RF,pwlr,42,43,0.37,0.91,-0.1379421429136288,0.6290041368090727,115.99543288029383,True
opx,opx-only,P_kbar,RF,pwlr,42,44,0.29,0.8300000000000001,-0.105088029222735,0.6494924414318571,122.09920712610976,True
opx,opx-only,P_kbar,RF,pwlr,42,45,0.25,0.8300000000000001,-0.1460645345700244,0.6771000412556529,121.41789737066831,True
opx,opx-only,P_kbar,RF,pwlr,42,46,0.33,0.79,-0.0837232993205838,0.635080066157088,124.93009880199384,True
cpx,cpx-liq,T_C,ERT,pwlr,42,42,0.45,0.75,-0.0802666997201028,-0.0729158523397814,6097.9931941866425,True
cpx,cpx-liq,T_C,ERT,pwlr,42,43,0.45,0.79,-0.0597158897471254,-0.1700207325745176,5854.1625177850365,True
cpx,cpx-liq,T_C,ERT,pwlr,42,44,0.45,0.75,-0.0810855866938715,-0.120262430259711,6046.885348253514,True
cpx,cpx-liq,T_C,ERT,pwlr,42,45,0.45,0.91,-0.0569765116868491,-0.239307429295292,6037.471934154318,True
cpx,cpx-liq,T_C,ERT,pwlr,42,46,0.45,0.8300000000000001,-0.0807905633129193,-0.1431948420711862,5836.295601628858,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,42,0.45,0.95,-0.0744854310171106,0.1778272192317866,70.96056278861472,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,43,0.45,0.95,-0.0486679404840761,0.257350391327417,71.11082068189958,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,44,0.45,0.95,-0.0560295824672154,0.1897349434686655,69.78713798729923,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,45,0.45,0.95,-0.0703691084499841,0.0342946459574808,64.06089584307473,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,46,0.45,0.95,-0.0689216411139692,0.2696176150253273,76.18943616430153,True
cpx,cpx-only,T_C,ERT,pwlr,42,42,0.29,0.55,0.0635702019357267,0.4060792235448193,24979.606036282992,True
cpx,cpx-only,T_C,ERT,pwlr,42,43,0.33,0.5900000000000001,0.048722322358308,0.4436237165300415,24742.11193412056,True
cpx,cpx-only,T_C,ERT,pwlr,42,44,0.05,0.55,-0.1680094701653948,0.3416875808508859,24288.51649930181,True
cpx,cpx-only,T_C,ERT,pwlr,42,45,0.29,0.55,0.058260735978749,0.408899523621268,24857.99427002825,True
cpx,cpx-only,T_C,ERT,pwlr,42,46,0.33,0.5900000000000001,0.0387562158113497,0.4895263417204691,25159.422100115586,True
cpx,cpx-only,P_kbar,MLP,alr,42,42,0.13,0.95,1.678918209555487,0.2864519746048371,285.70944368664107,True
cpx,cpx-only,P_kbar,MLP,alr,42,43,0.1699999999999999,0.95,1.0092540316109126,0.29900843726796,289.24405172936923,True
cpx,cpx-only,P_kbar,MLP,alr,42,44,0.13,0.95,1.4054042624235872,0.2059648660052838,290.7970308801847,True
cpx,cpx-only,P_kbar,MLP,alr,42,45,0.13,0.95,1.530331930782227,0.1152670306187981,303.2529624868729,True
cpx,cpx-only,P_kbar,MLP,alr,42,46,0.13,0.95,1.6412054556799014,0.3169354424668242,295.66925394348993,True
