strategy,model,target,track,feature_set,n,n_folds,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi
LOSO,ElasticNet,T_C,opx_liq,raw,600,93,69.4,62.507,76.348,48.832,45.167,52.644
ClusterKFold,ElasticNet,T_C,opx_liq,raw,600,5,68.644,62.025,75.792,48.192,44.565,52.024
TargetBinKFold,ElasticNet,T_C,opx_liq,raw,600,4,70.95,64.393,77.817,50.129,46.432,54.215
LeaveOneRegionOut,ElasticNet,T_C,opx_liq,raw,600,7,69.897,63.591,76.646,48.33,44.377,52.257
LOSO,MLP,P_kbar,opx_liq,raw,600,93,4.588,4.154,5.063,3.21,2.966,3.484
ClusterKFold,MLP,P_kbar,opx_liq,raw,600,5,7.286,6.649,7.87,5.463,5.061,5.825
TargetBinKFold,MLP,P_kbar,opx_liq,raw,600,4,6.506,6.114,6.944,5.211,4.91,5.535
LeaveOneRegionOut,MLP,P_kbar,opx_liq,raw,600,7,5.881,5.261,6.503,4.031,3.695,4.362
LOSO,ElasticNet,P_kbar,opx_liq,raw,600,93,5.397,4.899,5.904,3.838,3.548,4.142
ClusterKFold,ElasticNet,P_kbar,opx_liq,raw,600,5,7.441,6.885,7.966,5.84,5.462,6.18
TargetBinKFold,ElasticNet,P_kbar,opx_liq,raw,600,4,7.106,6.533,7.644,5.303,4.935,5.669
LeaveOneRegionOut,ElasticNet,P_kbar,opx_liq,raw,600,7,6.171,5.565,6.797,4.329,3.964,4.691
