cell,model,target,feature_set,feature,mean_abs_shap
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_SiO2,1.491455057666521
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_MgO,1.023968888744943
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_Na2O,0.9727786327166843
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_Al2O3,0.8938163577301678
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,MgTs,0.7111808671562092
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Al_VI,0.7099085606366312
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_CaO,0.6383647090517897
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_Al2O3,0.5604553523036139
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_K2O,0.5042217100203434
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Mg_num,0.45512475722391155
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_CaO,11.394061970371348
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,Wo_frac,9.658157611439854
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,Al_VI,3.981805848428391
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_liq_MgO,3.3404734588917306
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_liq_SiO2,3.1458028097994206
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_liq_FeO,2.271202456282012
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,liq_Mg_num,2.0577304967544623
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_liq_CaO,1.8008009647313004
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_TiO2,1.7153889454285751
ElasticNet/raw/P_kbar,ElasticNet,P_kbar,raw,raw_liq_Al2O3,1.6172589157221153
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_MgO,64.183211861374
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_FeO,23.992210481399272
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_FeO_total,21.128049107090693
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Al_VI,20.20106071264904
ElasticNet/raw/T_C,ElasticNet,T_C,raw,Wo_frac,14.065067196029753
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_Na2O,11.076608629005118
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_Al2O3,8.494985415786447
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_K2O,7.633372658685983
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_liq_Na2O,6.263793575822874
ElasticNet/raw/T_C,ElasticNet,T_C,raw,raw_TiO2,5.723425440343197
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_SiO2,2.1709233619274473
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_Al2O3,1.7561999192547433
MLP/raw/P_kbar,MLP,P_kbar,raw,Al_VI,1.6143080784822328
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_Al2O3,1.1291055599386437
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_FeO,0.9887230276532966
MLP/raw/P_kbar,MLP,P_kbar,raw,liq_Mg_num,0.7673569911429539
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_TiO2,0.7603683213870399
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_MgO,0.7312323213682581
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_Cr2O3,0.7230584515284283
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_Na2O,0.6986381630157168
XGB/alr/T_C,XGB,T_C,alr,alr_liq_MgO,69.1232681274414
XGB/alr/T_C,XGB,T_C,alr,alr_Na2O,16.346359252929688
XGB/alr/T_C,XGB,T_C,alr,alr_Cr2O3,8.83431339263916
XGB/alr/T_C,XGB,T_C,alr,Wo_frac,6.551479339599609
XGB/alr/T_C,XGB,T_C,alr,alr_liq_FeO,6.23476505279541
XGB/alr/T_C,XGB,T_C,alr,alr_liq_CaO,5.726198196411133
XGB/alr/T_C,XGB,T_C,alr,alr_liq_Al2O3,5.711958408355713
XGB/alr/T_C,XGB,T_C,alr,alr_liq_Na2O,5.048960208892822
XGB/alr/T_C,XGB,T_C,alr,alr_TiO2,4.774579048156738
XGB/alr/T_C,XGB,T_C,alr,alr_FeO_total,4.479813575744629
