model,target,track,feature_set,regime,n,pre_rmse,pre_rmse_lo,pre_rmse_hi,post_rmse,post_rmse_lo,post_rmse_hi,improvement
ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.464,30.402,111.636,76.919,33.27,107.7,1.545
ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.996,78.465,130.083,61.542,52.232,70.113,44.454
ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.698,79.135,108.674,93.577,79.003,108.805,0.121
ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.33,27.961,43.559,54.007,47.258,62.6,-18.677
ElasticNet,T_C,opx_liq,raw,ALL,174,77.062,61.813,92.726,77.169,63.232,91.645,-0.107
MLP,P_kbar,opx_liq,raw,deep_crustal_MASH,61,2.079,1.672,2.515,1.953,1.579,2.295,0.126
MLP,P_kbar,opx_liq,raw,deeper_mantle,8,4.715,3.616,5.954,7.866,4.026,10.745,-3.151
MLP,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.38,4.008,6.846,2.636,1.995,3.171,2.744
MLP,P_kbar,opx_liq,raw,shallow_crustal,47,2.965,1.485,3.957,0.798,0.671,0.925,2.167
MLP,P_kbar,opx_liq,raw,ALL,174,3.816,3.078,4.538,2.583,2.028,3.201,1.233
ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153,2.61,3.71,1.733,1.362,2.063,1.421
ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.36,15.214,21.137,9.585,0.647,13.544,8.774
ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.56,4.208,6.941,3.362,2.568,4.121,2.198
ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.663,2.265,3.061,1.015,1.008,1.023,1.647
ElasticNet,P_kbar,opx_liq,raw,ALL,174,5.586,4.543,6.736,3.053,2.231,3.831,2.533
