pipeline,track,target,model,feature_set,model_seed,cv_seed,alpha_L,alpha_R,s_L,s_R,oof_mse,form_b_ok
opx,opx-liq,T_C,ElasticNet,raw,42,42,0.05,0.83,0.409,-0.177,4406.703,True
opx,opx-liq,T_C,ElasticNet,raw,42,43,0.05,0.87,0.41,-0.223,4385.547,True
opx,opx-liq,T_C,ElasticNet,raw,42,44,0.05,0.87,0.526,-0.242,4409.252,True
opx,opx-liq,T_C,ElasticNet,raw,42,45,0.05,0.83,0.636,-0.195,4455.767,True
opx,opx-liq,T_C,ElasticNet,raw,42,46,0.05,0.83,0.395,-0.182,4280.075,True
opx,opx-liq,P_kbar,MLP,raw,42,42,0.13,0.55,0.549,0.106,27.18,True
opx,opx-liq,P_kbar,MLP,raw,42,43,0.13,0.55,0.575,0.184,33.181,True
opx,opx-liq,P_kbar,MLP,raw,42,44,0.45,0.95,0.192,-0.507,24.854,True
opx,opx-liq,P_kbar,MLP,raw,42,45,0.13,0.55,0.461,0.091,26.437,True
opx,opx-liq,P_kbar,MLP,raw,42,46,0.17,0.55,0.316,0.113,27.062,True
opx,opx-only,T_C,LightGBM,alr,42,42,0.13,0.55,-0.085,0.125,17807.047,True
opx,opx-only,T_C,LightGBM,alr,42,43,0.13,0.55,-0.094,0.12,18151.449,True
opx,opx-only,T_C,LightGBM,alr,42,44,0.13,0.55,-0.119,0.099,18168.316,True
opx,opx-only,T_C,LightGBM,alr,42,45,0.13,0.55,-0.096,0.134,17969.556,True
opx,opx-only,T_C,LightGBM,alr,42,46,0.13,0.55,-0.104,0.133,18093.169,True
opx,opx-only,P_kbar,RF,pwlr,42,42,0.29,0.91,-0.157,0.462,114.147,True
opx,opx-only,P_kbar,RF,pwlr,42,43,0.37,0.91,-0.138,0.629,115.995,True
opx,opx-only,P_kbar,RF,pwlr,42,44,0.29,0.83,-0.105,0.649,122.099,True
opx,opx-only,P_kbar,RF,pwlr,42,45,0.25,0.83,-0.146,0.677,121.418,True
opx,opx-only,P_kbar,RF,pwlr,42,46,0.33,0.79,-0.084,0.635,124.93,True
cpx,cpx-liq,T_C,ERT,pwlr,42,42,0.45,0.75,-0.08,-0.073,6097.993,True
cpx,cpx-liq,T_C,ERT,pwlr,42,43,0.45,0.79,-0.06,-0.17,5854.163,True
cpx,cpx-liq,T_C,ERT,pwlr,42,44,0.45,0.75,-0.081,-0.12,6046.885,True
cpx,cpx-liq,T_C,ERT,pwlr,42,45,0.45,0.91,-0.057,-0.239,6037.472,True
cpx,cpx-liq,T_C,ERT,pwlr,42,46,0.45,0.83,-0.081,-0.143,5836.296,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,42,0.45,0.95,-0.074,0.178,70.961,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,43,0.45,0.95,-0.049,0.257,71.111,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,44,0.45,0.95,-0.056,0.19,69.787,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,45,0.45,0.95,-0.07,0.034,64.061,True
cpx,cpx-liq,P_kbar,LightGBM,pwlr,42,46,0.45,0.95,-0.069,0.27,76.189,True
cpx,cpx-only,T_C,ERT,pwlr,42,42,0.29,0.55,0.064,0.406,24979.606,True
cpx,cpx-only,T_C,ERT,pwlr,42,43,0.33,0.59,0.049,0.444,24742.112,True
cpx,cpx-only,T_C,ERT,pwlr,42,44,0.05,0.55,-0.168,0.342,24288.516,True
cpx,cpx-only,T_C,ERT,pwlr,42,45,0.29,0.55,0.058,0.409,24857.994,True
cpx,cpx-only,T_C,ERT,pwlr,42,46,0.33,0.59,0.039,0.49,25159.422,True
cpx,cpx-only,P_kbar,MLP,alr,42,42,0.13,0.95,1.679,0.286,285.709,True
cpx,cpx-only,P_kbar,MLP,alr,42,43,0.17,0.95,1.009,0.299,289.244,True
cpx,cpx-only,P_kbar,MLP,alr,42,44,0.13,0.95,1.405,0.206,290.797,True
cpx,cpx-only,P_kbar,MLP,alr,42,45,0.13,0.95,1.53,0.115,303.253,True
cpx,cpx-only,P_kbar,MLP,alr,42,46,0.13,0.95,1.641,0.317,295.669,True
