track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,P_kbar,P,shallow_crustal,47,2.663,3.886,2.245,3.236,3.134,4.472,our_best,,,,,,,,,
opx_liq,P_kbar,P,deep_crustal_MASH,61,2.079,2.314,1.624,1.722,2.539,2.853,our_best,,,,,,,,,
opx_liq,P_kbar,P,lithospheric_mantle,58,4.538,4.66,3.487,3.25,5.561,5.961,our_best,,,,,,,,,
opx_liq,P_kbar,P,deeper_mantle,8,4.556,8.519,3.194,4.438,5.746,11.137,our_best,,,,,,,,,
opx_liq,P_kbar,P,P<5,47,2.663,3.886,2.245,3.236,3.134,4.472,our_best,,,,,,,,,
opx_liq,P_kbar,P,5<=P<10,11,2.612,2.395,2.035,2.007,3.156,2.698,Putirka,,,,,,,,,
opx_liq,P_kbar,P,10<=P<20,81,2.762,3.441,2.254,2.508,3.266,4.318,our_best,,,,,,,,,
opx_liq,P_kbar,P,20<=P<40,32,5.247,3.723,3.671,2.926,6.851,4.531,Putirka,,,,,,,,,
opx_liq,P_kbar,P,P>=40,3,0.766,12.792,0.432,11.286,1.014,13.789,our_best,,,,,,,,,
opx_liq,P_kbar,P,P<20 (Agreda range),139,2.973,3.526,2.451,2.999,3.454,4.08,our_best,,,,,,,,,
opx_liq,P_kbar,P,ALL,174,3.816,4.75,3.096,3.814,4.491,5.749,our_best,,,,,,,,,
opx_only,P_kbar,P,shallow_crustal,48,7.192,2.197,5.665,1.693,8.757,2.717,Putirka,,,,,,,,,
opx_only,P_kbar,P,deep_crustal_MASH,76,5.205,4.678,4.476,3.923,5.804,5.364,Putirka,,,,,,,,,
opx_only,P_kbar,P,lithospheric_mantle,37,4.031,5.071,2.631,3.831,5.266,6.154,our_best,,,,,,,,,
opx_only,P_kbar,P,deeper_mantle,29,19.649,30.923,7.479,21.451,30.433,38.862,our_best,,,,,,,,,
opx_only,P_kbar,P,P<5,48,7.192,2.197,5.665,1.693,8.757,2.717,Putirka,,,,,,,,,
opx_only,P_kbar,P,5<=P<10,20,6.449,5.089,2.849,3.25,9.245,6.963,Putirka,,,,,,,,,
opx_only,P_kbar,P,10<=P<20,84,3.962,4.882,3.522,4.125,4.366,5.602,our_best,,,,,,,,,
opx_only,P_kbar,P,20<=P<40,23,7.483,9.708,6.076,5.706,8.898,13.119,our_best,,,,,,,,,
opx_only,P_kbar,P,P>=40,15,25.866,44.034,6.356,35.618,41.751,53.35,our_best,,,,,,,,,
opx_only,P_kbar,P,P<20 (Agreda range),152,6.043,4.114,5.273,3.576,6.825,4.655,Putirka,,,,,,,,,
opx_only,P_kbar,P,ALL,190,10.328,13.337,7.007,9.323,14.101,17.339,our_best,,,,,,,,,
cpx_liq,P_kbar,P,shallow_crustal,268,4.968,4.176,4.243,3.895,5.678,4.44,Putirka,4.435,4.662,6.726,3.904,4.203,5.761,4.951,5.096,7.772
cpx_liq,P_kbar,P,deep_crustal_MASH,187,2.785,2.934,2.315,2.609,3.277,3.287,Agreda,1.993,2.078,3.662,1.727,1.88,2.97,2.262,2.277,4.389
cpx_liq,P_kbar,P,lithospheric_mantle,143,4.119,5.501,3.578,4.24,4.695,6.627,Jorgenson,3.151,3.085,8.035,2.421,2.426,6.547,3.774,3.655,9.636
cpx_liq,P_kbar,P,deeper_mantle,56,16.796,10.233,5.293,6.157,25.222,13.954,Putirka,29.671,28.87,29.235,16.545,16.049,20.439,41.396,40.521,40.034
cpx_liq,P_kbar,P,P<5,268,4.968,4.176,4.243,3.895,5.678,4.44,Putirka,4.435,4.662,6.726,3.904,4.203,5.761,4.951,5.096,7.772
cpx_liq,P_kbar,P,5<=P<10,46,3.244,2.637,2.459,2.012,4.013,3.178,Jorgenson,2.537,2.494,3.1,1.81,2.052,1.974,3.29,3.005,4.422
cpx_liq,P_kbar,P,10<=P<20,210,2.545,3.095,2.273,2.784,2.808,3.452,Agreda,1.775,1.909,3.888,1.527,1.635,3.377,2.002,2.162,4.458
cpx_liq,P_kbar,P,20<=P<40,115,4.477,6.061,3.753,4.829,5.248,7.191,our_best,4.996,5.068,11.079,3.635,4.216,9.689,6.438,5.934,12.653
cpx_liq,P_kbar,P,P>=40,15,31.943,22.489,16.366,11.391,45.969,31.166,Putirka,56.354,54.674,53.156,36.923,34.457,35.959,74.923,73.864,69.222
cpx_liq,P_kbar,P,P<20 (Agreda range),524,4.124,4.1,3.679,3.834,4.559,4.371,Agreda,3.448,3.622,5.413,3.091,3.286,4.874,3.769,3.892,6.039
cpx_liq,P_kbar,P,ALL,654,6.537,5.481,4.399,4.754,8.898,6.318,Putirka,9.314,9.143,10.457,5.852,5.677,8.016,12.861,12.631,12.741
cpx_only,P_kbar,P,shallow_crustal,236,8.327,2.838,7.08,2.499,9.55,3.218,Putirka,3.839,3.192,,3.322,2.758,,4.261,3.53,
cpx_only,P_kbar,P,deep_crustal_MASH,193,3.28,2.419,2.048,2.144,4.734,2.683,Jorgenson,2.346,1.39,,1.914,1.055,,2.703,1.669,
cpx_only,P_kbar,P,lithospheric_mantle,213,8.187,5.97,5.534,5.158,10.817,6.805,Jorgenson,4.192,3.826,,3.547,3.234,,4.842,4.464,
cpx_only,P_kbar,P,deeper_mantle,142,18.432,24.711,14.599,18.999,22.148,30.317,our_best,42.123,41.363,,34.281,33.817,,49.788,48.977,
cpx_only,P_kbar,P,P<5,236,8.327,2.838,7.08,2.499,9.55,3.218,Putirka,3.839,3.192,,3.322,2.758,,4.261,3.53,
cpx_only,P_kbar,P,5<=P<10,43,2.526,3.267,1.972,2.665,3.015,3.848,Jorgenson,2.956,1.694,,2.308,1.166,,3.444,2.138,
cpx_only,P_kbar,P,10<=P<20,296,5.54,4.438,3.667,3.637,7.563,5.18,Jorgenson,2.853,2.298,,2.317,1.817,,3.417,2.799,
cpx_only,P_kbar,P,20<=P<40,148,8.269,7.852,6.012,6.924,10.249,8.781,Jorgenson,8.324,7.372,,7.234,6.401,,9.554,8.301,
cpx_only,P_kbar,P,P>=40,61,27.515,38.346,21.702,30.974,32.668,45.102,our_best,63.209,62.294,,54.5,53.73,,72.754,71.698,
cpx_only,P_kbar,P,P<20 (Agreda range),575,6.793,3.873,5.924,3.414,7.597,4.385,Jorgenson,3.301,2.667,,2.978,2.391,,3.633,2.953,
cpx_only,P_kbar,P,ALL,784,13.385,11.827,11.538,9.528,15.313,13.932,Putirka,18.219,17.816,,14.718,14.383,,21.268,20.812,
twopx,P_kbar,P,shallow_crustal,9,4.928,,2.534,,7.441,,our_best,,,,,,,,,
twopx,P_kbar,P,deep_crustal_MASH,30,2.381,,2.04,,2.723,,our_best,,,,,,,,,
twopx,P_kbar,P,lithospheric_mantle,8,3.418,,1.47,,5.22,,our_best,,,,,,,,,
twopx,P_kbar,P,deeper_mantle,1,9.181,,,,,,our_best,,,,,,,,,
twopx,P_kbar,P,P<5,9,4.928,,2.534,,7.441,,our_best,,,,,,,,,
twopx,P_kbar,P,5<=P<10,4,2.86,,1.467,,3.9,,our_best,,,,,,,,,
twopx,P_kbar,P,10<=P<20,33,2.595,,2.249,,2.939,,our_best,,,,,,,,,
twopx,P_kbar,P,20<=P<40,2,8.939,,,,,,our_best,,,,,,,,,
twopx,P_kbar,P,P<20 (Agreda range),46,3.401,,2.542,,4.224,,our_best,,,,,,,,,
twopx,P_kbar,P,ALL,48,4.271,,3.004,,5.303,,our_best,,,,,,,,,
