track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,T_C,P,shallow_crustal,47,23.47,25.524,15.891,16.322,30.399,33.871,our_best,,,,,,,,,
opx_liq,T_C,P,deep_crustal_MASH,61,78.464,87.478,29.846,34.612,113.072,120.826,our_best,,,,,,,,,
opx_liq,T_C,P,lithospheric_mantle,58,93.698,79.652,77.308,54.887,111.17,107.41,Putirka,,,,,,,,,
opx_liq,T_C,P,deeper_mantle,8,105.604,85.501,75.141,14.78,127.729,123.499,Putirka,,,,,,,,,
opx_liq,T_C,P,P<5,47,23.47,25.524,15.891,16.322,30.399,33.871,our_best,,,,,,,,,
opx_liq,T_C,P,5<=P<10,11,26.997,43.054,18.194,25.111,33.912,61.834,our_best,,,,,,,,,
opx_liq,T_C,P,10<=P<20,81,88.397,97.542,59.902,66.444,114.053,124.691,our_best,,,,,,,,,
opx_liq,T_C,P,20<=P<40,32,92.136,41.76,75.434,25.166,108.577,59.657,Putirka,,,,,,,,,
opx_liq,T_C,P,P>=40,3,20.427,138.782,,61.863,,173.832,our_best,,,,,,,,,
opx_liq,T_C,P,P<20 (Agreda range),139,70.945,75.042,50.289,53.389,88.988,96.251,our_best,,,,,,,,,
opx_liq,T_C,P,ALL,174,77.062,71.671,62.56,53.752,91.653,88.736,Putirka,,,,,,,,,
opx_only,T_C,P,shallow_crustal,48,108.264,,90.895,,122.974,,our_best,,,,,,,,,
opx_only,T_C,P,deep_crustal_MASH,76,109.471,,86.565,,132.731,,our_best,,,,,,,,,
opx_only,T_C,P,lithospheric_mantle,37,70.431,,57.661,,84.517,,our_best,,,,,,,,,
opx_only,T_C,P,deeper_mantle,29,247.606,,167.185,,313.436,,our_best,,,,,,,,,
opx_only,T_C,P,P<5,48,108.264,,90.895,,122.974,,our_best,,,,,,,,,
opx_only,T_C,P,5<=P<10,20,136.727,,95.582,,174.787,,our_best,,,,,,,,,
opx_only,T_C,P,10<=P<20,84,87.913,,74.078,,105.381,,our_best,,,,,,,,,
opx_only,T_C,P,20<=P<40,23,108.006,,69.228,,152.087,,our_best,,,,,,,,,
opx_only,T_C,P,P>=40,15,321.18,,205.149,,406.969,,our_best,,,,,,,,,
opx_only,T_C,P,P<20 (Agreda range),152,112.019,,100.431,,124.717,,our_best,,,,,,,,,
opx_only,T_C,P,ALL,190,147.982,,122.709,,172.971,,our_best,,,,,,,,,
cpx_liq,T_C,P,shallow_crustal,268,41.965,42.382,35.701,36.789,48.414,48.463,Agreda,30.091,39.71,114.62,25.875,34.818,96.858,34.359,44.79,131.762
cpx_liq,T_C,P,deep_crustal_MASH,187,49.188,53.671,39.096,46.58,61.232,61.711,Agreda,47.525,51.713,130.599,35.675,40.403,105.875,61.144,65.018,162.527
cpx_liq,T_C,P,lithospheric_mantle,143,74.904,79.118,65.11,64.679,85.353,93.502,Agreda,42.583,55.994,211.783,36.474,48.935,175.576,48.447,62.84,247.117
cpx_liq,T_C,P,deeper_mantle,56,131.044,66.117,65.018,57.793,195.723,74.982,Putirka,243.667,243.856,173.006,138.748,140.387,143.279,326.767,329.82,203.846
cpx_liq,T_C,P,P<5,268,41.965,42.382,35.701,36.789,48.414,48.463,Agreda,30.091,39.71,114.62,25.875,34.818,96.858,34.359,44.79,131.762
cpx_liq,T_C,P,5<=P<10,46,41.795,49.05,31.36,35.726,52.855,62.616,Jorgenson,42.379,41.686,83.486,27.75,29.596,51.318,55.706,54.94,114.681
cpx_liq,T_C,P,10<=P<20,210,53.255,63.071,44.582,54.951,63.639,72.408,Agreda,44.41,49.944,152.88,33.895,40.107,129.702,57.251,61.24,181.068
cpx_liq,T_C,P,20<=P<40,115,64.55,78.252,53.382,61.368,75.073,94.164,Agreda,45.279,67.119,211.385,38.314,58.466,173.29,51.89,75.964,252.446
cpx_liq,T_C,P,P>=40,15,279.048,96.317,146.332,66.128,382.936,129.842,Putirka,467.192,458.744,248.285,264.938,243.088,189.3,611.819,609.96,304.967
