track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,P_kbar,T,800<=T<1000,4,0.184,4.737,0.069,2.898,0.282,6.04,our_best,,,,,,,,,
opx_liq,P_kbar,T,1000<=T<1200,31,2.855,3.852,2.342,2.166,3.332,5.305,our_best,,,,,,,,,
opx_liq,P_kbar,T,1200<=T<1400,109,3.443,3.817,2.652,3.312,4.297,4.322,our_best,,,,,,,,,
opx_liq,P_kbar,T,T>=1400,30,5.431,4.917,3.337,3.001,7.687,6.733,Putirka,,,,,,,,,
opx_liq,P_kbar,T,ALL,174,3.816,4.75,3.096,3.814,4.491,5.749,our_best,,,,,,,,,
opx_only,P_kbar,T,800<=T<1000,22,5.867,2.792,4.676,1.705,7.101,3.791,Putirka,,,,,,,,,
opx_only,P_kbar,T,1000<=T<1200,78,7.125,4.683,5.847,3.74,8.289,5.527,Putirka,,,,,,,,,
opx_only,P_kbar,T,1200<=T<1400,63,4.93,13.631,3.738,7.764,6.126,18.3,our_best,,,,,,,,,
opx_only,P_kbar,T,T>=1400,27,20.231,25.066,7.438,13.05,31.874,35.79,our_best,,,,,,,,,
opx_only,P_kbar,T,ALL,190,10.328,13.337,7.007,9.323,14.101,17.339,our_best,,,,,,,,,
cpx_liq,P_kbar,T,T<800,7,2.939,6.822,,0.613,,11.349,our_best,4.616,6.261,13.964,3.167,4.527,5.947,5.62,8.204,20.302
cpx_liq,P_kbar,T,800<=T<1000,52,3.28,6.362,2.626,5.483,3.958,7.232,Jorgenson,3.178,3.126,9.468,1.83,2.205,6.078,4.261,3.973,12.958
cpx_liq,P_kbar,T,1000<=T<1200,267,4.29,4.851,3.791,4.439,4.841,5.292,Agreda,3.771,3.98,4.909,3.251,3.503,4.511,4.329,4.484,5.332
cpx_liq,P_kbar,T,1200<=T<1400,242,3.249,3.505,2.899,3.038,3.623,4.04,our_best,4.817,4.199,7.283,3.659,3.42,5.662,5.871,4.958,8.812
cpx_liq,P_kbar,T,T>=1400,86,13.641,8.132,5.148,4.825,22.127,11.13,Putirka,23.29,22.974,22.667,13.583,13.37,14.864,33.58,33.41,30.135
cpx_liq,P_kbar,T,ALL,654,6.537,5.481,4.399,4.754,8.898,6.318,Putirka,9.314,9.143,10.457,5.852,5.677,8.016,12.861,12.631,12.741
cpx_only,P_kbar,T,T<800,14,25.702,13.967,18.823,9.788,31.673,17.07,Jorgenson,6.956,6.255,,4.854,4.863,,8.691,7.41,
cpx_only,P_kbar,T,800<=T<1000,93,9.082,10.247,5.682,6.09,12.801,14.26,our_best,13.038,13.109,,8.707,8.795,,16.891,16.94,
cpx_only,P_kbar,T,1000<=T<1200,229,7.987,6.402,4.661,4.505,11.007,8.512,Putirka,11.808,11.514,,6.636,6.311,,16.534,16.245,
cpx_only,P_kbar,T,1200<=T<1400,301,8.395,8.191,6.415,4.83,10.642,12.088,Putirka,10.786,10.301,,7.375,6.8,,14.114,13.672,
cpx_only,P_kbar,T,T>=1400,147,13.074,19.117,10.1,12.799,15.459,24.821,our_best,34.68,34.009,,26.25,25.714,,42.475,41.707,
cpx_only,P_kbar,T,ALL,784,13.385,11.827,11.538,9.528,15.313,13.932,Putirka,18.219,17.816,,14.718,14.383,,21.268,20.812,
twopx,P_kbar,T,800<=T<1000,1,0.855,,,,,,our_best,,,,,,,,,
twopx,P_kbar,T,1000<=T<1200,30,3.559,,2.344,,4.827,,our_best,,,,,,,,,
twopx,P_kbar,T,1200<=T<1400,15,2.471,,1.504,,3.309,,our_best,,,,,,,,,
twopx,P_kbar,T,T>=1400,2,8.939,,,,,,our_best,,,,,,,,,
twopx,P_kbar,T,ALL,48,4.271,,3.004,,5.303,,our_best,,,,,,,,,
