track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,our_best_rmse_lo,Putirka_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,T_C,T,800<=T<1000,4,188.989,259.226,57.436,86.767,261.026,356.185,our_best,,,,,,,,,
opx_liq,T_C,T,1000<=T<1200,31,89.572,98.285,48.444,57.505,124.069,132.273,our_best,,,,,,,,,
opx_liq,T_C,T,1200<=T<1400,109,52.06,39.401,41.845,29.944,63.279,48.075,Putirka,,,,,,,,,
opx_liq,T_C,T,T>=1400,30,88.2,61.075,73.846,34.034,103.348,82.708,Putirka,,,,,,,,,
opx_liq,T_C,T,ALL,174,77.062,71.671,62.56,53.752,91.653,88.736,Putirka,,,,,,,,,
opx_only,T_C,T,800<=T<1000,22,165.555,,128.595,,203.917,,our_best,,,,,,,,,
opx_only,T_C,T,1000<=T<1200,78,107.344,,92.166,,121.213,,our_best,,,,,,,,,
opx_only,T_C,T,1200<=T<1400,63,71.771,,62.618,,80.88,,our_best,,,,,,,,,
opx_only,T_C,T,T>=1400,27,249.938,,168.453,,323.847,,our_best,,,,,,,,,
opx_only,T_C,T,ALL,190,147.982,,122.709,,172.971,,our_best,,,,,,,,,
cpx_liq,T_C,T,T<800,7,129.354,114.108,31.584,28.178,195.148,189.378,Agreda,63.075,126.373,473.646,17.239,96.045,361.097,100.889,158.636,603.377
cpx_liq,T_C,T,800<=T<1000,52,59.212,108.063,45.32,94.678,71.222,119.882,Agreda,31.831,35.879,329.834,25.8,27.973,287.449,37.343,44.579,373.959
cpx_liq,T_C,T,1000<=T<1200,267,39.281,51.809,33.45,43.549,44.743,62.12,Agreda,27.536,30.439,85.316,22.68,25.99,75.085,32.757,35.019,94.199
cpx_liq,T_C,T,1200<=T<1400,242,51.61,48.528,42.936,39.761,63.288,58.041,Agreda,46.86,55.769,115.594,37.806,47.741,91.776,57.677,66.275,145.465
cpx_liq,T_C,T,T>=1400,86,109.551,65.911,65.341,59.188,160.913,72.551,Putirka,199.85,202.38,166.651,115.123,118.462,148.382,284.118,288.8,188.858
cpx_liq,T_C,T,ALL,654,71.571,63.428,59.349,57.576,85.839,69.45,Putirka,80.606,84.784,150.491,49.842,56.932,135.755,109.047,112.517,165.087
cpx_only,T_C,T,T<800,14,353.749,520.393,305.653,430.732,392.692,585.711,our_best,356.894,380.633,,299.131,330.96,,399.068,417.604,
cpx_only,T_C,T,800<=T<1000,93,157.66,338.242,143.637,304.596,173.352,374.854,Agreda,110.66,116.642,,97.214,101.329,,122.567,132.201,
cpx_only,T_C,T,1000<=T<1200,229,77.965,164.138,67.32,131.663,89.057,199.045,Jorgenson,62.033,45.467,,53.161,38.808,,72.379,53.001,
cpx_only,T_C,T,1200<=T<1400,301,68.109,103.497,58.945,77.214,78.194,131.174,Jorgenson,49.063,41.483,,42.3,34.96,,57.01,49.629,
cpx_only,T_C,T,T>=1400,147,144.932,92.832,122.556,74.573,166.055,110.917,Putirka,190.375,187.825,,152.224,152.779,,229.959,222.105,
cpx_only,T_C,T,ALL,784,127.35,177.915,114.366,161.007,140.506,192.934,Jorgenson,112.119,109.91,,98.682,96.415,,127.495,123.501,
twopx,T_C,T,800<=T<1000,1,0.142,,,,,,our_best,,,,,,,,,
twopx,T_C,T,1000<=T<1200,30,89.581,,68.832,,107.621,,our_best,,,,,,,,,
twopx,T_C,T,1200<=T<1400,15,50.041,,36.249,,63.648,,our_best,,,,,,,,,
twopx,T_C,T,T>=1400,2,4.797,,,,,,our_best,,,,,,,,,
twopx,T_C,T,ALL,48,79.536,,65.189,,93.306,,our_best,,,,,,,,,
