track,target,regime_type,regime,n,our_best_rmse,our_best_rmse_lo,our_best_rmse_hi,winner
twopx,P_kbar,P,shallow_crustal,9,4.928,2.534,7.441,our_best
twopx,P_kbar,P,deep_crustal_MASH,30,2.381,2.04,2.723,our_best
twopx,P_kbar,P,lithospheric_mantle,8,3.418,1.47,5.22,our_best
twopx,P_kbar,P,deeper_mantle,1,9.181,,,our_best
twopx,P_kbar,P,P<5,9,4.928,2.534,7.441,our_best
twopx,P_kbar,P,5<=P<10,4,2.86,1.467,3.9,our_best
twopx,P_kbar,P,10<=P<20,33,2.595,2.249,2.939,our_best
twopx,P_kbar,P,20<=P<40,2,8.939,,,our_best
twopx,P_kbar,P,P<20 (Agreda range),46,3.401,2.542,4.224,our_best
twopx,P_kbar,P,ALL,48,4.271,3.004,5.303,our_best
