track,target,regime_type,regime,n,our_best_rmse,our_best_rmse_lo,our_best_rmse_hi,winner
twopx,T_C,P,shallow_crustal,9,72.216,27.987,109.338,our_best
twopx,T_C,P,deep_crustal_MASH,30,82.746,59.658,102.342,our_best
twopx,T_C,P,lithospheric_mantle,8,54.929,30.763,73.826,our_best
twopx,T_C,P,deeper_mantle,1,6.561,,,our_best
twopx,T_C,P,P<5,9,72.216,27.987,109.338,our_best
twopx,T_C,P,5<=P<10,4,53.81,27.724,65.222,our_best
twopx,T_C,P,10<=P<20,33,80.397,60.16,99.939,our_best
twopx,T_C,P,20<=P<40,2,4.797,,,our_best
twopx,T_C,P,P<20 (Agreda range),46,78.905,63.152,93.423,our_best
twopx,T_C,P,ALL,48,79.536,65.189,93.306,our_best
