track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,Agreda_rmse,Jorgenson_rmse,Wang_rmse,our_best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi,winner
cpx_liq,P_kbar,P,shallow_crustal,268,4.968,4.176,4.435,4.662,6.726,4.243,3.895,3.904,4.203,5.761,5.678,4.44,4.951,5.096,7.772,Putirka
cpx_liq,P_kbar,P,deep_crustal_MASH,187,2.785,2.934,1.993,2.078,3.662,2.315,2.609,1.727,1.88,2.97,3.277,3.287,2.262,2.277,4.389,Agreda
cpx_liq,P_kbar,P,lithospheric_mantle,143,4.119,5.501,3.151,3.085,8.035,3.578,4.24,2.421,2.426,6.547,4.695,6.627,3.774,3.655,9.636,Jorgenson
cpx_liq,P_kbar,P,deeper_mantle,56,16.796,10.233,29.671,28.87,29.235,5.293,6.157,16.545,16.049,20.439,25.222,13.954,41.396,40.521,40.034,Putirka
cpx_liq,P_kbar,P,P<5,268,4.968,4.176,4.435,4.662,6.726,4.243,3.895,3.904,4.203,5.761,5.678,4.44,4.951,5.096,7.772,Putirka
cpx_liq,P_kbar,P,5<=P<10,46,3.244,2.637,2.537,2.494,3.1,2.459,2.012,1.81,2.052,1.974,4.013,3.178,3.29,3.005,4.422,Jorgenson
cpx_liq,P_kbar,P,10<=P<20,210,2.545,3.095,1.775,1.909,3.888,2.273,2.784,1.527,1.635,3.377,2.808,3.452,2.002,2.162,4.458,Agreda
cpx_liq,P_kbar,P,20<=P<40,115,4.477,6.061,4.996,5.068,11.079,3.753,4.829,3.635,4.216,9.689,5.248,7.191,6.438,5.934,12.653,our_best
cpx_liq,P_kbar,P,P>=40,15,31.943,22.489,56.354,54.674,53.156,16.366,11.391,36.923,34.457,35.959,45.969,31.166,74.923,73.864,69.222,Putirka
cpx_liq,P_kbar,P,P<20 (Agreda range),524,4.124,4.1,3.448,3.622,5.413,3.679,3.834,3.091,3.286,4.874,4.559,4.371,3.769,3.892,6.039,Agreda
cpx_liq,P_kbar,P,ALL,654,6.537,5.481,9.314,9.143,10.457,4.399,4.754,5.852,5.677,8.016,8.898,6.318,12.861,12.631,12.741,Putirka
cpx_only,P_kbar,P,shallow_crustal,236,8.327,2.838,3.839,3.192,,7.08,2.499,3.322,2.758,,9.55,3.218,4.261,3.53,,Putirka
cpx_only,P_kbar,P,deep_crustal_MASH,193,3.28,2.419,2.346,1.39,,2.048,2.144,1.914,1.055,,4.734,2.683,2.703,1.669,,Jorgenson
cpx_only,P_kbar,P,lithospheric_mantle,213,8.187,5.97,4.192,3.826,,5.534,5.158,3.547,3.234,,10.817,6.805,4.842,4.464,,Jorgenson
cpx_only,P_kbar,P,deeper_mantle,142,18.432,24.711,42.123,41.363,,14.599,18.999,34.281,33.817,,22.148,30.317,49.788,48.977,,our_best
cpx_only,P_kbar,P,P<5,236,8.327,2.838,3.839,3.192,,7.08,2.499,3.322,2.758,,9.55,3.218,4.261,3.53,,Putirka
cpx_only,P_kbar,P,5<=P<10,43,2.526,3.267,2.956,1.694,,1.972,2.665,2.308,1.166,,3.015,3.848,3.444,2.138,,Jorgenson
cpx_only,P_kbar,P,10<=P<20,296,5.54,4.438,2.853,2.298,,3.667,3.637,2.317,1.817,,7.563,5.18,3.417,2.799,,Jorgenson
cpx_only,P_kbar,P,20<=P<40,148,8.269,7.852,8.324,7.372,,6.012,6.924,7.234,6.401,,10.249,8.781,9.554,8.301,,Jorgenson
cpx_only,P_kbar,P,P>=40,61,27.515,38.346,63.209,62.294,,21.702,30.974,54.5,53.73,,32.668,45.102,72.754,71.698,,our_best
cpx_only,P_kbar,P,P<20 (Agreda range),575,6.793,3.873,3.301,2.667,,5.924,3.414,2.978,2.391,,7.597,4.385,3.633,2.953,,Jorgenson
cpx_only,P_kbar,P,ALL,784,13.385,11.827,18.219,17.816,,11.538,9.528,14.718,14.383,,15.313,13.932,21.268,20.812,,Putirka
