track,target,regime_type,regime,n,our_best_rmse,Putirka_rmse,Agreda_rmse,Jorgenson_rmse,Wang_rmse,our_best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,our_best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi,winner
cpx_liq,T_C,P,shallow_crustal,268,41.965,42.382,30.091,39.71,114.62,35.701,36.789,25.875,34.818,96.858,48.414,48.463,34.359,44.79,131.762,Agreda
cpx_liq,T_C,P,deep_crustal_MASH,187,49.188,53.671,47.525,51.713,130.599,39.096,46.58,35.675,40.403,105.875,61.232,61.711,61.144,65.018,162.527,Agreda
cpx_liq,T_C,P,lithospheric_mantle,143,74.904,79.118,42.583,55.994,211.783,65.11,64.679,36.474,48.935,175.576,85.353,93.502,48.447,62.84,247.117,Agreda
cpx_liq,T_C,P,deeper_mantle,56,131.044,66.117,243.667,243.856,173.006,65.018,57.793,138.748,140.387,143.279,195.723,74.982,326.767,329.82,203.846,Putirka
cpx_liq,T_C,P,P<5,268,41.965,42.382,30.091,39.71,114.62,35.701,36.789,25.875,34.818,96.858,48.414,48.463,34.359,44.79,131.762,Agreda
cpx_liq,T_C,P,5<=P<10,46,41.795,49.05,42.379,41.686,83.486,31.36,35.726,27.75,29.596,51.318,52.855,62.616,55.706,54.94,114.681,Jorgenson
cpx_liq,T_C,P,10<=P<20,210,53.255,63.071,44.41,49.944,152.88,44.582,54.951,33.895,40.107,129.702,63.639,72.408,57.251,61.24,181.068,Agreda
cpx_liq,T_C,P,20<=P<40,115,64.55,78.252,45.279,67.119,211.385,53.382,61.368,38.314,58.466,173.29,75.073,94.164,51.89,75.964,252.446,Agreda
cpx_liq,T_C,P,P>=40,15,279.048,96.317,467.192,458.744,248.285,146.332,66.128,264.938,243.088,189.3,382.936,129.842,611.819,609.96,304.967,Putirka
cpx_liq,T_C,P,P<20 (Agreda range),524,48.456,52.193,37.565,44.257,129.121,42.613,47.513,32.022,39.013,113.846,55.054,57.056,44.077,50.261,146.266,Agreda
cpx_liq,T_C,P,ALL,654,71.571,63.428,80.606,84.784,150.491,59.349,57.576,49.842,56.932,135.755,85.839,69.45,109.047,112.517,165.087,Putirka
cpx_only,T_C,P,shallow_crustal,236,82.18,118.747,67.525,64.807,,71.97,106.633,55.908,49.937,,92.694,129.394,80.331,80.49,,Jorgenson
cpx_only,T_C,P,deep_crustal_MASH,193,86.67,120.335,64.286,56.486,,73.626,102.389,51.505,40.78,,101.926,139.794,77.628,73.446,,Jorgenson
cpx_only,T_C,P,lithospheric_mantle,213,134.806,186.634,100.55,103.983,,110.743,157.152,76.693,79.697,,162.909,213.468,122.246,127.252,,Agreda
cpx_only,T_C,P,deeper_mantle,142,165.992,285.235,202.594,197.891,,142.54,233.002,163.436,161.377,,187.915,329.411,238.619,228.721,,our_best
cpx_only,T_C,P,P<5,236,82.18,118.747,67.525,64.807,,71.97,106.633,55.908,49.937,,92.694,129.394,80.331,80.49,,Jorgenson
cpx_only,T_C,P,5<=P<10,43,85.568,168.31,74.459,64.029,,69.598,139.884,60.549,44.671,,100.701,192.922,89.368,84.209,,Jorgenson
cpx_only,T_C,P,10<=P<20,296,105.254,134.396,71.79,67.832,,89.12,114.072,54.793,47.475,,121.807,154.417,89.453,87.748,,Jorgenson
cpx_only,T_C,P,20<=P<40,148,129.305,171.297,108.595,111.951,,90.554,131.727,85.191,88.429,,177.089,206.277,132.337,136.401,,Agreda
cpx_only,T_C,P,P>=40,61,221.647,436.825,293.931,288.767,,187.451,365.374,244.832,245.795,,254.883,490.894,350.486,334.968,,our_best
cpx_only,T_C,P,P<20 (Agreda range),575,96.137,131.152,70.279,66.325,,87.011,119.839,60.957,54.636,,105.545,143.525,79.601,76.734,,Jorgenson
cpx_only,T_C,P,ALL,784,127.35,177.915,112.119,109.91,,114.366,161.007,98.682,96.415,,140.506,192.934,127.495,123.501,,Jorgenson
